Sample.Name	Sample.ID	Bird.ID	MG.Status	MG.active	Diet	Day	ES	logLoad	tolerance.day	tolerance.bird	tolerance.category
ES81_Blue-047_Control-lipid_0	ES81	Blue-047	Control	NO	lipid	0	0	0	NA	NA	intermediate
ES82_Blue-047_Control-lipid_14	ES82	Blue-047	Control	NO	lipid	14	0	0	NA	NA	intermediate
ES83_SEM19-1481_MG-protein_0	ES83	SEM19-1481	MG	NO	protein	0	0	7.655765122	NA	1	tolerant
ES84_LD19-239_MG-lipid_0	ES84	LD19-239	MG	NO	lipid	0	0.08333333333333333	0	NA	NA	intermediate
ES85_orange-24_Control-protein_0	ES85	orange-24	Control	NO	protein	0	0	0	NA	NA	intermediate
ES86_orange-24_Control-protein_14	ES86	orange-24	Control	NO	protein	14	0	0	NA	NA	intermediate
ES87_orange-24_Control-protein_21	ES87	orange-24	Control	NO	protein	21	0	0	NA	NA	intermediate
ES88_610_MG-protein_0	ES88	610	MG	NO	protein	0	0.6666666666666666	8.142168141	NA	NA	intermediate
ES8_SEM19-1354_Control-protein_21	ES8	SEM19-1354	Control	NO	protein	21	0	0	NA	NA	intermediate
ES90_Blue-049_Control-protein_14	ES90	Blue-049	Control	NO	protein	14	0	0	NA	NA	intermediate
ES91_Blue-049_Control-protein_21	ES91	Blue-049	Control	NO	protein	21	0	0	NA	NA	intermediate
ES92_SEM19-76_MG-lipid_0	ES92	SEM19-76	MG	NO	lipid	0	0.5	8.385370385	NA	-Inf	susceptible
ES93_SEM19-76_MG-lipid_14	ES93	SEM19-76	MG	YES	lipid	14	0.6666666666666666	4.783851161102078	-Inf	-Inf	susceptible
ES94_SEM19-76_MG-lipid_21	ES94	SEM19-76	MG	YES	lipid	21	0.3333333333333333	2.797035353314619	-Inf	-Inf	susceptible
ES95_610_MG-protein_14	ES95	610	MG	YES	protein	14	0	3.93679638680274	NA	NA	intermediate
ES96_610_MG-protein_21	ES96	610	MG	YES	protein	21	0	2.3370211820782183	NA	NA	intermediate
ES97_SEM19-107_MG-protein_0	ES97	SEM19-107	MG	NO	protein	0	0	8.452104847	NA	-Inf	susceptible
ES98_SEM19-107_MG-protein_14	ES98	SEM19-107	MG	YES	protein	14	0.4166666666666667	6.670460281042692	0.6458176192941334	-Inf	susceptible
ES99_SEM19-107_MG-protein_21	ES99	SEM19-107	MG	YES	protein	21	0.16666666666666666	5.774008423321615	-Inf	-Inf	susceptible
ES9_172_Control-protein_0	ES9	172	Control	NO	protein	0	0	0	NA	NA	intermediate
