gene	Estimate	Std. Error	z value	Pr(>|z|)	entrezgene_id	entrezgene_description	external_gene_name	gene_gff	description	gene_name	gene.y	FDR_tol	gene.z	logFC	logCPM	F	PValue	FDR_inf
C10H15orf39	-0.8170876573354192	0.6847870453088726	-1.1931996420388948	0.23279119483524816	115484150	NA	NA	C10H15orf39	chromosome 10 C15orf39 homolog	C10H15orf39	C10H15orf39	0.2937422117220913	C10H15orf39	0.25915339792831454	4.031077240289932	3.0728715804824303	0.08261896371060214	0.24857024157021201
C10H15orf40	2.867480382257098	1.2732830523360763	2.2520368719242496	0.02431994202234053	103816197	NA	NA	C10H15orf40	chromosome 10 C15orf40 homolog	C10H15orf40	C10H15orf40	0.06707442052595791	C10H15orf40	-0.047027660739657834	2.4885585735503457	0.593599112965647	0.44281634349337695	0.6483174038762858
C10H15orf48	-1.3585582317555587	0.7204068319536573	-1.8858208605147608	0.059319098861926114	103816027	chromosome unknown C15orf48 homolog	C15orf48	C10H15orf48	chromosome 10 C15orf48 homolog	C10H15orf48	C10H15orf48	0.13625880033807766	C10H15orf48	0.09063878560795768	9.062725793573843	0.7175321459189218	0.3989412059021994	0.6120388418915665
C10H15orf61	1.0810971063940495	2.22078483195701	0.4868085781373787	0.6263939907702434	103816249	NA	NA	C10H15orf61	chromosome 10 C15orf61 homolog	C10H15orf61	C10H15orf61	0.6890585732025654	C10H15orf61	0.05068199575163808	-0.3558476568870566	0.1363981665343507	0.7126709502185852	0.8429320446379375
C11H16orf87	2.4388408299242994	1.3551097581185476	1.799736748490704	0.07190221557202642	103816610	chromosome unknown C16orf87 homolog	C16orf87	C11H16orf87	chromosome 11 C16orf87 homolog	C11H16orf87	C11H16orf87	0.1536103419930975	C11H16orf87	-0.0761733810973671	2.4794154410521343	1.3981207226796541	0.23979482007291228	0.4597892948481666
C11H19orf12	1.3245317334186923	2.505472410561312	0.5286554854227876	0.5970444623365514	103825496	NA	NA	C11H19orf12	chromosome 11 C19orf12 homolog	C11H19orf12	C11H19orf12	0.6612256847693975	C11H19orf12	0.35031624356532526	-0.40024881213441316	2.556420940854027	0.11294607880865742	0.29731340442619614
C12H3orf18	1.1236104749412978	2.0233369540514725	0.55532543538604	0.5786720841906998	103816967	chromosome unknown C3orf18 homolog	C3orf18	C12H3orf18	chromosome 12 C3orf18 homolog	C12H3orf18	C12H3orf18	0.6444650706301281	C12H3orf18	0.13004529388079827	2.0852314082630365	1.9335127692057357	0.1674114089632286	0.3734461380574349
C13H5orf15	-1.49037824442176	0.9778654909041447	-1.5241137541767025	0.12748029742588524	103817250	chromosome unknown C5orf15 homolog	C5orf15	C13H5orf15	chromosome 13 C5orf15 homolog	C13H5orf15	C13H5orf15	0.1801303131076092	C13H5orf15	0.14402076804575822	6.267638305745188	5.18665152708266	0.024851637414364674	0.1215315023714459
C13H5orf24	-1.474745166038687	1.5879864233000125	-0.9286887749166032	0.35305039973655405	103817260	chromosome unknown C5orf24 homolog	C5orf24	C13H5orf24	chromosome 13 C5orf24 homolog	C13H5orf24	C13H5orf24	0.4231584737449801	C13H5orf24	-0.0869406821638847	9.274955209270752	3.3054233961262574	0.07199174790961106	0.22838873899913242
C14H7orf50	-1.4625674294303301	1.1924250951184783	-1.2265486825275267	0.2199922671382369	103817646	chromosome unknown C7orf50 homolog	C7orf50	C14H7orf50	chromosome 14 C7orf50 homolog	C14H7orf50	C14H7orf50	0.2798506876609535	C14H7orf50	0.08001253033715906	0.7050595672879039	0.5730597878351524	0.4508183082078593	0.6538496471168551
C15H12orf43	1.5028696331171822	2.098808494882742	0.7160584859368725	0.47395523616232643	103818029	chromosome unknown C12orf43 homolog	C12orf43	C15H12orf43	chromosome 15 C12orf43 homolog	C15H12orf43	C15H12orf43	0.5445774854477123	C15H12orf43	0.017151866074019445	3.4421429485665342	0.0885151196625257	0.7666797606561888	0.874717008969438
C15H12orf76	7.127540479162323	5.560923321439105	1.281718892199685	0.1999412751991954	108962391	NA	NA	C15H12orf76	chromosome 15 C12orf76 homolog	C15H12orf76	C15H12orf76	0.2577390691331468	C15H12orf76	0.0561424527082086	-0.5445629391336919	0.17726035769642023	0.6746286430405061	0.8178597673430511
C15H22orf39	-1.1826659869615335	0.8262960334465178	-1.4312860513544772	0.15234824992900287	103818276	NA	NA	C15H22orf39	chromosome 15 C22orf39 homolog	C15H22orf39	C15H22orf39	0.20565729713312011	C15H22orf39	-0.11996217063279921	4.694416779832188	3.0125760190314255	0.08564631181343067	0.254213719644216
C17H9orf78	-1.584168548683414	1.5855470675022265	-0.9991305721242422	0.31773144295575917	103819144	NA	NA	C17H9orf78	chromosome 17 C9orf78 homolog	C17H9orf78	C17H9orf78	0.3856707651759481	C17H9orf78	0.027230339131294818	8.533512344180886	0.3067569837511532	0.5808913638921229	0.7513005970355392
C18H17orf67	1.9448552512192236	2.19760996087484	0.8849865471327778	0.3761638871120665	103819800	chromosome unknown C17orf67 homolog	C17orf67	C18H17orf67	chromosome 18 C17orf67 homolog	C18H17orf67	C18H17orf67	0.44696432053839946	C18H17orf67	-0.22329042817673245	-0.8048458500274878	1.4534730803234412	0.2306607178505038	0.4484202127930884
C18H17orf75	-1.1152034445662315	0.8713932767030288	-1.2797934920793443	0.20061777328243527	103819787	NA	NA	C18H17orf75	chromosome 18 C17orf75 homolog	C18H17orf75	C18H17orf75	0.25840822125281393	C18H17orf75	0.31284506279401675	3.256826974433153	7.858328326096968	0.006058321191803588	0.05744614898987346
C1AH12orf29	2.6649443691469386	1.6497678290578723	1.615345094145035	0.10623598331869027	103813412	chromosome unknown C12orf29 homolog	RLIG1	C1AH12orf29	chromosome 1A C12orf29 homolog	C1AH12orf29	C1AH12orf29	0.16176562984213128	C1AH12orf29	-0.10595420438547902	1.7381274643262403	1.3317899244804827	0.25119567358132155	0.47157093620909635
C1AH12orf4	-0.9213630644466546	1.0811275067717085	-0.8522242368967957	0.3940896470131061	103819600	chromosome unknown C12orf4 homolog	C12orf4	C1AH12orf4	chromosome 1A C12orf4 homolog	C1AH12orf4	C1AH12orf4	0.4652502326344141	C1AH12orf4	0.12202899815705551	1.9328014549254087	0.7587013977185464	0.38578880904758417	0.603045526548687
C1AH12orf73	-0.19064090010027418	0.8014459455344309	-0.23787118914569896	0.811981001931961	NA	NA	NA	NA	NA	NA	NA	0.8494133777322379	C1AH12orf73	-0.02586464458490539	2.588519780155525	0.09320672484828613	0.7607631145794937	0.8723513112418338
C1AH12orf75	-1.752498171218958	2.1597030562112955	-0.811453299646348	0.4171054012376788	103813588	NA	NA	C1AH12orf75	chromosome 1A C12orf75 homolog	C1AH12orf75	C1AH12orf75	0.48826121231551733	C1AH12orf75	0.16858578530881	0.1270367207601642	1.4623729672380665	0.22942824257974775	0.4471392570563155
C1AH22orf23	0.6677095223911022	0.5443753914471304	1.2265608124131193	0.21998770558738767	103813250	chromosome unknown C22orf23 homolog	NA	C1AH22orf23	chromosome 1A C22orf23 homolog	C1AH22orf23	C1AH22orf23	0.2798506876609535	C1AH22orf23	0.1961240289116663	2.089482355532363	0.18765420874338729	0.6657943168132193	0.81171634949675
C1H11orf54	0.23898150976949628	1.3829653070188177	0.17280369113861258	0.8628057355853863	103827262	chromosome unknown C11orf54 homolog	C11orf54	C1H11orf54	chromosome 1 C11orf54 homolog	C1H11orf54	C1H11orf54	0.8909445394914796	C1H11orf54	0.2642971051222654	0.5528382485719924	3.2015487273376855	0.07659405808477228	0.23694658444932104
C1H12orf57	1.3183007693603546	0.6765419447419638	1.948586897835522	0.051344778070865425	103827162	chromosome unknown C12orf57 homolog	C12orf57	C1H12orf57	chromosome 1 C12orf57 homolog	C1H12orf57	C1H12orf57	0.123036958469133	C1H12orf57	-0.03344064732114085	2.0862085332868348	0.09782535135631179	0.7550957697785659	0.8688576943978141
C1H21orf62	2.8990210723617373	5.854383456701099	0.49518810884234665	0.6204673436019772	103820753	NA	NA	C1H21orf62	chromosome 1 C21orf62 homolog	C1H21orf62	C1H21orf62	0.6835237295697809	C1H21orf62	-0.12170377395853689	-1.444810589155274	0.28236988885826997	0.5960007941475814	0.7623093416473419
C1H21orf91	1.3890032390093934	1.5076904111274454	0.9212788174269158	0.35690487742246174	103818406	NA	NA	C1H21orf91	chromosome 1 C21orf91 homolog	C1H21orf91	C1H21orf91	0.42721775461084777	C1H21orf91	0.2524427895088849	1.5705936610819324	5.323670823546666	0.02306907678392093	0.11571956524594804
C1H2orf49	-0.6931452778149273	0.6508193025780176	-1.0650349107183033	0.2868601319414296	103812374	chromosome unknown C2orf49 homolog	C2orf49	C1H2orf49	chromosome 1 C2orf49 homolog	C1H2orf49	C1H2orf49	0.3532390328594697	C1H2orf49	-0.03667507964480952	4.921435163866288	0.1398390406347506	0.7092186819115793	0.8405269512849362
C1H3orf38	5.577280811491618	6.121054478316227	0.911163400235871	0.36220928512715617	103818379	chromosome unknown C3orf38 homolog	C3orf38	C1H3orf38	chromosome 1 C3orf38 homolog	C1H3orf38	C1H3orf38	0.43281096396626556	C1H3orf38	-0.08855937497669025	-0.08085980517100418	0.6202753213747509	0.4328291347907375	0.6396610937178211
C1H3orf52	4.040042788951258	2.980272693885594	1.3555950088862392	0.1752280607596804	103820738	chromosome unknown C3orf52 homolog	C3orf52	C1H3orf52	chromosome 1 C3orf52 homolog	C1H3orf52	C1H3orf52	0.23041402270658176	C1H3orf52	0.1936768852533776	1.0436298585668033	2.446944835217198	0.12088206159272662	0.30839336611103746
C20H20orf204	0.8995833879396082	1.371060298164705	0.6561224106217548	0.5117453660794705	127060316	NA	NA	C20H20orf204	chromosome 20 C20orf204 homolog	C20H20orf204	C20H20orf204	0.5809843141611056	C20H20orf204	-0.14686893529581815	4.118285507504893	3.3517840575273796	0.0700572387654778	0.22442169177764154
C21H1orf167	1.40564802360316	3.6661163291496783	0.38341609960019657	0.7014112680109732	108962851	NA	NA	C21H1orf167	chromosome 21 C1orf167 homolog	C21H1orf167	C21H1orf167	0.7556315235209755	C21H1orf167	-0.20352466936454827	3.0410286639468804	3.8820184384233585	0.05152265200170477	0.1865068736141313
C21H1orf174	4.448117072162622	1.478678265605395	3.0081709967796755	0.0026282520868779833	103820818	chromosome unknown C1orf174 homolog	C1orf174	C21H1orf174	chromosome 21 C1orf174 homolog	C21H1orf174	C21H1orf174	0.023293306884048678	C21H1orf174	-0.21123273553953845	2.8253175936589496	7.994239107516839	0.005651212391772118	0.05511496276907389
C21H1orf50	1.761356495884288	0.8192654837685572	2.1499215221202603	0.031561422912716	103824174	NA	NA	C21H1orf50	chromosome 21 C1orf50 homolog	C21H1orf50	C21H1orf50	0.0836187977016152	C21H1orf50	-0.09271147403897118	5.607793391278099	1.7261104155429214	0.19186086704758318	0.4010667502312436
C22H2orf42	-0.08009845938411388	0.8486939808702594	-0.09437849353188543	0.9248084992148032	103824658	NA	NA	C22H2orf42	chromosome 22 C2orf42 homolog	C22H2orf42	C22H2orf42	0.9412927326705368	C22H2orf42	-0.08336275301150461	6.331042440892021	1.4972518096112415	0.22391877561511198	0.44003416453619715
C22H2orf68	0.12095416908488711	0.6986379375710795	0.17312854424339247	0.8625503886633764	127060381	NA	NA	C22H2orf68	chromosome 22 C2orf68 homolog	C22H2orf68	C22H2orf68	0.8908489654736655	C22H2orf68	-0.061721424264956075	7.551573477645728	0.5411475310899492	0.4636487153345914	0.6632866368570516
C23H1orf109	1.0701371716819175	1.6196000845586787	0.6607416126268707	0.5087780325418078	103822635	NA	NA	C23H1orf109	chromosome 23 C1orf109 homolog	C23H1orf109	C23H1orf109	0.5779152397591406	C23H1orf109	-0.02656375568797518	3.7692380735271676	0.18466709673379825	0.6683009289275108	0.8134087585942738
C23H1orf216	5.51219384999111	3.025510632919653	1.821905297576753	0.06846935636633542	103822599	chromosome unknown C1orf216 homolog	C1orf216	C23H1orf216	chromosome 23 C1orf216 homolog	C23H1orf216	C23H1orf216	0.1492206748778094	C23H1orf216	0.022714285890125727	0.47522820433372337	0.024288012905829253	0.8764687182745088	0.9371783669293612
C25H1orf43	-0.4221558823366182	0.7302240376542816	-0.5781183042025307	0.5631842499164375	103823967	chromosome unknown C1orf43 homolog	C1orf43	C25H1orf43	chromosome 25 C1orf43 homolog	C25H1orf43	C25H1orf43	0.6301660190075078	C25H1orf43	-0.016753822160920015	8.43967284697201	0.044972633109418195	0.832478289359239	0.9123988803039501
C25H6orf136	-0.1367653445309016	0.7602333905023821	-0.17989915496940156	0.8572317386154693	127060748	NA	NA	C25H6orf136	chromosome 25 C6orf136 homolog	C25H6orf136	C25H6orf136	0.8866108141403741	C25H6orf136	0.0661771969988416	4.835421614273847	0.6953390921949065	0.4063063732301134	0.6175223168686057
C26H1orf116	1.4041902337703274	1.329576913843937	1.0561180922664157	0.2909142655726085	103822398	chromosome unknown C1orf116 homolog	C1orf116	C26H1orf116	chromosome 26 C1orf116 homolog	C26H1orf116	C26H1orf116	0.3576679021871874	C26H1orf116	-0.1474054514294656	2.537779511647717	1.7924633676525366	0.18361044561978054	0.3916193660421188
C26H1orf162	-1.5950537111904641	1.561423323728187	-1.0215382894255598	0.3069994779412717	103823269	chromosome unknown C1orf162 homolog	NA	C26H1orf162	chromosome 26 C1orf162 homolog	C26H1orf162	C26H1orf162	0.3745755173320724	C26H1orf162	0.319977382290511	1.0488354879164365	6.692602420499656	0.011105891604664637	0.07855244345544797
C26H1orf74	1.0550103972254403	0.8627515277973559	1.222843846963598	0.2213886808818257	115484616	NA	NA	C26H1orf74	chromosome 26 C1orf74 homolog	C26H1orf74	C26H1orf74	0.2814090026740686	C26H1orf74	-0.04055482108127307	4.040743678699151	0.2683759389125284	0.6055473003663204	0.7693763953664752
C26H6orf89	-1.8997276022091716	1.5330365581419574	-1.239192628590439	0.2152741697963987	103822332	chromosome unknown C6orf89 homolog	C6orf89	C26H6orf89	chromosome 26 C6orf89 homolog	C26H6orf89	C26H6orf89	0.27461486814153446	C26H6orf89	0.01060817747433455	5.867043345819682	0.045797495840910495	0.8309722956934056	0.9118471380653357
C28H19orf25	-0.4809620188062843	0.8027385152921578	-0.5991515414346819	0.5490718339231246	127060933	NA	NA	C28H19orf25	chromosome 28 C19orf25 homolog	C28H19orf25	C28H19orf25	0.6167250370566965	C28H19orf25	0.08770556071976814	5.352069428908066	1.047125532719915	0.30859513442460235	0.5300634000819303
C28H19orf44	1.9877240479321032	1.7486603211027318	1.1367125015329531	0.25565849144295677	103824126	chromosome unknown C19orf44 homolog	C19orf44	C28H19orf44	chromosome 28 C19orf44 homolog	C28H19orf44	C28H19orf44	0.3188714494981213	C28H19orf44	-0.09762817715609118	3.527047356566247	2.0849670630072237	0.15182617663254108	0.3518112296746398
C2H18orf21	1.5952665494259528	1.1179667171131407	1.4269356368187018	0.15359844763442146	103825043	NA	NA	C2H18orf21	chromosome 2 C18orf21 homolog	C2H18orf21	C2H18orf21	0.20689413478948943	C2H18orf21	0.18200565032986588	0.28415851044708046	1.6649540813988835	0.1999264557386148	0.4102763551065526
C2H18orf63	22.79021325799856	11.016608454297694	2.068714101308362	0.03857292316033708	103815771	NA	NA	C2H18orf63	chromosome 2 C18orf63 homolog	C2H18orf63	C2H18orf63	0.09847627393254861	C2H18orf63	-0.28830993087887147	-1.5552661251223114	1.2524070943424608	0.26488238102569334	0.4853805081454696
C2H1orf35	1.947781259013739	1.3832039895635688	1.4081663107610807	0.15908182943386487	103813043	NA	NA	C2H1orf35	chromosome 2 C1orf35 homolog	C2H1orf35	C2H1orf35	0.21291752762235117	C2H1orf35	-0.03342784864888177	2.5624252801413405	0.1713130695893016	0.6798187342912658	0.8212335240045844
C2H5orf22	0.7542285698926324	2.8011734250126685	0.26925450711400395	0.7877338378302706	103815323	chromosome unknown C5orf22 homolog	C5orf22	C2H5orf22	chromosome 2 C5orf22 homolog	C2H5orf22	C2H5orf22	0.8294340127122725	C2H5orf22	0.04184380785820805	1.3897791792568912	0.1941285707400495	0.6604407714247007	0.8079868377232579
C2H6orf62	-2.0396405080603652	0.945168558004346	-2.15796483155017	0.03093056620349723	103826219	chromosome unknown C6orf62 homolog	C6orf62	C2H6orf62	chromosome 2 C6orf62 homolog	C2H6orf62	C2H6orf62	0.08219279788974004	C2H6orf62	0.07429807182421948	9.313927482313305	2.015511717728272	0.15875316574713771	0.36171859101550335
C2H7orf25	3.3094717061510233	1.3210292420069014	2.505222141126331	0.012237450799296019	103819355	chromosome unknown C7orf25 homolog	C7orf25	C2H7orf25	chromosome 2 C7orf25 homolog	C2H7orf25	C2H7orf25	0.037345892698585875	C2H7orf25	-0.12017509261386386	3.67905802735654	3.018829887733009	0.08532713744037981	0.2535421666279078
C2H8orf76	1.0226521372680388	0.8447923113770333	1.210536747903268	0.22607299869408581	103814399	chromosome unknown C8orf76 homolog	C8orf76	C2H8orf76	chromosome 2 C8orf76 homolog	C2H8orf76	C2H8orf76	0.28642077632048213	C2H8orf76	-0.2767631226879514	5.618171212632797	14.21436939232328	2.738381967667252e-4	0.011714530887234067
C3H1orf115	0.900427676101485	1.572400323290085	0.5726453135149663	0.5668848719034968	108962991	NA	NA	C3H1orf115	chromosome 3 C1orf115 homolog	C3H1orf115	C3H1orf115	0.6333355297587333	C3H1orf115	-0.947981213353344	0.9405096830724019	15.02356049208659	1.8948613358265145e-4	0.009787547596590259
C3H1orf131	4.6402382504115485	2.3442155963405593	1.9794417619502225	0.04776629049417279	103818553	NA	NA	C3H1orf131	chromosome 3 C1orf131 homolog	C3H1orf131	C3H1orf131	0.11626943302584843	C3H1orf131	0.01958557100169218	1.1160911234396742	0.059974880032126046	0.8070320583129085	0.8984034969835866
C3H1orf198	11.565918776639418	11.347079004462346	1.0192860005725712	0.3080672082090568	103818497	NA	NA	C3H1orf198	chromosome 3 C1orf198 homolog	C3H1orf198	C3H1orf198	0.3755923921999247	C3H1orf198	0.1228696239078187	-0.8098677724829063	0.7952076190129392	0.37453808724825066	0.595355182672212
C3H6orf120	-0.4035325270027692	0.9910769403023696	-0.4071656907683219	0.6838862985831293	103818489	chromosome unknown C6orf120 homolog	C6orf120	C3H6orf120	chromosome 3 C6orf120 homolog	C3H6orf120	C3H6orf120	0.7403957639039327	C3H6orf120	-0.03529747513396737	3.374224134822492	0.2054558346187551	0.6513174182013961	0.8029457022760689
C4AH8orf48	-2.6858010723730885	5.41850834479624	-0.495671668560305	0.620126079021668	103816495	chromosome unknown C8orf48 homolog	NA	C4AH8orf48	chromosome 4A C8orf48 homolog	C4AH8orf48	C4AH8orf48	0.6831936274401049	C4AH8orf48	0.1304674995158229	-0.19582325876494633	0.8665587426929003	0.35417133868923356	0.5755912944264941
C4H2orf81	-0.7289209315363737	1.8998280652356776	-0.38367731526586835	0.7012176279697582	127059541	NA	NA	C4H2orf81	chromosome 4 C2orf81 homolog	C4H2orf81	C4H2orf81	0.7554724897217167	C4H2orf81	0.0025401580732775193	1.1335464778774988	3.9575890156296563e-4	0.9841674046862027	0.9938515900904643
C4H4orf33	-2.8710739033521926	3.2601981353262746	-0.880643992842742	0.37851053949486535	103821424	chromosome unknown C4orf33 homolog	C4orf33	C4H4orf33	chromosome 4 C4orf33 homolog	C4H4orf33	C4H4orf33	0.4494436226592799	C4H4orf33	0.02661796343198541	3.138837365031409	0.20490991563455097	0.6517499698021871	0.8032067717277631
C4H4orf46	2.693369327984762	4.588804445674677	0.5869435840796141	0.557241596900385	103825948	chromosome unknown C4orf46 homolog	C4orf46	C4H4orf46	chromosome 4 C4orf46 homolog	C4H4orf46	C4H4orf46	0.6246234669065698	C4H4orf46	0.2997794443306628	-1.3805060551594308	2.534854183093726	0.11371511323391191	0.29891299273480604
C4H4orf50	6.947758332385853	5.337983161682726	1.3015699229361501	0.19306344712664975	103826132	NA	NA	C4H4orf50	chromosome 4 C4orf50 homolog	C4H4orf50	C4H4orf50	0.2501695103578049	C4H4orf50	-0.22820498086699323	0.5253688292093707	1.278881075967598	0.26081574728216156	0.48125285908022447
C5H11orf16	-9.56414643200688	3.2445114910526294	-2.947792436051427	0.003200518786753739	103827033	NA	NA	C5H11orf16	chromosome 5 C11orf16 homolog	C5H11orf16	C5H11orf16	0.023293306884048678	C5H11orf16	-0.016000448144588918	2.4737301383748322	0.03779332272108384	0.8462464505060339	0.9198221054499407
C5H11orf24	1.426536478718245	2.144152309480753	0.665314899697451	0.5058491026180778	103827006	chromosome unknown C11orf24 homolog	NA	C5H11orf24	chromosome 5 C11orf24 homolog	C5H11orf24	C5H11orf24	0.5750856769281523	C5H11orf24	0.009757678505856567	1.7328451857856575	0.011640708832727935	0.9142941591243969	0.9583755717137599
C5H11orf58	-0.5167969307727753	1.4973960812071043	-0.34513041489741775	0.7299963288711449	103827029	NA	NA	C5H11orf58	chromosome 5 C11orf58 homolog	C5H11orf58	C5H11orf58	0.7799264435166983	C5H11orf58	-0.13027023401919796	6.136833522416092	7.146683335473162	0.008748875744546311	0.06940941421961978
C6H10orf88	8.915301180805185	3.1248445098120885	2.8530383360870983	0.004330339723436687	103813779	NA	NA	C6H10orf88	chromosome 6 C10orf88 homolog	C6H10orf88	C6H10orf88	0.023293306884048678	C6H10orf88	-0.15665994355356053	0.9550651523530026	3.2276243532441438	0.07539835959002154	0.2347671531543801
