gene	Estimate	Std. Error	z value	Pr(>|z|)	entrezgene_id	ensembl_gene_id	wikigene_name	entrezgene_description	external_gene_name	gene_gff	description	gene_name	gene.y	FDR_tol	gene.z	logFC	logCPM	F	PValue	FDR_inf
BLTP3A	-0.027327948689335736	1.002252752092765	-0.02726652397039899	0.9782471569375044	103823348	NA	NA	NA	NA	BLTP3A	bridge-like lipid transfer protein family member 3A	BLTP3A	BLTP3A	0.983732209255779	BLTP3A	-0.07741777849113218	8.124268484793078	2.1568766320119797	0.14501905257059192	0.35136774851905533
C10H15orf39	-0.8170876573354192	0.6847870453088726	-1.1931996420388948	0.23279119483524816	115484150	NA	NA	NA	NA	C10H15orf39	chromosome 10 C15orf39 homolog	C10H15orf39	C10H15orf39	0.293322238624024	C10H15orf39	0.26701637458338806	4.028549318913464	3.1404836363586073	0.07936561644317015	0.2506522483131989
C10H15orf40	2.867480382257098	1.2732830523360763	2.2520368719242496	0.02431994202234053	103816197	NA	NA	NA	NA	C10H15orf40	chromosome 10 C15orf40 homolog	C10H15orf40	C10H15orf40	0.06695237229809271	C10H15orf40	-0.03751807676339731	2.4890658932989007	0.3587792198576096	0.5505168302068832	0.7346859515549569
C10H15orf48	-1.3585582317555587	0.7204068319536573	-1.8858208605147608	0.059319098861926114	103816027	ENSSCAG00000005211	CUNH15orf48	chromosome unknown C15orf48 homolog	C15orf48	C10H15orf48	chromosome 10 C15orf48 homolog	C10H15orf48	C10H15orf48	0.13614760484375862	C10H15orf48	0.09493190976938008	9.061884690140298	0.7825626239986639	0.3784450471526247	0.6043873112681681
C10H15orf61	1.0810971063940495	2.22078483195701	0.4868085781373787	0.6263939907702434	103816249	NA	NA	NA	NA	C10H15orf61	chromosome 10 C15orf61 homolog	C10H15orf61	C10H15orf61	0.6887349380407835	C10H15orf61	0.06509064551332015	-0.35507490422526733	0.1803005879944249	0.6720119346975915	0.8206078697465022
C11H16orf87	2.4388408299242994	1.3551097581185476	1.799736748490704	0.07190221557202642	103816610	ENSSCAG00000004191	CUNH16orf87	chromosome unknown C16orf87 homolog	C16orf87	C11H16orf87	chromosome 11 C16orf87 homolog	C11H16orf87	C11H16orf87	0.15347820917702923	C11H16orf87	-0.07215653213289538	2.480086222052052	1.1956817042533168	0.2767695529956587	0.5084924939607586
C11H19orf12	1.3245317334186923	2.505472410561312	0.5286554854227876	0.5970444623365514	103825496	NA	NA	NA	NA	C11H19orf12	chromosome 11 C19orf12 homolog	C11H19orf12	C11H19orf12	0.660934829154854	C11H19orf12	0.3414234915593656	-0.3979010966289636	2.1926944391039296	0.1417578084709947	0.3468629416486932
C12H3orf18	1.1236104749412978	2.0233369540514725	0.55532543538604	0.5786720841906998	103816967	ENSSCAG00000000954	CUNH3orf18	chromosome unknown C3orf18 homolog	C3orf18	C12H3orf18	chromosome 12 C3orf18 homolog	C12H3orf18	C12H3orf18	0.6439229423487015	C12H3orf18	0.14391555706530576	2.086560777577204	2.179069112326578	0.1429884494227273	0.34872140415321984
C13H5orf15	-1.49037824442176	0.9778654909041447	-1.5241137541767025	0.12748029742588524	103817250	ENSSCAG00000010858	CUNH5orf15	chromosome unknown C5orf15 homolog	C5orf15	C13H5orf15	chromosome 13 C5orf15 homolog	C13H5orf15	C13H5orf15	0.179849079349075	C13H5orf15	0.15003405247263332	6.26862263227736	5.4478809566641795	0.021558443715980178	0.11880905855500098
C13H5orf24	-1.474745166038687	1.5879864233000125	-0.9286887749166032	0.35305039973655405	103817260	ENSSCAG00000010932	CUNH5orf24	chromosome unknown C5orf24 homolog	C5orf24	C13H5orf24	chromosome 13 C5orf24 homolog	C13H5orf24	C13H5orf24	0.422659603243635	C13H5orf24	-0.08231141705738215	9.274414619168741	2.989247839392683	0.08685331856704509	0.2640193287439709
C13H5orf47	16.505922968313563	9.39384264533996	1.757100218886647	0.07890072843952786	103824098	NA	NA	NA	NA	C13H5orf47	chromosome 13 C5orf47 homolog	C13H5orf47	C13H5orf47	0.15776807897155606	C13H5orf47	-0.2754272416036724	-1.6513167540521987	1.1164382476818724	0.2931899641880243	0.5256869773542407
C14H7orf50	-1.4625674294303301	1.1924250951184783	-1.2265486825275267	0.2199922671382369	103817646	ENSSCAG00000009781	CUNH7orf50	chromosome unknown C7orf50 homolog	C7orf50	C14H7orf50	chromosome 14 C7orf50 homolog	C14H7orf50	C14H7orf50	0.27945741841411265	C14H7orf50	0.09840924085082989	0.7054794417182508	0.7912119849422874	0.3758329650073735	0.6027775724542918
C15H12orf43	1.5028696331171822	2.098808494882742	0.7160584859368725	0.47395523616232643	103818029	ENSSCAG00000003891	CUNH12orf43	chromosome unknown C12orf43 homolog	C12orf43	C15H12orf43	chromosome 15 C12orf43 homolog	C15H12orf43	C15H12orf43	0.5441885387897698	C15H12orf43	0.02245575084169947	3.443104727051744	0.14580095417632044	0.7033774661479508	0.8411996116710997
C15H12orf76	7.127540479162323	5.560923321439105	1.281718892199685	0.1999412751991954	108962391	NA	NA	NA	NA	C15H12orf76	chromosome 15 C12orf76 homolog	C15H12orf76	C15H12orf76	0.25736482745927564	C15H12orf76	0.07683723499657037	-0.5447458032554058	0.29313773460202736	0.5894007958286761	0.7623951968621163
C15H22orf39	-1.1826659869615335	0.8262960334465178	-1.4312860513544772	0.15234824992900287	103818276	NA	NA	NA	NA	C15H22orf39	chromosome 15 C22orf39 homolog	C15H22orf39	C15H22orf39	0.20533786340700436	C15H22orf39	-0.11261798096450959	4.695568749069989	2.5405890535268143	0.11405640508371051	0.3095535297115262
C17H9orf78	-1.584168548683414	1.5855470675022265	-0.9991305721242422	0.31773144295575917	103819144	NA	NA	NA	NA	C17H9orf78	chromosome 17 C9orf78 homolog	C17H9orf78	C17H9orf78	0.3851714649011848	C17H9orf78	0.032795673300022365	8.533837267891169	0.43462630196253654	0.5112175009061861	0.7085035290371737
C18H17orf67	1.9448552512192236	2.19760996087484	0.8849865471327778	0.3761638871120665	103819800	ENSSCAG00000014342	CUNH17orf67	chromosome unknown C17orf67 homolog	C17orf67	C18H17orf67	chromosome 18 C17orf67 homolog	C18H17orf67	C18H17orf67	0.4464451816111561	C18H17orf67	-0.24846423199091636	-0.8038698804442072	1.448097109625802	0.23162704155002165	0.4588326052674659
C18H17orf75	-1.1152034445662315	0.8713932767030288	-1.2797934920793443	0.20061777328243527	103819787	NA	NA	NA	NA	C18H17orf75	chromosome 18 C17orf75 homolog	C18H17orf75	C18H17orf75	0.2580343188338607	C18H17orf75	0.31940632452929424	3.2594772356030535	7.889503463529876	0.0059630442638530685	0.06205470219763848
C1AH12orf29	2.6649443691469386	1.6497678290578723	1.615345094145035	0.10623598331869027	103813412	ENSSCAG00000007807	CUNH12orf29	chromosome unknown C12orf29 homolog	RLIG1	C1AH12orf29	chromosome 1A C12orf29 homolog	C1AH12orf29	C1AH12orf29	0.1615198087775526	C1AH12orf29	-0.09333620096281361	1.7390022570350816	0.936252508874247	0.33553872622183745	0.5661797804019346
C1AH12orf4	-0.9213630644466546	1.0811275067717085	-0.8522242368967957	0.3940896470131061	103819600	ENSSCAG00000009518	CUNH12orf4	chromosome unknown C12orf4 homolog	C12orf4	C1AH12orf4	chromosome 1A C12orf4 homolog	C1AH12orf4	C1AH12orf4	0.4647283573267761	C1AH12orf4	0.14601234389613585	1.9360658654845175	1.0056126861987447	0.31833604576427194	0.5485972902094612
C1AH12orf73	-0.19064090010027418	0.8014459455344309	-0.23787118914569896	0.811981001931961	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8493782279479385	C1AH12orf73	-0.017641788173832912	2.5896816554208035	0.042293127380211834	0.8374730924124858	0.9172836743113054
C1AH12orf75	-1.752498171218958	2.1597030562112955	-0.811453299646348	0.4171054012376788	103813588	NA	NA	NA	NA	C1AH12orf75	chromosome 1A C12orf75 homolog	C1AH12orf75	C1AH12orf75	0.4879117450938783	C1AH12orf75	0.19579255717767777	0.12619801830854543	1.730705914313058	0.19127862952521896	0.40990519601369846
C1AH22orf23	0.6677095223911022	0.5443753914471304	1.2265608124131193	0.21998770558738767	103813250	ENSSCAG00000004305	CUNH22orf23	chromosome unknown C22orf23 homolog	NA	C1AH22orf23	chromosome 1A C22orf23 homolog	C1AH22orf23	C1AH22orf23	0.27945741841411265	C1AH22orf23	0.21126745027025826	2.089075356731888	0.15054210247388808	0.698828723298863	0.837467693244089
C1H11orf54	0.23898150976949628	1.3829653070188177	0.17280369113861258	0.8628057355853863	103827262	ENSSCAG00000003598	CUNH11orf54	chromosome unknown C11orf54 homolog	C11orf54	C1H11orf54	chromosome 1 C11orf54 homolog	C1H11orf54	C1H11orf54	0.8909656499145022	C1H11orf54	0.28895316815015004	0.5552304139963689	3.056252836982076	0.08344443866196101	0.258560232473682
C1H12orf57	1.3183007693603546	0.6765419447419638	1.948586897835522	0.051344778070865425	103827162	ENSSCAG00000014688	CUNH12orf57	chromosome unknown C12orf57 homolog	C12orf57	C1H12orf57	chromosome 1 C12orf57 homolog	C1H12orf57	C1H12orf57	0.12295909489875659	C1H12orf57	-0.023866092693191843	2.0885412543141926	0.04536207021614299	0.8317659648399727	0.9137546802396583
C1H21orf62	2.8990210723617373	5.854383456701099	0.49518810884234665	0.6204673436019772	103820753	NA	NA	NA	NA	C1H21orf62	chromosome 1 C21orf62 homolog	C1H21orf62	C1H21orf62	0.6831972752374124	C1H21orf62	-0.13155744538646105	-1.4459600030878446	0.25320916031470614	0.6159124362412296	0.7826799975556896
C1H21orf91	1.3890032390093934	1.5076904111274454	0.9212788174269158	0.35690487742246174	103818406	NA	NA	NA	NA	C1H21orf91	chromosome 1 C21orf91 homolog	C1H21orf91	C1H21orf91	0.42671757248864645	C1H21orf91	0.26975340847175844	1.5728071885514754	5.229138683639996	0.024283758966542137	0.12753830972290361
C1H2orf49	-0.6931452778149273	0.6508193025780176	-1.0650349107183033	0.2868601319414296	103812374	ENSSCAG00000003150	CUNH2orf49	chromosome unknown C2orf49 homolog	C2orf49	C1H2orf49	chromosome 1 C2orf49 homolog	C1H2orf49	C1H2orf49	0.3527757454746656	C1H2orf49	-0.030386606511896327	4.924476276184118	0.09180563186979626	0.7625129534345041	0.8775520493596511
C1H3orf38	5.577280811491618	6.121054478316227	0.911163400235871	0.36220928512715617	103818379	ENSSCAG00000012524	CUNH3orf38	chromosome unknown C3orf38 homolog	C3orf38	C1H3orf38	chromosome 1 C3orf38 homolog	C1H3orf38	C1H3orf38	0.4322775454484884	C1H3orf38	-0.10407508191726371	-0.08032609910347761	0.717087972565572	0.3990889015771	0.6211127088626273
C1H3orf52	4.040042788951258	2.980272693885594	1.3555950088862392	0.1752280607596804	103820738	ENSSCAG00000016931	CUNH3orf52	chromosome unknown C3orf52 homolog	C3orf52	C1H3orf52	chromosome 1 C3orf52 homolog	C1H3orf52	C1H3orf52	0.2300861851452114	C1H3orf52	0.2184929709145695	1.0457835272638745	2.5573035914015447	0.11288768696851417	0.30751970199446654
C20H20orf204	0.8995833879396082	1.371060298164705	0.6561224106217548	0.5117453660794705	127060316	NA	NA	NA	NA	C20H20orf204	chromosome 20 C20orf204 homolog	C20H20orf204	C20H20orf204	0.5805292911867489	C20H20orf204	-0.14378754743988129	4.116536219427611	3.218911825544715	0.07576314703745765	0.24397292686201294
C21H1orf167	1.40564802360316	3.6661163291496783	0.38341609960019657	0.7014112680109732	108962851	NA	NA	NA	NA	C21H1orf167	chromosome 21 C1orf167 homolog	C21H1orf167	C21H1orf167	0.7553624594315869	C21H1orf167	-0.19627182065512297	3.041308317494182	3.543774442830096	0.06262741778935597	0.21817992093001762
C21H1orf174	4.448117072162622	1.478678265605395	3.0081709967796755	0.0026282520868779833	103820818	ENSSCAG00000001086	CUNH1orf174	chromosome unknown C1orf174 homolog	C1orf174	C21H1orf174	chromosome 21 C1orf174 homolog	C21H1orf174	C21H1orf174	0.023213298146954685	C21H1orf174	-0.20284188061741024	2.8254503662936306	7.089506525008853	0.00901468057180628	0.07568939804514462
C21H1orf50	1.761356495884288	0.8192654837685572	2.1499215221202603	0.031561422912716	103824174	NA	NA	NA	NA	C21H1orf50	chromosome 21 C1orf50 homolog	C21H1orf50	C21H1orf50	0.08348244277970727	C21H1orf50	-0.08815460625926122	5.607561973212531	1.5479475449337967	0.2162983489780979	0.4411255011974521
C22H2orf42	-0.08009845938411388	0.8486939808702594	-0.09437849353188543	0.9248084992148032	103824658	NA	NA	NA	NA	C22H2orf42	chromosome 22 C2orf42 homolog	C22H2orf42	C22H2orf42	0.941295431314802	C22H2orf42	-0.0786251043635413	6.3293654062508695	1.351039542787435	0.2478166345073145	0.47626820201253295
C22H2orf68	0.12095416908488711	0.6986379375710795	0.17312854424339247	0.8625503886633764	127060381	NA	NA	NA	NA	C22H2orf68	chromosome 22 C2orf68 homolog	C22H2orf68	C22H2orf68	0.8908692318203317	C22H2orf68	-0.05752272361659022	7.551258377693713	0.46646069023153464	0.4961727259113726	0.6965160777214267
C23H1orf109	1.0701371716819175	1.6196000845586787	0.6607416126268707	0.5087780325418078	103822635	NA	NA	NA	NA	C23H1orf109	chromosome 23 C1orf109 homolog	C23H1orf109	C23H1orf109	0.5774608795831352	C23H1orf109	-0.021946218876194742	3.768476296866783	0.12674441937722564	0.7225690962048448	0.8517518237454776
C23H1orf216	5.51219384999111	3.025510632919653	1.821905297576753	0.06846935636633542	103822599	ENSSCAG00000015416	CUNH1orf216	chromosome unknown C1orf216 homolog	C1orf216	C23H1orf216	chromosome 23 C1orf216 homolog	C23H1orf216	C23H1orf216	0.14909446013442373	C23H1orf216	0.027807372903715464	0.4753058211470186	0.03034864011021257	0.8620478053927769	0.9315952318563804
C23H1orf232	-4.489508867268152	6.12508632681528	-0.7329707089373316	0.4635762946419203	115484550	NA	NA	NA	NA	C23H1orf232	chromosome 23 C1orf232 homolog	C23H1orf232	C23H1orf232	0.5342792485308341	C23H1orf232	0.25984010429753573	-1.545991132111442	1.1788703442681587	0.28015281044396567	0.5119071287182096
C24H11orf52	0.8596082188301208	8.221593154091538	0.10455494485303378	0.9167289674732495	103822987	ENSSCAG00000007743	CUNH11orf52	chromosome unknown C11orf52 homolog	C11orf52	C24H11orf52	chromosome 24 C11orf52 homolog	C24H11orf52	C24H11orf52	0.935090749462699	C24H11orf52	0.12097772834315555	-1.6182936821831848	0.20697012688601732	0.6501222195452679	0.8059993584029316
C25H1orf43	-0.4221558823366182	0.7302240376542816	-0.5781183042025307	0.5631842499164375	103823967	ENSSCAG00000013023	CUNH1orf43	chromosome unknown C1orf43 homolog	C1orf43	C25H1orf43	chromosome 25 C1orf43 homolog	C25H1orf43	C25H1orf43	0.6295972169532313	C25H1orf43	-0.01243701110906914	8.439150974442258	0.024629002023409213	0.8756061634905093	0.9390336159106565
C25H6orf136	-0.1367653445309016	0.7602333905023821	-0.17989915496940156	0.8572317386154693	127060748	NA	NA	NA	NA	C25H6orf136	chromosome 25 C6orf136 homolog	C25H6orf136	C25H6orf136	0.8866246904754743	C25H6orf136	0.07010631062889752	4.833508009519084	0.7928023335471245	0.3753554686547833	0.6024088350164307
C26H1orf116	1.4041902337703274	1.329576913843937	1.0561180922664157	0.2909142655726085	103822398	ENSSCAG00000012096	CUNH1orf116	chromosome unknown C1orf116 homolog	C1orf116	C26H1orf116	chromosome 26 C1orf116 homolog	C26H1orf116	C26H1orf116	0.3572023650802233	C26H1orf116	-0.15480502040675992	2.5358957565390776	1.946713520197269	0.16598058142500827	0.3784013255285163
C26H1orf162	-1.5950537111904641	1.561423323728187	-1.0215382894255598	0.3069994779412717	103823269	ENSSCAG00000015582	CUNH1orf162	chromosome unknown C1orf162 homolog	NA	C26H1orf162	chromosome 26 C1orf162 homolog	C26H1orf162	C26H1orf162	0.37409218576118586	C26H1orf162	0.3249462761338916	1.0507789457021803	6.528819612483826	0.012094530098188469	0.08798930626988966
C26H1orf74	1.0550103972254403	0.8627515277973559	1.222843846963598	0.2213886808818257	115484616	NA	NA	NA	NA	C26H1orf74	chromosome 26 C1orf74 homolog	C26H1orf74	C26H1orf74	0.2810149422686456	C26H1orf74	-0.036963522136427986	4.039830664121837	0.2204771921764203	0.6396816662800198	0.7995540889643458
C26H6orf89	-1.8997276022091716	1.5330365581419574	-1.239192628590439	0.2152741697963987	103822332	ENSSCAG00000013586	CUNH6orf89	chromosome unknown C6orf89 homolog	C6orf89	C26H6orf89	chromosome 26 C6orf89 homolog	C26H6orf89	C26H6orf89	0.27422402544897545	C26H6orf89	0.014804797247791735	5.867192759005742	0.08787761015913173	0.767497357975409	0.8804281233038309
C28H19orf25	-0.4809620188062843	0.8027385152921578	-0.5991515414346819	0.5490718339231246	127060933	NA	NA	NA	NA	C28H19orf25	chromosome 28 C19orf25 homolog	C28H19orf25	C28H19orf25	0.6162384388910135	C28H19orf25	0.09155344910367601	5.35071445899007	1.1469215657870908	0.2867292923282553	0.5181505083811435
C28H19orf44	1.9877240479321032	1.7486603211027318	1.1367125015329531	0.25565849144295677	103824126	ENSSCAG00000015326	CUNH19orf44	chromosome unknown C19orf44 homolog	C19orf44	C28H19orf44	chromosome 28 C19orf44 homolog	C28H19orf44	C28H19orf44	0.3184633178928572	C28H19orf44	-0.09596493154018138	3.526505223782703	1.985470238531661	0.16186537487816804	0.3733527204151496
C2H18orf21	1.5952665494259528	1.1179667171131407	1.4269356368187018	0.15359844763442146	103825043	NA	NA	NA	NA	C2H18orf21	chromosome 2 C18orf21 homolog	C2H18orf21	C2H18orf21	0.20656731485597474	C2H18orf21	0.1947209330070313	0.284823878213926	1.6373773802887086	0.20359696065756697	0.4252072464843814
C2H18orf63	22.79021325799856	11.016608454297694	2.068714101308362	0.03857292316033708	103815771	NA	NA	NA	NA	C2H18orf63	chromosome 2 C18orf63 homolog	C2H18orf63	C2H18orf63	0.09840031418453336	C2H18orf63	-0.3058240384751521	-1.5559570980817472	1.12463344691296	0.2914347874479663	0.5236495690832456
C2H1orf35	1.947781259013739	1.3832039895635688	1.4081663107610807	0.15908182943386487	103813043	NA	NA	NA	NA	C2H1orf35	chromosome 2 C1orf35 homolog	C2H1orf35	C2H1orf35	0.21260733724759195	C2H1orf35	-0.030413900272393695	2.56158854310332	0.13970086214363042	0.7093565697093809	0.8438990690347523
C2H5orf22	0.7542285698926324	2.8011734250126685	0.26925450711400395	0.7877338378302706	103815323	ENSSCAG00000003726	CUNH5orf22	chromosome unknown C5orf22 homolog	C5orf22	C2H5orf22	chromosome 2 C5orf22 homolog	C2H5orf22	C2H5orf22	0.8294249630214008	C2H5orf22	0.05259844405695971	1.3913358091976327	0.2780377038916658	0.5991385853254465	0.7698311457282924
C2H6orf62	-2.0396405080603652	0.945168558004346	-2.15796483155017	0.03093056620349723	103826219	ENSSCAG00000007363	CUNH6orf62	chromosome unknown C6orf62 homolog	C6orf62	C2H6orf62	chromosome 2 C6orf62 homolog	C2H6orf62	C2H6orf62	0.08205713358914773	C2H6orf62	0.07932149077552443	9.314828904665413	2.226013197623702	0.13879893590640202	0.3427134219911161
C2H7orf25	3.3094717061510233	1.3210292420069014	2.505222141126331	0.012237450799296019	103819355	ENSSCAG00000015500	CUNH7orf25	chromosome unknown C7orf25 homolog	C7orf25	C2H7orf25	chromosome 2 C7orf25 homolog	C2H7orf25	C2H7orf25	0.037250795717809114	C2H7orf25	-0.11546512784521307	3.6784962513722856	2.753753622799168	0.10010691412953708	0.28691403215865235
C2H8orf76	1.0226521372680388	0.8447923113770333	1.210536747903268	0.22607299869408581	103814399	ENSSCAG00000007265	CUNH8orf76	chromosome unknown C8orf76 homolog	C8orf76	C2H8orf76	chromosome 2 C8orf76 homolog	C2H8orf76	C2H8orf76	0.28602572391614584	C2H8orf76	-0.27006889106130133	5.617726434934409	13.424989048394993	3.9646993938560374e-4	0.016273019900155377
C3H1orf115	0.900427676101485	1.572400323290085	0.5726453135149663	0.5668848719034968	108962991	NA	NA	NA	NA	C3H1orf115	chromosome 3 C1orf115 homolog	C3H1orf115	C3H1orf115	0.6327696107703759	C3H1orf115	-0.9542965614753433	0.9392161763503339	14.851702610076721	2.0383950059237854e-4	0.011463829747451306
C3H1orf131	4.6402382504115485	2.3442155963405593	1.9794417619502225	0.04776629049417279	103818553	NA	NA	NA	NA	C3H1orf131	chromosome 3 C1orf131 homolog	C3H1orf131	C3H1orf131	0.11619398395309613	C3H1orf131	0.03295287501408882	1.1166991288348023	0.15376925733970825	0.6957795298680847	0.8354790394262929
C3H1orf198	11.565918776639418	11.347079004462346	1.0192860005725712	0.3080672082090568	103818497	NA	NA	NA	NA	C3H1orf198	chromosome 3 C1orf198 homolog	C3H1orf198	C3H1orf198	0.3751095074495932	C3H1orf198	0.11754178977449554	-0.8105330539108291	0.5860937483045306	0.44570657984418227	0.6565233077144018
C3H6orf120	-0.4035325270027692	0.9910769403023696	-0.4071656907683219	0.6838862985831293	103818489	ENSSCAG00000003309	CUNH6orf120	chromosome unknown C6orf120 homolog	C6orf120	C3H6orf120	chromosome 3 C6orf120 homolog	C3H6orf120	C3H6orf120	0.740160960717696	C3H6orf120	-0.030818861438009725	3.373877070948878	0.15659844847676838	0.6931366130513685	0.8339395538579317
