Sample	Sense	Antisense	Undetermined
ES73_Blue-042_MG-protein_0	1.22	97.57000000000001	1.2
ES74_Blue-042_MG-protein_14	1.66	97.17	1.17
ES75_Blue-042_MG-protein_21	1.1400000000000001	97.87	0.9900000000000001
ES76_Blue-043_MG-lipid_0	0.8500000000000001	98.47	0.6799999999999999
ES77_Blue-043_MG-lipid_14	0.72	98.33	0.9400000000000001
ES78_Blue-043_MG-lipid_21	1.2	97.61	1.18
ES79_Blue-050_Control-lipid_0	3.62	95.11	1.27
ES7_SEM19-1354_Control-protein_14	0.84	98.42	0.74
ES80_Blue-050_Control-lipid_14	3.56	95.28999999999999	1.15
ES81_Blue-047_Control-lipid_0	1.59	97.22	1.1900000000000002
ES82_Blue-047_Control-lipid_14	0.96	98.2	0.84
ES83_SEM19-1481_MG-lipid_0	0.76	96.39999999999999	2.83
ES84_LD19-239_MG-lipid_0	0.66	97.91	1.43
ES85_orange-24_Control-protein_0	0.97	97.41	1.6199999999999999
ES86_orange-24_Control-protein_14	0.7799999999999999	97.83	1.39
ES87_orange-24_Control-protein_21	0.9900000000000001	97.32	1.69
ES88_610_MG-protein_0	0.9299999999999999	97.84	1.22
ES8_SEM19-1354_Control-protein_21	1.02	98.04	0.95
ES90_Blue-049_Control-protein_14	0.96	97.8	1.24
ES91_Blue-049_Control-protein_21	0.86	97.81	1.3299999999999998
ES92_SEM19-76_MG-lipid_0	0.5599999999999999	98.11999999999999	1.32
ES93_SEM19-76_MG-lipid_14	0.58	97.78	1.6400000000000001
ES94_SEM19-76_MG-lipid_21	0.65	98.11999999999999	1.23
ES95_610_MG-protein_14	0.8	98.05	1.15
ES96_610_MG-protein_21	0.84	97.55	1.6
ES97_SEM19-107_MG-protein_0	0.75	97.95	1.3
ES98_SEM19-107_MG-protein_14	1.02	97.38	1.59
ES99_SEM19-107_MG-protein_21	0.8200000000000001	97.7	1.48
ES9_172_Control-protein_0	0.7100000000000001	97.63	1.66
