Sample	Aligned uniquely to a gene	Aligned to multiple genes	Filtered due to too many alignments	Unalignable reads
ES51_Blue-024_Control-protein_21	27182856.0	135435.0	0.0	4643610.0
ES52_SEM19-1481_MG-lipid_14	32352570.0	178113.0	0.0	5192316.0
ES53_SEM19-74_MG-protein_0	30299120.0	159148.0	0.0	3970268.0
ES54_SEM19-74_MG-protein_14	31370791.0	160106.0	0.0	4259919.0
ES55_SEM19-74_MG-protein_21	26983533.0	153569.0	0.0	4529218.0
ES56_Blue-050_Control-lipid_21	32471755.0	130450.0	0.0	6485320.0
ES57_Blue-031_MG-lipid_0	39119349.0	191718.0	0.0	4799361.0
ES58_Blue-032_MG-protein_0	34892469.0	177408.0	0.0	6565318.0
ES59_Blue-032_MG-protein_14	33843373.0	177923.0	0.0	5437116.0
ES5_164_Control-protein_14	30084685.0	182706.0	0.0	4917685.0
ES60_Blue-032_MG-protein_21	29974971.0	157100.0	0.0	5228582.0
ES61_Blue-035_MG-protein_0	28059039.0	163837.0	0.0	4039030.0
ES62_Blue-035_MG-protein_14	31264395.0	174751.0	0.0	5428771.0
ES63_Blue-035_MG-protein_21	28572615.0	168609.0	0.0	4948905.0
ES64_SEM19-1481_MG-lipid_21	33596893.0	179496.0	0.0	4972959.0
ES65_106_NA_0	32144567.0	160722.0	0.0	5669165.0
ES66_617_Control-protein_14	30647754.0	153611.0	0.0	4982527.0
ES67_Blue-037_MG-protein_0	28884657.0	175455.0	0.0	6137256.0
ES68_Blue-037_MG-protein_14	26449181.0	173159.0	0.0	5119106.0
ES69_Blue-037_MG-protein_21	27810037.0	172711.0	0.0	5790681.0
ES6_164_Control-protein_21	28775817.0	175976.0	0.0	5113031.0
ES70_Blue-039_Control-lipid_0	39035091.0	198148.0	0.0	6348624.0
ES71_Blue-039_Control-lipid_14	27698985.0	142669.0	0.0	4560833.0
ES72_Blue-039_Control-lipid_21	30102155.0	153948.0	0.0	5734546.0
ES73_Blue-042_MG-protein_0	37862921.0	191896.0	0.0	6189606.0
ES74_Blue-042_MG-protein_14	34449123.0	187725.0	0.0	6091868.0
ES75_Blue-042_MG-protein_21	34597528.0	178444.0	0.0	5277747.0
ES76_Blue-043_MG-lipid_0	28866232.0	161196.0	0.0	4896592.0
ES77_Blue-043_MG-lipid_14	32605457.0	208821.0	0.0	5214555.0
ES78_Blue-043_MG-lipid_21	35280010.0	217930.0	0.0	5699620.0
ES79_Blue-050_Control-lipid_0	25805468.0	115738.0	0.0	5539573.0
ES7_SEM19-1354_Control-protein_14	31566968.0	172082.0	0.0	4086318.0
ES80_Blue-050_Control-lipid_14	27951418.0	99425.0	0.0	5387977.0
ES81_Blue-047_Control-lipid_0	31842352.0	159485.0	0.0	5039756.0
ES82_Blue-047_Control-lipid_14	21706657.0	78166.0	0.0	3735170.0
ES83_SEM19-1481_MG-lipid_0	33916478.0	181005.0	0.0	5026176.0
ES84_LD19-239_MG-lipid_0	32801225.0	174858.0	0.0	5544669.0
ES85_orange-24_Control-protein_0	32144800.0	169255.0	0.0	5228202.0
ES86_orange-24_Control-protein_14	25401532.0	130184.0	0.0	4342733.0
ES87_orange-24_Control-protein_21	31282595.0	164190.0	0.0	5251671.0
ES88_610_MG-protein_0	35525252.0	181425.0	0.0	4846091.0
ES89_Blue-049_Control-protein_0	788.0	2.0	0.0	106290.0
ES8_SEM19-1354_Control-protein_21	32640970.0	197074.0	0.0	4681695.0
ES90_Blue-049_Control-protein_14	30679823.0	155037.0	0.0	5814822.0
ES91_Blue-049_Control-protein_21	30075548.0	146682.0	0.0	5237785.0
ES92_SEM19-76_MG-lipid_0	36044119.0	159354.0	0.0	5317456.0
ES93_SEM19-76_MG-lipid_14	34159135.0	192250.0	0.0	5813062.0
ES94_SEM19-76_MG-lipid_21	35307521.0	168135.0	0.0	5667143.0
ES95_610_MG-protein_14	34904762.0	210041.0	0.0	6081469.0
ES96_610_MG-protein_21	34347707.0	226130.0	0.0	5022158.0
ES97_SEM19-107_MG-protein_0	33659951.0	205663.0	0.0	5264334.0
ES98_SEM19-107_MG-protein_14	39056725.0	265376.0	0.0	6394159.0
ES99_SEM19-107_MG-protein_21	32192110.0	192900.0	0.0	5825093.0
ES9_172_Control-protein_0	33517591.0	197017.0	0.0	4373322.0
