Sample	pe_sense	pe_antisense	failed
ES54_SEM19-74_MG-protein_14	0.0131	0.9686	0.0183
ES55_SEM19-74_MG-protein_21	0.0085	0.9755	0.016
ES56_Blue-050_Control-lipid_21	0.0348	0.9502	0.015
ES57_Blue-031_MG-lipid_0	0.0101	0.9709	0.0191
ES58_Blue-032_MG-protein_0	0.0118	0.9675	0.0206
ES59_Blue-032_MG-protein_14	0.0118	0.9717	0.0165
ES5_164_Control-protein_14	0.0053	0.9774	0.0173
ES60_Blue-032_MG-protein_21	0.0089	0.9746	0.0164
ES61_Blue-035_MG-protein_0	0.0062	0.9825	0.0114
ES62_Blue-035_MG-protein_14	0.0055	0.9814	0.0131
ES63_Blue-035_MG-protein_21	0.0072	0.9812	0.0116
ES64_SEM19-1481_MG-lipid_21	0.0073	0.9699	0.0228
ES65_106_NA_0	0.0072	0.9797	0.0132
ES66_617_Control-protein_14	0.0076	0.9785	0.0139
ES67_Blue-037_MG-protein_0	0.0068	0.9829	0.0103
ES68_Blue-037_MG-protein_14	0.0055	0.9861	0.0084
ES69_Blue-037_MG-protein_21	0.008	0.9786	0.0134
ES6_164_Control-protein_21	0.0054	0.9766	0.018
ES70_Blue-039_Control-lipid_0	0.0097	0.9697	0.0206
ES71_Blue-039_Control-lipid_14	0.0077	0.9796	0.0128
ES72_Blue-039_Control-lipid_21	0.0078	0.9792	0.013
ES73_Blue-042_MG-protein_0	0.0122	0.9757	0.012
ES74_Blue-042_MG-protein_14	0.0166	0.9717	0.0117
ES75_Blue-042_MG-protein_21	0.0114	0.9787	0.0099
ES76_Blue-043_MG-lipid_0	0.0085	0.9847	0.0068
ES77_Blue-043_MG-lipid_14	0.0072	0.9833	0.0094
ES78_Blue-043_MG-lipid_21	0.012	0.9761	0.0118
ES79_Blue-050_Control-lipid_0	0.0362	0.9511	0.0127
ES7_SEM19-1354_Control-protein_14	0.0084	0.9842	0.0074
ES80_Blue-050_Control-lipid_14	0.0356	0.9529	0.0115
ES81_Blue-047_Control-lipid_0	0.0159	0.9722	0.0119
ES82_Blue-047_Control-lipid_14	0.0096	0.982	0.0084
ES83_SEM19-1481_MG-lipid_0	0.0076	0.964	0.0283
ES84_LD19-239_MG-lipid_0	0.0066	0.9791	0.0143
ES85_orange-24_Control-protein_0	0.0097	0.9741	0.0162
ES86_orange-24_Control-protein_14	0.0078	0.9783	0.0139
ES87_orange-24_Control-protein_21	0.0099	0.9732	0.0169
ES88_610_MG-protein_0	0.0093	0.9784	0.0122
ES8_SEM19-1354_Control-protein_21	0.0102	0.9804	0.0095
ES90_Blue-049_Control-protein_14	0.0096	0.978	0.0124
ES91_Blue-049_Control-protein_21	0.0086	0.9781	0.0133
ES92_SEM19-76_MG-lipid_0	0.0056	0.9812	0.0132
ES93_SEM19-76_MG-lipid_14	0.0058	0.9778	0.0164
ES94_SEM19-76_MG-lipid_21	0.0065	0.9812	0.0123
ES95_610_MG-protein_14	0.008	0.9805	0.0115
ES96_610_MG-protein_21	0.0084	0.9755	0.016
ES97_SEM19-107_MG-protein_0	0.0075	0.9795	0.013
ES98_SEM19-107_MG-protein_14	0.0102	0.9738	0.0159
ES99_SEM19-107_MG-protein_21	0.0082	0.977	0.0148
ES9_172_Control-protein_0	0.0071	0.9763	0.0166
