Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
ES14_209_MG-lipid_21	79606008.0	0.0	79606008.0	1.0	39803004.0	39803004.0	71088827.0	71022008.0	8517181.0	71022008.0	79606008.0	0.0	376976.0	0.0	7716392.0	0.0	3936770659.0	1972795555.0	1963975104.0	3521228017.0	3499924099.0	0.0	0.0	7899406.0	0.002257022	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1132.8	1697.7	35507445.0	3559.0	0.0	0.0	89.2	89.30083141463393	89.21689428265263	10.699168585366069	89.21689428265263	100.0	0.0	0.47355219721606945	0.0
ES15_601_Control-protein_14	88738140.0	0.0	88738140.0	1.0	44369070.0	44369070.0	78260685.0	78162756.0	10477455.0	78162756.0	88738140.0	0.0	412641.0	0.0	8301587.0	0.0	4386636119.0	2199025473.0	2187610646.0	3876608222.0	3857798438.0	0.0	0.0	6604954.0	0.001712105	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1057.4	1657.9	39076771.0	4607.0	0.0	0.0	88.1	88.19283906559231	88.0824817829177	11.807160934407685	88.0824817829177	100.0	0.0	0.46500974665459516	0.0
ES16_601_Control-protein_21	97194312.0	0.0	97194312.0	1.0	48597156.0	48597156.0	87067611.0	86995964.0	10126701.0	86995964.0	97194312.0	0.0	414558.0	0.0	8376278.0	0.0	4807904641.0	2408628472.0	2399276169.0	4313019685.0	4294243893.0	0.0	0.0	7027625.0	0.001636522	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1031.6	1634.6	43493525.0	4457.0	0.0	0.0	89.5	89.5809736273456	89.5072584082904	10.4190263726544	89.5072584082904	100.0	0.0	0.4265249596087475	0.0
ES17_615_Control-protein_0	92184518.0	0.0	92184518.0	1.0	46092259.0	46092259.0	82630872.0	82565918.0	9553646.0	82565918.0	92184518.0	0.0	435433.0	0.0	8907375.0	0.0	4559923968.0	2284773631.0	2275150337.0	4093500820.0	4069866253.0	0.0	0.0	9019338.0	0.002216126	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1010.6	1611.1	41278601.0	4358.0	0.0	0.0	89.6	89.63638775005582	89.56592689457898	10.363612249944183	89.56592689457898	100.0	0.0	0.4723493808363786	0.0
ES18_615_Control-protein_14	88691644.0	0.0	88691644.0	1.0	44345822.0	44345822.0	77952926.0	77840818.0	10738718.0	77840818.0	88691644.0	0.0	412675.0	0.0	7625345.0	0.0	4382713294.0	2197698084.0	2185015210.0	3861169154.0	3836868915.0	0.0	0.0	9823630.0	0.002560325	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1088.9	1710.2	38914763.0	5646.0	0.0	0.0	87.8	87.89207470322683	87.76567271658648	12.107925296773166	87.76567271658648	100.0	0.0	0.4652918599637188	0.0
ES19_615_Control-protein_21	86403616.0	0.0	86403616.0	1.0	43201808.0	43201808.0	74987937.0	74880380.0	11415679.0	74880380.0	86403616.0	0.0	526196.0	0.0	8534128.0	0.0	4269544501.0	2140834759.0	2128709742.0	3714139893.0	3695173084.0	0.0	0.0	6589691.0	0.001783324	49.0	50.0	49.0	50.0	50.0	50.0	36.2	1128.5	1742.1	37434637.0	5553.0	0.0	0.0	86.7	86.78796151309223	86.66347945437839	13.21203848690777	86.66347945437839	100.0	0.0	0.6089976604682841	0.0
ES1_48_Control-lipid_0	101160566.0	0.0	101160566.0	1.0	50580283.0	50580283.0	89366404.0	89291978.0	11794162.0	89291978.0	101160566.0	0.0	419103.0	0.0	9384356.0	0.0	5003562039.0	2506762105.0	2496799934.0	4426786891.0	4403962469.0	0.0	0.0	7969793.0	0.001809687	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1048.1	1666.2	44640042.0	5947.0	0.0	0.0	88.3	88.34114668753436	88.26757454085418	11.65885331246565	88.26757454085418	100.0	0.0	0.4142948350051739	0.0
ES20_618_Control-lipid_0	95056598.0	0.0	95056598.0	1.0	47528299.0	47528299.0	85592381.0	85526400.0	9464217.0	85526400.0	95056598.0	0.0	355284.0	0.0	8013577.0	0.0	4702752092.0	2355980626.0	2346771466.0	4239995938.0	4219001137.0	0.0	0.0	6585984.0	0.001561029	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1046.1	1632.6	42759051.0	4149.0	0.0	0.0	90.0	90.04359802567309	89.97418569513712	9.956401974326916	89.97418569513712	100.0	0.0	0.3737604832018078	0.0
ES21_618_Control-lipid_14	66474138.0	0.0	66474138.0	1.0	33237069.0	33237069.0	59937159.0	59905614.0	6536979.0	59905614.0	66474138.0	0.0	319156.0	0.0	6037145.0	0.0	3289313974.0	1647271286.0	1642042688.0	2969064223.0	2954832237.0	0.0	0.0	4627074.0	0.001565935	49.0	50.0	49.0	50.0	50.0	50.0	36.4	975.3	1612.3	29949591.0	3216.0	0.0	0.0	90.1	90.16613197752184	90.11867743211653	9.833868022478155	90.11867743211653	100.0	0.0	0.4801205545531106	0.0
ES22_618_Control-lipid_21	91862226.0	0.0	91862226.0	1.0	45931113.0	45931113.0	81072848.0	80991524.0	10789378.0	80991524.0	91862226.0	0.0	545742.0	0.0	9430221.0	0.0	4542070985.0	2276168928.0	2265902057.0	4015653528.0	3992626467.0	0.0	0.0	6533764.0	0.001636458	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1161.5	1760.4	40491457.0	4305.0	0.0	0.0	88.2	88.2548263091295	88.16629808208654	11.7451736908705	88.16629808208654	100.0	0.0	0.5940874979450204	0.0
ES23_Blue-010_Control-lipid_0	91225664.0	0.0	91225664.0	1.0	45612832.0	45612832.0	81636026.0	81562666.0	9589638.0	81562666.0	91225664.0	0.0	377129.0	0.0	8035351.0	0.0	4511637540.0	2260619238.0	2251018302.0	4043585648.0	4023032453.0	0.0	0.0	9358375.0	0.002326199	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1074.8	1683.2	40776626.0	4707.0	0.0	0.0	89.4	89.4880041651437	89.40758819798779	10.511995834856297	89.40758819798779	100.0	0.0	0.4134023074910148	0.0
ES24_Blue-010_Control-lipid_21	98904436.0	0.0	98904436.0	1.0	49452218.0	49452218.0	88353977.0	88280966.0	10550459.0	88280966.0	98904436.0	0.0	417126.0	0.0	8830997.0	0.0	4892342427.0	2451033923.0	2441308504.0	4376690908.0	4356681810.0	0.0	0.0	7814933.0	0.001793781	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1041.2	1659.2	44134853.0	5630.0	0.0	0.0	89.3	89.33267361233423	89.25885386981025	10.667326387665767	89.25885386981025	100.0	0.0	0.42174650285655535	0.0
ES25_619_MG-lipid_0	87601340.0	0.0	87601340.0	1.0	43800670.0	43800670.0	79470735.0	79402422.0	8130605.0	79402422.0	87601340.0	0.0	395725.0	0.0	7834839.0	0.0	4332940583.0	2171028277.0	2161912306.0	3936924628.0	3914360966.0	0.0	0.0	8111803.0	0.002072318	49.0	50.0	49.0	50.0	50.0	50.0	36.3	991.7	1594.2	39697606.0	3605.0	0.0	0.0	90.6	90.71862941822579	90.64064773438398	9.281370581774205	90.64064773438398	100.0	0.0	0.4517339574942575	0.0
ES26_619_MG-lipid_14	87755310.0	0.0	87755310.0	1.0	43877655.0	43877655.0	78191958.0	78104376.0	9563352.0	78104376.0	87755310.0	0.0	477689.0	0.0	8691244.0	0.0	4338244641.0	2174471200.0	2163773441.0	3872951396.0	3847858608.0	0.0	0.0	8654322.0	0.002249127	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1116.3	1712.8	39047972.0	4216.0	0.0	0.0	89.0	89.10225261582461	89.0024501081473	10.897747384175386	89.0024501081473	100.0	0.0	0.5443419891058444	0.0
ES27_619_MG-lipid_21	89334050.0	0.0	89334050.0	1.0	44667025.0	44667025.0	80198616.0	80135788.0	9135434.0	80135788.0	89334050.0	0.0	411969.0	0.0	8410072.0	0.0	4418715620.0	2213622937.0	2205092683.0	3972496988.0	3950072958.0	0.0	0.0	9072141.0	0.002296702	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1085.6	1673.4	40063278.0	4616.0	0.0	0.0	89.7	89.77384994859183	89.70352066205439	10.22615005140817	89.70352066205439	100.0	0.0	0.4611556287887989	0.0
ES28_Blue-098_Control-lipid_0	108231978.0	0.0	108231978.0	1.0	54115989.0	54115989.0	94999465.0	94920634.0	13232513.0	94920634.0	108231978.0	0.0	375048.0	0.0	8655222.0	0.0	5353668902.0	2682156370.0	2671512532.0	4705620835.0	4682041088.0	0.0	0.0	8276560.0	0.001767725	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1125.6	1712.8	47452613.0	7704.0	0.0	0.0	87.7	87.77393405856446	87.70109883790538	12.226065941435534	87.70109883790538	100.0	0.0	0.34652235589744096	0.0
ES29_Blue-098_Control-lipid_14	103837708.0	0.0	103837708.0	1.0	51918854.0	51918854.0	92613475.0	92579528.0	11224233.0	92579528.0	103837708.0	0.0	315690.0	0.0	8130612.0	0.0	5138874104.0	2573234731.0	2565639373.0	4587237419.0	4567696721.0	0.0	0.0	7960061.0	0.001742686	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1102.3	1699.0	46282798.0	6966.0	0.0	0.0	89.2	89.19060020084419	89.15790783825852	10.809399799155814	89.15790783825852	100.0	0.0	0.30402250404063236	0.0
ES2_48_Control-lipid_14	90429420.0	0.0	90429420.0	1.0	45214710.0	45214710.0	80464132.0	80375978.0	9965288.0	80375978.0	90429420.0	0.0	440947.0	0.0	9439073.0	0.0	4471496289.0	2240845166.0	2230651123.0	3985793007.0	3962764223.0	0.0	0.0	6700436.0	0.001690849	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1068.6	1662.9	40183906.0	4083.0	0.0	0.0	88.9	88.98003769127348	88.88255392990467	11.019962308726518	88.88255392990467	100.0	0.0	0.4876145396044783	0.0
ES30_Blue-098_Control-lipid_21	70572530.0	0.0	70572530.0	1.0	35286265.0	35286265.0	61147455.0	61057348.0	9425075.0	61057348.0	70572530.0	0.0	325529.0	0.0	6070012.0	0.0	3487308338.0	1748741266.0	1738567072.0	3028508798.0	3012130936.0	0.0	0.0	5351965.0	0.001776804	49.0	50.0	49.0	50.0	50.0	50.0	36.2	1211.8	1782.4	30524476.0	4198.0	0.0	0.0	86.5	86.64483900463821	86.51715901357086	13.355160995361793	86.51715901357086	100.0	0.0	0.461268711777798	0.0
ES31_Blue-055_NA_0	92999934.0	0.0	92999934.0	1.0	46499967.0	46499967.0	86162575.0	86145664.0	6837359.0	86145664.0	92999934.0	0.0	177627.0	0.0	7084901.0	0.0	4605434780.0	2305496350.0	2299938430.0	4268539766.0	4246096249.0	0.0	0.0	6651491.0	0.001566496	49.0	50.0	49.0	50.0	50.0	50.0	36.5	1002.8	1555.7	43068419.0	4413.0	0.0	0.0	92.6	92.64799585771749	92.62981197384505	7.35200414228251	92.62981197384505	100.0	0.0	0.1909969097397424	0.0
ES32_Blue-055_NA_14	95467716.0	0.0	95467716.0	1.0	47733858.0	47733858.0	84521471.0	84455788.0	10946245.0	84455788.0	95467716.0	0.0	295815.0	0.0	8423178.0	0.0	4723109935.0	2366316811.0	2356793124.0	4186883792.0	4162260784.0	0.0	0.0	7204597.0	0.001730934	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1102.6	1657.0	42222664.0	5230.0	0.0	0.0	88.5	88.5340872719737	88.46528600307144	11.4659127280263	88.46528600307144	100.0	0.0	0.3098586751567409	0.0
ES33_101-LS_MG-lipid_0	95795500.0	0.0	95795500.0	1.0	47897750.0	47897750.0	87089697.0	87033910.0	8705803.0	87033910.0	95795500.0	0.0	407612.0	0.0	8464125.0	0.0	4740659303.0	2374402519.0	2366256784.0	4314822240.0	4293022267.0	0.0	0.0	6429308.0	0.001497618	49.0	50.0	49.0	50.0	50.0	50.0	36.4	962.1	1563.8	43512745.0	4210.0	0.0	0.0	90.9	90.91209607966971	90.85386056756319	9.087903920330287	90.85386056756319	100.0	0.0	0.42550224175457096	0.0
ES34_101-LS_MG-lipid_14	89757244.0	0.0	89757244.0	1.0	44878622.0	44878622.0	81505920.0	81475508.0	8251324.0	81475508.0	89757244.0	0.0	259656.0	0.0	6973149.0	0.0	4442577568.0	2224590208.0	2217987360.0	4037247367.0	4018254881.0	0.0	0.0	6500732.0	0.0016178	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1067.7	1652.0	40733089.0	4665.0	0.0	0.0	90.8	90.80706622409217	90.77318372208487	9.192933775907825	90.77318372208487	100.0	0.0	0.28928695716192	0.0
ES35_101-LS_MG-lipid_21	90167904.0	0.0	90167904.0	1.0	45083952.0	45083952.0	81079323.0	81011392.0	9088581.0	81011392.0	90167904.0	0.0	507743.0	0.0	9113891.0	0.0	4459601072.0	2234159511.0	2225441561.0	4015773945.0	3994997750.0	0.0	0.0	6661422.0	0.001667441	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1106.3	1708.3	40501163.0	4533.0	0.0	0.0	89.8	89.92038120349342	89.84504286580733	10.07961879650657	89.84504286580733	100.0	0.0	0.5631083539437713	0.0
ES36_AR17-21_MG-lipid_0	84255912.0	0.0	84255912.0	1.0	42127956.0	42127956.0	74982031.0	74900558.0	9273881.0	74900558.0	84255912.0	0.0	330241.0	0.0	7408470.0	0.0	4166183680.0	2088317901.0	2077865779.0	3713995766.0	3692893501.0	0.0	0.0	7723232.0	0.002091377	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1149.6	1696.2	37445934.0	4345.0	0.0	0.0	88.9	88.99319848321147	88.89650141108199	11.006801516788519	88.89650141108199	100.0	0.0	0.39194994411786793	0.0
ES37_AR17-21_MG-lipid_14	94560124.0	0.0	94560124.0	1.0	47280062.0	47280062.0	83335263.0	83245494.0	11224861.0	83245494.0	94560124.0	0.0	388413.0	0.0	7888526.0	0.0	4675355689.0	2343237841.0	2332117848.0	4127672617.0	4107569748.0	0.0	0.0	8185022.0	0.001992668	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1103.6	1712.0	41617774.0	4973.0	0.0	0.0	88.0	88.12939268142246	88.0344594302774	11.870607318577543	88.0344594302774	100.0	0.0	0.41075771008929723	0.0
ES38_AR17-21_MG-lipid_21	87121712.0	0.0	87121712.0	1.0	43560856.0	43560856.0	76525750.0	76461170.0	10595962.0	76461170.0	87121712.0	0.0	408253.0	0.0	7859215.0	0.0	4308813667.0	2158872216.0	2149941451.0	3790443913.0	3769992424.0	0.0	0.0	7878721.0	0.002089851	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1183.6	1764.2	38225402.0	5183.0	0.0	0.0	87.8	87.83774818382815	87.76362200044922	12.16225181617184	87.76362200044922	100.0	0.0	0.4686007547693737	0.0
ES39_LD19-239_MG-lipid_14	90552148.0	0.0	90552148.0	1.0	45276074.0	45276074.0	79928506.0	79842946.0	10623642.0	79842946.0	90552148.0	0.0	345146.0	0.0	7378467.0	0.0	4476739916.0	2243728135.0	2233011781.0	3958819658.0	3936969704.0	0.0	0.0	10308811.0	0.002618463	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1096.6	1712.3	39916141.0	5332.0	0.0	0.0	88.2	88.26792932620438	88.17344233512826	11.732070673795612	88.17344233512826	100.0	0.0	0.3811571648195468	0.0
ES3_48_Control-lipid_21	84198560.0	0.0	84198560.0	1.0	42099280.0	42099280.0	74775640.0	74706320.0	9422920.0	74706320.0	84198560.0	0.0	376703.0	0.0	7688121.0	0.0	4163832988.0	2086491010.0	2077341978.0	3703726118.0	3683944070.0	0.0	0.0	6379228.0	0.00173163	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1178.0	1746.6	37348530.0	4630.0	0.0	0.0	88.7	88.80869221516377	88.72636301618459	11.191307784836226	88.72636301618459	100.0	0.0	0.4473983878109079	0.0
ES40_LD19-239_MG-lipid_21	105242650.0	0.0	105242650.0	1.0	52621325.0	52621325.0	93551783.0	93458480.0	11690867.0	93458480.0	105242650.0	0.0	377499.0	0.0	8812233.0	0.0	5204167859.0	2607944117.0	2596223742.0	4633917832.0	4607943015.0	0.0	0.0	11701309.0	0.002539378	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1042.0	1643.6	46722929.0	6311.0	0.0	0.0	88.8	88.89151213885245	88.80285701661826	11.108487861147548	88.80285701661826	100.0	0.0	0.35869393254540816	0.0
ES41_Blue-013_Control-protein_0	98198486.0	0.0	98198486.0	1.0	49099243.0	49099243.0	86769429.0	86672406.0	11429057.0	86672406.0	98198486.0	0.0	652912.0	0.0	10543361.0	0.0	4854278130.0	2433133991.0	2421144139.0	4298213400.0	4271905906.0	0.0	0.0	10227812.0	0.002394204	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1044.3	1667.2	43331152.0	5051.0	0.0	0.0	88.3	88.3612696432	88.26246669424211	11.638730356800002	88.26246669424211	100.0	0.0	0.664890088020298	0.0
ES42_Blue-013_Control-protein_14	86941248.0	0.0	86941248.0	1.0	43470624.0	43470624.0	77602150.0	77534418.0	9339098.0	77534418.0	86941248.0	0.0	346669.0	0.0	8196925.0	0.0	4299200421.0	2154075776.0	2145124645.0	3843464787.0	3820860845.0	0.0	0.0	9804425.0	0.002566025	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1121.4	1719.7	38761812.0	5397.0	0.0	0.0	89.2	89.25815051562176	89.18024503167933	10.741849484378232	89.18024503167933	100.0	0.0	0.3987393877759841	0.0
ES43_Blue-013_Control-protein_21	93199004.0	0.0	93199004.0	1.0	46599502.0	46599502.0	83471324.0	83383588.0	9727680.0	83383588.0	93199004.0	0.0	413365.0	0.0	8058167.0	0.0	4608083593.0	2309244580.0	2298839013.0	4134472879.0	4113688974.0	0.0	0.0	9953608.0	0.002419631	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1073.6	1671.0	41687250.0	4544.0	0.0	0.0	89.5	89.56246356452479	89.4683252194412	10.437536435475211	89.4683252194412	100.0	0.0	0.44352941797532514	0.0
ES44_Blue-015_MG-lipid_0	98470340.0	0.0	98470340.0	1.0	49235170.0	49235170.0	88330994.0	88267256.0	10139346.0	88267256.0	98470340.0	0.0	295025.0	0.0	8091049.0	0.0	4871576194.0	2440310082.0	2431266112.0	4375235390.0	4351411554.0	0.0	0.0	8980374.0	0.002063784	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1113.4	1697.0	44128076.0	5552.0	0.0	0.0	89.6	89.70314716086082	89.63841904069794	10.296852839139177	89.63841904069794	100.0	0.0	0.29960798348010176	0.0
ES45_Blue-015_MG-lipid_14	107551186.0	0.0	107551186.0	1.0	53775593.0	53775593.0	99008604.0	98988046.0	8542582.0	98988046.0	107551186.0	0.0	205041.0	0.0	8741877.0	0.0	5324723523.0	2665329504.0	2659394019.0	4904032400.0	4882566103.0	0.0	0.0	10079286.0	0.002064342	49.0	50.0	49.0	50.0	50.0	50.0	36.5	1057.5	1663.6	49489156.0	4867.0	0.0	0.0	92.0	92.05719405084012	92.03807943131376	7.942805949159873	92.03807943131376	100.0	0.0	0.1906450385400678	0.0
ES46_Blue-015_MG-lipid_21	91809986.0	0.0	91809986.0	1.0	45904993.0	45904993.0	81789709.0	81741932.0	10020277.0	81741932.0	91809986.0	0.0	326380.0	0.0	7618631.0	0.0	4541602407.0	2274651203.0	2266951204.0	4050673585.0	4028943079.0	0.0	0.0	9616128.0	0.002386762	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1143.8	1738.5	40864786.0	6180.0	0.0	0.0	89.0	89.08585281779696	89.0338138162879	10.914147182203033	89.0338138162879	100.0	0.0	0.35549509832187537	0.0
ES47_Blue-45_MG-protein_0	85916068.0	0.0	85916068.0	1.0	42958034.0	42958034.0	77476463.0	77434480.0	8439605.0	77434480.0	85916068.0	0.0	245166.0	0.0	6304962.0	0.0	4251449274.0	2129031848.0	2122417426.0	3837614881.0	3819634912.0	0.0	0.0	7856142.0	0.002056778	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1075.1	1686.3	38711782.0	5458.0	0.0	0.0	90.1	90.17691894373006	90.1280538117736	9.82308105626994	90.1280538117736	100.0	0.0	0.2853552376256325	0.0
ES48_Blue-45_MG-protein_14	90557018.0	0.0	90557018.0	1.0	45278509.0	45278509.0	80806862.0	80753200.0	9750156.0	80753200.0	90557018.0	0.0	215657.0	0.0	6541494.0	0.0	4480795144.0	2244437929.0	2236357215.0	4002776769.0	3981996904.0	0.0	0.0	7780734.0	0.001953978	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1075.8	1672.8	40371691.0	4909.0	0.0	0.0	89.2	89.23313044605776	89.17387275274457	10.766869553942247	89.17387275274457	100.0	0.0	0.23814498838731638	0.0
