"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ONTOLOGY","comparison"
"GO:0050789","regulation of biological process",427,0.33120260961371617,1.4628704160417236,8.845134642006204e-5,0.0024071402132888314,0.0021547546045188044,1921,"tags=23%, list=18%, signal=20%","103826749/103826392/103826311/103812489/103822087/103813055/103817501/103823262/103817654/103815911/103821001/103818774/103816556/103813313/103823859/103812980/103818104/103819027/103814640/103826697/103821150/103821247/103819051/103826308/103821958/103814184/103812698/103812440/103826750/103814509/103813716/103818014/103826333/103824424/103818347/103820783/103814508/103816444/103817300/103816031/103813028/103815840/103813598/103812959/103824242/103815545/103822777/103820459/103819654/103816060/103817727/103820436/103816118/103826065/103823134/103817665/103814562/103816650/103817243/103812282/103821405/103814266/103813890/103813745/103815727/103817368/103815909/103819799/103812764/103824089/103812919/103814022/103817524/103826582/103819235/103814297/103818395/103813235/103815508/103816039/103826521/103822764/103825066/103825712/103823831/103823688/103818704/103826478/103826629/103822712/103823730/103822320/103826581/103818035/103818997/103814507/103813115/103813976","BP","infection_all"
"GO:0065007","biological regulation",440,0.33907812326087394,1.5034481873673962,1.0079192182312481e-4,0.00256011481430737,0.002291690011978417,1921,"tags=23%, list=18%, signal=20%","103826749/103826392/103826311/103812489/103822087/103813055/103817501/103823262/103817654/103815911/103821001/103818774/103816556/103813313/103819792/103823859/103812980/103818104/103819027/103814640/103817647/103826697/103815411/103821150/103821247/103819051/103826308/103821958/103814184/103812698/103812440/103826750/103814509/103813716/103818014/103826333/103824424/103818347/103820783/103814508/103816444/103817300/103816031/103813028/103815840/103813598/103812959/103824242/103815565/103815253/103815545/103822777/103820459/103819654/103816060/103817727/103820436/103816118/103826065/103823134/103817665/103814562/103816650/103817243/103812282/103821405/103814266/103813890/103813745/103815727/103817368/103815909/103819799/103812764/103824089/103812919/103814022/103817524/103826582/103819235/103814297/103818395/103813235/103815508/103816039/103826521/103822764/103825066/103825712/103823831/103823688/103818704/103826478/103826629/103822712/103823730/103822320/103826581/103818035/103818997/103814507/103813115/103813976","BP","infection_all"
"GO:0009607","response to biotic stimulus",12,0.8167511752797504,1.9705296963165715,1.5914113315116532e-4,0.0030316385865296995,0.00271377511268303,939,"tags=67%, list=9%, signal=61%","103824282/103820351/103822351/103813055/103815911/103819051/103816444/103812959","BP","infection_all"
"GO:0043207","response to external biotic stimulus",12,0.8167511752797504,1.9705296963165715,1.5914113315116532e-4,0.0030316385865296995,0.00271377511268303,939,"tags=67%, list=9%, signal=61%","103824282/103820351/103822351/103813055/103815911/103819051/103816444/103812959","BP","infection_all"
"GO:0044419","biological process involved in interspecies interaction between organisms",12,0.8167511752797504,1.9705296963165715,1.5914113315116532e-4,0.0030316385865296995,0.00271377511268303,939,"tags=67%, list=9%, signal=61%","103824282/103820351/103822351/103813055/103815911/103819051/103816444/103812959","BP","infection_all"
"GO:0051707","response to other organism",12,0.8167511752797504,1.9705296963165715,1.5914113315116532e-4,0.0030316385865296995,0.00271377511268303,939,"tags=67%, list=9%, signal=61%","103824282/103820351/103822351/103813055/103815911/103819051/103816444/103812959","BP","infection_all"
"GO:0098542","defense response to other organism",12,0.8167511752797504,1.9705296963165715,1.5914113315116532e-4,0.0030316385865296995,0.00271377511268303,939,"tags=67%, list=9%, signal=61%","103824282/103820351/103822351/103813055/103815911/103819051/103816444/103812959","BP","infection_all"
"GO:0006950","response to stress",94,0.4864263940873821,1.8017959960534937,1.739409583310646e-4,0.003155785958292172,0.002824905789436839,1727,"tags=27%, list=16%, signal=23%","103824282/103820351/103822351/103821581/103813055/108961868/103815911/103820948/103812980/103826483/103819051/103827024/103816444/103812959/103815253/103815624/103819654/103812985/103820596/103823962/103820083/103815817/103827103/103818704/103812645","BP","infection_all"
"GO:0006954","inflammatory response",13,0.778251092665396,1.9179132745579557,4.3768126546914725e-4,0.007579843733806595,0.006785106699138934,1727,"tags=62%, list=16%, signal=52%","103813055/103815911/103820948/103812980/103819051/103815624/103812985/103812645","BP","infection_all"
"GO:0050794","regulation of cellular process",408,0.3283011366891541,1.448342465218097,5.174521522886841e-4,0.008571707392260377,0.007672974706706347,1921,"tags=23%, list=18%, signal=20%","103826749/103826392/103826311/103822087/103813055/103823262/103817654/103815911/103821001/103818774/103816556/103813313/103823859/103812980/103818104/103819027/103814640/103826697/103821150/103821247/103819051/103826308/103821958/103814184/103812698/103812440/103826750/103814509/103813716/103818014/103824424/103818347/103820783/103814508/103816444/103817300/103816031/103813028/103815840/103813598/103812959/103824242/103815545/103822777/103820459/103819654/103816060/103817727/103820436/103816118/103826065/103823134/103817665/103814562/103816650/103817243/103812282/103821405/103814266/103813890/103815727/103817368/103815909/103819799/103812764/103824089/103812919/103814022/103817524/103826582/103819235/103814297/103818395/103813235/103815508/103816039/103826521/103822764/103825066/103825712/103823831/103823688/103818704/103826478/103826629/103822712/103823730/103822320/103826581/103818035/103814507/103813115/103813976","BP","infection_all"
"GO:0043603","amide metabolic process",78,-0.4639522371195019,-1.7316286839873727,0.0012188161786975576,0.019348706836823725,0.017320019381491608,2388,"tags=45%, list=22%, signal=35%","103820009/103820195/103826968/103813003/103826653/103820088/103816976/103815291/103822885/103826008/103817860/103812407/103827119/103826729/103813272/103819445/103817571/103812360/103824076/103812957/103824232/103812989/103814742/103821868/103814085/103824808/103813219/103814016/103815368/103816764/103820545/103824530/103816293/103820125/103821875","BP","infection_all"
"GO:0006629","lipid metabolic process",108,0.44079025588853804,1.6678019269691156,0.0015330856046216553,0.023364224614434027,0.02091451519568069,2246,"tags=38%, list=21%, signal=30%","103826392/103821581/103813937/103820165/103820593/103813931/103826010/103817601/103827212/103812698/103821040/103822107/103818954/103822123/103817065/103824582/103813442/103819647/103826637/103827274/103822109/103821239/103812799/103819799/103815733/103812919/103826610/103815508/103826899/103814944/103825279/103823730/103819442/103814801/103821020/103815479/103812721/103814522/103812732/103812914/103816322","BP","infection_all"
"GO:1901135","carbohydrate derivative metabolic process",81,0.45774088189785855,1.6575473131260403,0.002151900843031465,0.030365711896110672,0.027181905385660614,2807,"tags=46%, list=26%, signal=34%","103818157/103818774/103819087/103820784/103821040/103820464/103820481/103824404/103813997/103813496/103813745/103812734/103815733/103817229/103824825/103826610/103816039/103818612/103821348/103826899/103814944/103826707/103813273/103823189/103825920/103816951/103812716/103814231/103815322/103819810/103825994/103812762/103816806/103822399/103819045/103813925/103814830","BP","infection_all"
"GO:0044281","small molecule metabolic process",141,0.39254500289426636,1.5381358920927157,0.0021477979043151127,0.030365711896110672,0.027181905385660614,2713,"tags=37%, list=25%, signal=28%","103813189/103821581/103822944/103815752/103818803/103826599/103820784/103827212/103821040/103823720/103820464/103813389/103820500/103822123/103820481/103817065/103824404/103817737/103819363/103813771/103827350/103820752/103826637/103814023/103822109/103812799/103824172/103817229/103824825/103816039/103816036/103818585/103819574/103821348/103820123/103822691/103819442/103823189/103821020/103815479/103812721/103816951/103812914/103821326/103819341/103819810/103827134/103819060/103816806/103822399/103827309/103818197","BP","infection_all"
"GO:0002682","regulation of immune system process",13,0.7292258368949026,1.7970959834330533,0.0023195492356801613,0.031562437814076486,0.028253156103773394,825,"tags=46%, list=8%, signal=43%","103813055/103815911/103813313/103812980/103819051/103816444","BP","infection_all"
"GO:0048584","positive regulation of response to stimulus",22,0.6203738914886457,1.737764488198377,0.004958838902054458,0.0640996646699815,0.057378895850460035,1259,"tags=36%, list=12%, signal=32%","103813055/103815911/103818774/103813313/103812980/103819051/103816444/103816650","BP","infection_all"
"GO:0016042","lipid catabolic process",30,0.5702372249159187,1.7124247627954041,0.005047217690549725,0.0640996646699815,0.057378895850460035,2841,"tags=47%, list=26%, signal=35%","103826392/103813937/103813931/103812698/103817065/103812799/103812919/103826899/103814801/103821020/103815479/103816730/103813604/103823160","BP","infection_all"
"GO:0006955","immune response",32,0.7031025164262833,2.0785524659753802,3.404309071811858e-4,0.1297041756360318,0.1297041756360318,1337,"tags=41%, list=12%, signal=36%","103824282/103820351/103821712/103813055/103814184/103826104/103823970/103819164/103820034/103812985/103815534/103815911/103816444","BP","diet_uninf"
"GO:0009605","response to external stimulus",30,0.669298369065769,1.9549485112323919,0.0011643437944422253,0.2189248631769457,0.2189248631769457,1337,"tags=37%, list=12%, signal=32%","103824282/103820351/103821712/103813055/103813169/103823962/103818543/103812985/103812987/103815911/103816444","BP","diet_uninf"
"GO:0002376","immune system process",37,0.6374127405119909,1.9241727094439722,0.001723817820290911,0.2189248631769457,0.2189248631769457,1337,"tags=35%, list=12%, signal=31%","103824282/103820351/103821712/103813055/103814184/103826104/103823970/103819164/103820034/103812985/103815534/103815911/103816444","BP","diet_uninf"
"GO:0009607","response to biotic stimulus",12,0.7525437510918251,1.7736290221917608,0.010748649640539914,0.40952355130457074,0.4095235513045707,486,"tags=33%, list=4%, signal=32%","103824282/103820351/103813055/103823962","BP","diet_uninf"
"GO:0043207","response to external biotic stimulus",12,0.7525437510918251,1.7736290221917608,0.010748649640539914,0.40952355130457074,0.4095235513045707,486,"tags=33%, list=4%, signal=32%","103824282/103820351/103813055/103823962","BP","diet_uninf"
"GO:0044419","biological process involved in interspecies interaction between organisms",12,0.7525437510918251,1.7736290221917608,0.010748649640539914,0.40952355130457074,0.4095235513045707,486,"tags=33%, list=4%, signal=32%","103824282/103820351/103813055/103823962","BP","diet_uninf"
"GO:0051707","response to other organism",12,0.7525437510918251,1.7736290221917608,0.010748649640539914,0.40952355130457074,0.4095235513045707,486,"tags=33%, list=4%, signal=32%","103824282/103820351/103813055/103823962","BP","diet_uninf"
"GO:0098542","defense response to other organism",12,0.7525437510918251,1.7736290221917608,0.010748649640539914,0.40952355130457074,0.4095235513045707,486,"tags=33%, list=4%, signal=32%","103824282/103820351/103813055/103823962","BP","diet_uninf"
"GO:0044242","cellular lipid catabolic process",16,-0.691148500038199,-1.7379835628204523,0.007959989601048476,0.40952355130457074,0.4095235513045707,1398,"tags=38%, list=13%, signal=33%","103824075/103826646/103823998/103826648/103826733/103826392","BP","diet_uninf"
"GO:0006950","response to stress",94,0.4484083812867559,1.6223177465866794,0.004800882386354516,0.40952355130457074,0.4095235513045707,1983,"tags=31%, list=18%, signal=25%","103824282/103820351/108961868/103813055/103818704/103819374/103821056/103823962/103818530/103821212/103826604/103826693/103821120/103818087/103812985/103827354/103815911/103816444/103820061/103821835/103820948/103827103/103825661/103823161/103820596/103823671/103816069/103812980/103827268","BP","diet_uninf"
"GO:0040011","locomotion",15,0.6709615801957673,1.6502032738265704,0.02051324299654832,0.680961780373569,0.6809617803735691,2194,"tags=60%, list=20%, signal=48%","103821712/103813169/103818543/103812985/103812987/103815545/103812980/103814762/103814274","BP","diet_uninf"
"GO:0006952","defense response",23,0.6005802966592151,1.6464395438735488,0.028689721937131523,0.680961780373569,0.6809617803735691,1516,"tags=35%, list=14%, signal=30%","103824282/103820351/103813055/103823962/103812985/103815911/103816444/103820948","BP","diet_uninf"
"GO:0006935","chemotaxis",14,0.6646270130059001,1.6081025744814716,0.03038412143399127,0.680961780373569,0.6809617803735691,2194,"tags=57%, list=20%, signal=46%","103821712/103813169/103818543/103812985/103812987/103812980/103814762/103814274","BP","diet_uninf"
"GO:0042330","taxis",14,0.6646270130059001,1.6081025744814716,0.03038412143399127,0.680961780373569,0.6809617803735691,2194,"tags=57%, list=20%, signal=46%","103821712/103813169/103818543/103812985/103812987/103812980/103814762/103814274","BP","diet_uninf"
"GO:0042981","regulation of apoptotic process",26,0.5571442857059202,1.5586237637949865,0.027215136550582632,0.680961780373569,0.6809617803735691,1834,"tags=38%, list=17%, signal=32%","103814509/103814508/103819114/103814295/103817627/103814507/103819084/103827175/103820467/103819122","BP","diet_uninf"
"GO:0043067","regulation of programmed cell death",26,0.5571442857059202,1.5586237637949865,0.027215136550582632,0.680961780373569,0.6809617803735691,1834,"tags=38%, list=17%, signal=32%","103814509/103814508/103819114/103814295/103817627/103814507/103819084/103827175/103820467/103819122","BP","diet_uninf"
"GO:0006259","DNA metabolic process",70,0.42707437857209474,1.4507977741884412,0.027736197577090622,0.680961780373569,0.6809617803735691,2139,"tags=33%, list=20%, signal=27%","108961868/103815022/103821056/103815325/103817027/103819737/103818530/103821212/103826604/103826693/103821120/103827354/103821618/103816751/103827103/103814276/103825661/103820596/103816069/103827268/103813525/103817010/103817359","BP","diet_uninf"
"GO:0006897","endocytosis",16,-0.6253195349250686,-1.5724479951128203,0.05202312138728324,0.8839907192575406,0.8839907192575407,1806,"tags=44%, list=17%, signal=37%","103814682/103814332/103823182/103812787/103814817/103812786/127059043","BP","diet_uninf"
"GO:0098657","import into cell",16,-0.6253195349250686,-1.5724479951128203,0.05202312138728324,0.8839907192575406,0.8839907192575407,1806,"tags=44%, list=17%, signal=37%","103814682/103814332/103823182/103812787/103814817/103812786/127059043","BP","diet_uninf"
"GO:0080134","regulation of response to stress",17,0.5995989830818873,1.5209985565798574,0.04599919414045264,0.8839907192575406,0.8839907192575407,1337,"tags=29%, list=12%, signal=26%","103813055/103818704/103821056/103815911/103816444","BP","diet_uninf"
"GO:0007167","enzyme-linked receptor protein signaling pathway",11,-0.6634296471054387,-1.5198320482126981,0.060851926977687626,0.8839907192575406,0.8839907192575407,910,"tags=27%, list=8%, signal=25%","103816118/103824316/103821834","BP","diet_uninf"
"GO:0043547","positive regulation of GTPase activity",10,0.6740243636691795,1.5138968687307828,0.06412825651302605,0.8839907192575406,0.8839907192575407,30,"tags=10%, list=0%, signal=10%","103819792","BP","diet_uninf"
"GO:0051345","positive regulation of hydrolase activity",12,0.6320947477352228,1.4897493836492897,0.068762278978389,0.8839907192575406,0.8839907192575407,30,"tags=8%, list=0%, signal=8%","103819792","BP","diet_uninf"
"GO:0043087","regulation of GTPase activity",12,0.6304574037150303,1.4858904174837848,0.07662082514734773,0.8839907192575406,0.8839907192575407,30,"tags=8%, list=0%, signal=8%","103819792","BP","diet_uninf"
"GO:0051336","regulation of hydrolase activity",20,0.5620521107255025,1.4830738091666424,0.060362173038229376,0.8839907192575406,0.8839907192575407,447,"tags=15%, list=4%, signal=14%","103819792/103812489/103813745","BP","diet_uninf"
"GO:0043414","macromolecule methylation",17,0.5673600388056081,1.4392182515869412,0.07392197125256673,0.8839907192575406,0.8839907192575407,1889,"tags=47%, list=17%, signal=39%","103816965/103814885/103818376/103826078/103826913/103816642/103817738/103816678","BP","diet_uninf"
"GO:0006633","fatty acid biosynthetic process",10,-0.6343229065205214,-1.4199019538334552,0.1073558648111332,0.8839907192575406,0.8839907192575407,3223,"tags=60%, list=30%, signal=42%","103819442/103814954/103821581/103812937/103822125/103822123","BP","diet_uninf"
"GO:0072330","monocarboxylic acid biosynthetic process",10,-0.6343229065205214,-1.4199019538334552,0.1073558648111332,0.8839907192575406,0.8839907192575407,3223,"tags=60%, list=30%, signal=42%","103819442/103814954/103821581/103812937/103822125/103822123","BP","diet_uninf"
"GO:0006511","ubiquitin-dependent protein catabolic process",37,0.46989881604545924,1.4184945178667903,0.06302521008403361,0.8839907192575406,0.8839907192575407,1813,"tags=19%, list=17%, signal=16%","103820525/103824591/103825159/103826787/103813393/103827382/103826536","BP","diet_uninf"
"GO:0019941","modification-dependent protein catabolic process",37,0.46989881604545924,1.4184945178667903,0.06302521008403361,0.8839907192575406,0.8839907192575407,1813,"tags=19%, list=17%, signal=16%","103820525/103824591/103825159/103826787/103813393/103827382/103826536","BP","diet_uninf"
"GO:0044282","small molecule catabolic process",23,-0.6644252990050018,-1.9124497210671882,0.001968069492904389,0.12833211984783585,0.11700400483433025,830,"tags=22%, list=8%, signal=20%","103821551/103816058/103825954/103822868/103813189","BP","interaction_diet:infection"
"GO:0006955","immune response",32,-0.6015718236779969,-1.9080211878764444,0.0025705866783772343,0.12833211984783585,0.11700400483433025,235,"tags=31%, list=2%, signal=31%","103825066/103819164/103815911/103820036/103812309/103814184/103821712/103813055/103820351/103824282","BP","interaction_diet:infection"
"GO:0009605","response to external stimulus",30,-0.5870974773089773,-1.8335475415003646,0.004971007787168813,0.12833211984783585,0.11700400483433025,710,"tags=20%, list=7%, signal=19%","103823962/103823671/103821712/103813055/103820351/103824282","BP","interaction_diet:infection"
"GO:0009607","response to biotic stimulus",12,-0.7355592149622303,-1.8290882164042217,0.0039093620589086145,0.12833211984783585,0.11700400483433025,710,"tags=42%, list=7%, signal=39%","103823962/103823671/103813055/103820351/103824282","BP","interaction_diet:infection"
"GO:0043207","response to external biotic stimulus",12,-0.7355592149622303,-1.8290882164042217,0.0039093620589086145,0.12833211984783585,0.11700400483433025,710,"tags=42%, list=7%, signal=39%","103823962/103823671/103813055/103820351/103824282","BP","interaction_diet:infection"
"GO:0044419","biological process involved in interspecies interaction between organisms",12,-0.7355592149622303,-1.8290882164042217,0.0039093620589086145,0.12833211984783585,0.11700400483433025,710,"tags=42%, list=7%, signal=39%","103823962/103823671/103813055/103820351/103824282","BP","interaction_diet:infection"
"GO:0051707","response to other organism",12,-0.7355592149622303,-1.8290882164042217,0.0039093620589086145,0.12833211984783585,0.11700400483433025,710,"tags=42%, list=7%, signal=39%","103823962/103823671/103813055/103820351/103824282","BP","interaction_diet:infection"
"GO:0098542","defense response to other organism",12,-0.7355592149622303,-1.8290882164042217,0.0039093620589086145,0.12833211984783585,0.11700400483433025,710,"tags=42%, list=7%, signal=39%","103823962/103823671/103813055/103820351/103824282","BP","interaction_diet:infection"
"GO:0006952","defense response",23,-0.6320552033685857,-1.8192771996964807,0.0044469461526055005,0.12833211984783585,0.11700400483433025,710,"tags=30%, list=7%, signal=29%","103823962/103823671/103816409/103820948/103813055/103820351/103824282","BP","interaction_diet:infection"
"GO:0002376","immune system process",37,-0.5518552516106373,-1.8082524152706392,0.0025138092857468013,0.12833211984783585,0.11700400483433025,235,"tags=14%, list=2%, signal=13%","103814184/103821712/103813055/103820351/103824282","BP","interaction_diet:infection"
"GO:0051603","proteolysis involved in protein catabolic process",41,-0.5391605657159176,-1.795038032998788,0.004634398094517172,0.12833211984783585,0.11700400483433025,2629,"tags=41%, list=24%, signal=32%","103820051/103818594/103823620/103818493/103820391/103817207/103816392/103813393/103816334/103820061/103826071/103827382/103826536/103826787/103824591/103825159/103820525","BP","interaction_diet:infection"
"GO:1903047","mitotic cell cycle process",17,0.7088566674410444,1.7606428592976373,0.002494630291651345,0.12833211984783585,0.11700400483433025,1196,"tags=47%, list=11%, signal=42%","103818045/103823182/103826902/103822175/103816298/103818673/103817392/103824427","BP","interaction_diet:infection"
"GO:0006511","ubiquitin-dependent protein catabolic process",37,-0.5313121549198342,-1.7409392854238797,0.0050524456633006245,0.12833211984783585,0.11700400483433025,2629,"tags=41%, list=24%, signal=31%","103820051/103818594/103823620/103820391/103817207/103816392/103813393/103816334/103826071/103827382/103826536/103826787/103824591/103825159/103820525","BP","interaction_diet:infection"
"GO:0019941","modification-dependent protein catabolic process",37,-0.5313121549198342,-1.7409392854238797,0.0050524456633006245,0.12833211984783585,0.11700400483433025,2629,"tags=41%, list=24%, signal=31%","103820051/103818594/103823620/103820391/103817207/103816392/103813393/103816334/103826071/103827382/103826536/103826787/103824591/103825159/103820525","BP","interaction_diet:infection"
"GO:0000278","mitotic cell cycle",20,0.6727222497434949,1.735562626098122,0.0032713657724423527,0.12833211984783585,0.11700400483433025,1196,"tags=40%, list=11%, signal=36%","103818045/103823182/103826902/103822175/103816298/103818673/103817392/103824427","BP","interaction_diet:infection"
"GO:0016579","protein deubiquitination",20,-0.6380528565661052,-1.7844824673920152,0.005531262421296245,0.13171318640711682,0.12008661835708953,338,"tags=15%, list=3%, signal=15%","103825159/103814125/103820525","BP","interaction_diet:infection"
"GO:0009260","ribonucleotide biosynthetic process",15,-0.6951149516870363,-1.8298654025978915,0.007528616272521154,0.14341088983348796,0.13075174373546355,1372,"tags=33%, list=13%, signal=29%","103819810/103826803/103823755/103817229/103822868","BP","interaction_diet:infection"
"GO:0046390","ribose phosphate biosynthetic process",15,-0.6951149516870363,-1.8298654025978915,0.007528616272521154,0.14341088983348796,0.13075174373546355,1372,"tags=33%, list=13%, signal=29%","103819810/103826803/103823755/103817229/103822868","BP","interaction_diet:infection"
"GO:0034220","monoatomic ion transmembrane transport",13,-0.7071105850055445,-1.7566779100533554,0.007092863579276751,0.14341088983348796,0.13075174373546355,1115,"tags=38%, list=10%, signal=35%","103821126/103818354/103812804/103822810/103822087","BP","interaction_diet:infection"
