gene	MGpost0	MGLpost0	MGPpost0	DietIfpost0
ABLIM3	-1.332856853	-2.240027209	-0.425686497	-1.352754711
ABR	0.472749548	0.521107318	0.424391779	-0.107902754
ABRACL	0.02859018	-0.03833646	0.095516819	-0.015356606
ABRAXAS1	-0.011244361	0.117901322	-0.140390044	0.021926636
ABRAXAS2	-0.013230037	-0.032807543	0.006347468	0.001566566
ABTB1	0.093261783	0.137846278	0.048677287	-0.011125175
ABTB2	-0.599663361	-0.252212787	-0.947113934	0.158568515
ACAA1	0.15161185	0.260240791	0.042982909	0.206375546
ACAA2	-0.037078698	-0.090003041	0.015845644	-0.091150123
ACACA	0.323201897	0.390592528	0.255811266	-0.066773272
ACAD10	-0.208799956	-0.421241925	0.003642012	0.101160647
ACAD11	0.0187891	0.291013585	-0.253435385	0.413799754
ACAD8	0.140606413	0.268617809	0.012595017	-0.239026023
ACAD9	-0.031678587	0.128638805	-0.19199598	0.211539765
ACADL	0.098780484	0.177828951	0.019732018	0.143152888
ACADM	-0.096738648	0.01384076	-0.207318056	0.219506636
ACADS	-0.084504025	-0.283301552	0.114293501	-0.152205513
ACADSB	0.262255308	0.482798147	0.041712469	0.003805529
ACAP2	-0.029303604	-0.040986059	-0.017621149	0.052512064
ACAP3	0.241997667	0.051878489	0.432116846	-0.277039047
ACAT1	0.025106657	0.186641488	-0.136428175	0.248993168
ACAT2	0.227676752	0.202965771	0.252387733	-0.433084238
ACBD3	-0.064415069	-0.090190005	-0.038640133	0.031587292
ACBD4	0.02416903	-0.058084502	0.106422563	-0.053082022
ACBD5	0.165053199	0.505157321	-0.175050922	0.290405509
ACBD6	-0.252329776	-0.429078297	-0.075581255	-0.078318134
ACER1	-0.160480234	0.075707535	-0.396668004	0.21081899
ACER3	0.403591859	0.427489909	0.379693809	0.272894351
ACKR3	0.225630413	0.339317916	0.111942911	0.086989868
ACLY	0.064463962	-0.032879053	0.161806976	0.113464963
ACO1	0.287516319	0.57358304	0.001449598	0.13319643
ACO2	-0.139685592	-0.131804314	-0.14756687	0.050310317
ACOD1	0.805243193	0.953018868	0.657467518	0.087748048
ACOT11	-0.044132406	-0.036816262	-0.051448551	0.029504738
ACOT13	0.023133932	0.053095329	-0.006827466	0.053304441
ACOT7	0.143953108	0.209504755	0.078401462	0.111424077
ACOT8	-0.169600285	-0.268429765	-0.070770804	0.070800305
ACOT9	0.052185295	0.161669862	-0.057299273	0.066097297
ACOX1	0.009798287	0.011973504	0.007623069	-0.006004304
ACOX3	-0.196470302	-0.246822007	-0.146118597	0.084148464
ACP1	-0.041768717	0.054536293	-0.138073726	-0.045089007
ACP2	0.001356142	0.02100679	-0.018294506	0.091481559
ACP6	-1.092961391	-1.97501897	-0.210903811	0.191107273
ACSBG1	-0.186564605	-0.165079258	-0.208049951	-0.203282898
ACSBG2	0.531042085	0.783220111	0.27886406	0.043535423
ACSF2	0.520042955	0.548609556	0.491476354	0.138112922
ACSF3	-0.256234067	-0.46345003	-0.049018104	-0.254130971
ACSL1	0.266505927	0.374871892	0.158139961	0.21738591
ACSL4	0.126986826	0.207543457	0.046430196	0.132775548
ACSL5	0.053673052	-0.020945154	0.128291258	-0.336349578
ACSL6	-0.494779097	-0.355932241	-0.633625952	0.304443571
ACSS1	-0.218011108	0.057544946	-0.493567162	0.190988672
ACSS2	0.070031396	0.11882434	0.021238451	0.063356053
ACTA2	0.399249762	0.645158894	0.153340629	0.045047815
ACTB	0.175217025	0.144635137	0.205798913	-0.104230043
ACTL6A	0.212496105	0.141140628	0.283851582	-0.232162158
ACTN1	0.161775558	0.139508648	0.184042468	-0.091444819
ACTR10	-0.033593	0.132004174	-0.199190174	0.117719985
ACTR1A	-0.018426342	-0.020538442	-0.016314242	-0.062249916
ACTR2	0.289056956	0.354763919	0.223349994	0.051158452
ACTR3	0.084930249	0.184501468	-0.01464097	0.153616196
ACTR3B	0.020206719	0.178498284	-0.138084846	-0.195993056
ACTR5	-0.183361205	-0.223325447	-0.143396963	-0.162800863
ACTR6	0.422105125	0.574931154	0.269279097	-0.276463412
ACTR8	0.026801851	0.150903364	-0.097299663	0.228088032
ACVR1	0.023788092	0.054046663	-0.006470479	-0.002953558
ACVR1B	-0.151995411	-0.202558939	-0.101431882	-0.081837737
ACVR2A	0.072064811	0.067090543	0.077039078	-0.165808776
ACYP1	0.031058697	0.046382328	0.015735065	0.035551018
ACYP2	-0.345471592	-0.528029442	-0.162913742	-0.107673093
ADA	0.492285957	0.587992578	0.396579335	0.031574831
ADA2	0.32767342	0.410101104	0.245245736	-0.108637959
ADAD1	0.180633244	0.195473853	0.165792635	-0.678125339
ADAL	-0.149423416	-0.063708577	-0.235138255	0.114284011
ADAM10	0.008883337	-0.143266662	0.161033337	-0.103388322
ADAM11	-0.30974411	-0.566074537	-0.053413684	-0.181174151
ADAM15	0.476794585	0.475006267	0.478582903	0.014480945
ADAM17	-0.101520694	-0.090260337	-0.112781052	-0.00220053
ADAM19	0.524383363	0.569386992	0.479379734	0.183596263
ADAM22	0.175164391	0.144576554	0.205752229	-0.73007867
ADAMTS13	-0.256800334	-0.364302709	-0.149297958	-0.033241798
ADAP1	0.545181668	0.629730774	0.460632563	0.171380794
ADAP2	0.67412703	1.782106397	-0.433852338	0.316702687
ADAR	0.346683391	0.54447927	0.148887513	-0.081364433
ADARB1	0.009220032	-0.079015191	0.097455256	-0.095543789
ADAT1	0.050168613	0.100705136	-0.00036791	0.028328837
ADAT2	-0.123674316	-0.000287924	-0.247060708	0.032841527
ADCK1	-0.19488309	-0.05659611	-0.333170071	0.089797513
ADCK2	0.254619861	0.238018574	0.271221149	-0.139060443
ADCY6	0.102874611	-0.050035151	0.255784373	-0.259431371
ADCY7	0.145173542	0.140892007	0.149455078	-0.216846159
ADCY9	0.036371612	-0.12257979	0.195323014	-0.104559034
ADD1	-0.140013627	-0.12153913	-0.158488123	-0.026629083
ADD3	0.273302637	0.311740115	0.234865158	-0.055435157
ADGRA2	-0.221755686	-0.402603328	-0.040908044	-0.147492565
ADGRA3	0.016509211	0.206681501	-0.173663079	0.214457937
ADGRF5	-0.139141113	-0.158114638	-0.120167588	0.199923031
ADHFE1	-0.273820896	-0.291600953	-0.256040838	-0.0581749
ADI1	-0.474558448	-0.193638577	-0.755478318	0.392020198
ADIPOR1	-0.043265618	-0.015062394	-0.071468843	0.026829001
ADIPOR2	0.005270777	-0.005027873	0.015569428	-0.087183735
ADK	-0.441972511	-0.363996424	-0.519948599	0.533653651
ADNP	-0.018269226	-0.062276491	0.025738039	-0.121336723
ADNP2	-0.067399486	-0.235325782	0.100526811	-0.396283859
ADORA2A	-0.049259922	-0.14262597	0.044106126	-0.041485506
ADORA2B	0.557275438	0.814823356	0.29972752	0.385441331
ADPGK	0.115102247	0.435908468	-0.205703974	0.437543991
ADPRH	0.641759994	0.668285268	0.615234721	0.203542149
ADPRHL1	-0.194972839	-0.440976009	0.051030331	-0.366866497
ADPRHL2	-0.099491935	-0.130098149	-0.068885721	-0.17654053
ADPRM	-0.272802044	-0.298468479	-0.24713561	0.137153413
ADRB1	-0.001035577	-0.002099298	2.81E-05	0.057351062
ADRB2	0.26677141	0.31165057	0.22189225	0.255126271
ADRM1	-0.046933071	-0.031204757	-0.062661384	0.009235137
ADSL	0.036447149	-0.038970718	0.111865016	0.039325632
ADSS1	-0.050892441	0.182879487	-0.284664369	0.170266246
ADSS2	0.213926605	0.211736055	0.216117156	0.114784464
AEBP1	-0.199862652	-0.089293434	-0.31043187	-0.001949313
AEBP2	-0.149398992	-0.109529856	-0.189268128	0.149975548
AEN	-0.03726754	-0.104546568	0.030011487	-0.863234055
AFAP1L1	-0.399513488	-0.822608851	0.023581875	-0.312801754
AFF1	-0.308223128	-0.440422052	-0.176024205	-0.012970243
AFF2	0.198730723	0.15304868	0.244412766	-0.170477958
AFF4	-0.031519538	-0.112876753	0.049837677	-0.092274272
AFG1L	-0.253738046	-0.235723992	-0.271752099	0.072238447
AFG3L2	0.063107439	0.075484449	0.050730428	0.07787585
AFTPH	0.152157958	0.246237898	0.058078019	0.089345316
AGA	0.395828022	0.598257729	0.193398315	0.162873972
AGAP1	0.303105488	0.170081661	0.436129314	-0.259555322
AGAP3	-0.28111909	-0.466871218	-0.095366962	0.038468549
AGBL2	-0.042325324	-0.177548494	0.092897845	-0.122515693
AGBL5	-0.148603472	-0.182115971	-0.115090973	0.005412322
AGFG1	-0.246362102	-0.233551287	-0.259172917	0.060406739
AGGF1	-0.148241107	-0.371843198	0.075360983	-0.138360222
AGK	0.126601722	0.200489618	0.052713826	-0.095641936
AGL	0.117708197	0.141830658	0.093585736	0.036257429
AGMAT	-0.210668774	-0.177314766	-0.244022783	0.101943885
AGO2	-0.126905157	-0.111350307	-0.142460007	0.029414751
AGPAT2	0.450796556	0.554834913	0.346758198	0.219120058
AGPAT3	0.06905297	0.126072492	0.012033448	0.094085537
AGPAT4	0.340539852	0.465357205	0.215722498	-0.271488642
AGPAT5	0.080568507	0.07020135	0.090935664	0.088350909
AGPS	-0.0369876	-0.075003905	0.001028705	-0.032816627
AGRP	0.233787002	0.132930041	0.334643962	0.060950136
AGTR2	0.27760491	0.484787829	0.070421991	0.304358822
AGTRAP	-0.024193624	0.091825324	-0.140212572	0.074380082
AHCTF1	-0.084053593	-0.131807466	-0.036299721	-0.046813026
AHCY	0.199495405	0.367704752	0.031286059	0.11452857
AHCYL1	-0.038212637	-0.145574522	0.069149249	-0.029365367
AHCYL2	-0.104920331	-0.261680609	0.051839946	0.141272616
AHDC1	0.106988348	-0.041245519	0.255222215	-0.507086806
AHR	0.378724327	0.422589681	0.334858973	0.113363334
AHSA1	0.018621864	0.063710849	-0.026467122	-0.181072786
AHSA2P	0.011518771	0.062014118	-0.038976576	-0.109504602
AIDA	-0.075973303	0.038257383	-0.190203989	0.255753138
AIF1L	0.296030032	0.005264781	0.586795283	-0.250113913
AIFM1	-0.172022136	-0.25462315	-0.089421123	-0.082447757
AIG1	-0.104161244	0.363059365	-0.571381853	0.576316297
AIMP1	0.030552436	0.050228575	0.010876298	-0.044156133
AIMP2	0.044392548	0.2029148	-0.114129703	0.09665026
AIP	0.010919417	-0.026805427	0.048644262	-0.085776758
AK1	0.145569293	0.052370243	0.238768342	0.069254191
AK2	-0.089161439	-0.150689508	-0.027633369	0.00536509
AK3	0.037311033	0.231150915	-0.156528849	0.041513838
AK4	-0.395360547	-0.467416161	-0.323304933	-0.018291759
AK6	0.050857539	0.114397938	-0.01268286	-0.163133272
AKAP1	0.183791204	0.240592148	0.126990259	0.079205779
AKAP10	-0.072615996	-0.01602852	-0.129203471	0.079631101
AKAP11	0.061750018	0.112177664	0.011322371	0.077709161
AKAP13	0.200547596	0.245969384	0.155125808	-0.095794623
AKAP14	0.404462948	0.225909084	0.583016812	-0.04144296
AKAP17A	-0.070652738	-0.068829257	-0.072476219	-0.013552007
AKAP5	-0.240395833	-0.195521733	-0.285269932	-0.068687163
AKAP7	-0.159708946	-0.033411423	-0.28600647	0.119970307
AKAP9	-0.427041546	-0.637149389	-0.216933704	0.036937601
AKIRIN2	0.029669239	0.072955473	-0.013616996	-0.028613898
AKNA	0.306954912	0.28597978	0.327930043	-0.07092968
AKR1A1	-0.019199163	-0.169529719	0.131131392	-0.218638754
AKR1D1	0.65335463	0.993085032	0.313624228	0.287069458
AKR7A2	-0.216604204	0.021334956	-0.454543364	0.292192536
AKT1	0.208292948	0.328772033	0.087813863	0.140457622
AKT3	0.188052132	0.128454724	0.24764954	-0.000712519
AKTIP	0.005914301	0.039434518	-0.027605916	0.13332165
ALAD	-0.241277891	-0.252920828	-0.229634953	0.024980645
ALAS1	0.235437646	0.233481472	0.23739382	0.032330381
ALB	-0.018167894	0.024395952	-0.060731741	-0.187542665
ALCAM	0.441964963	0.370412643	0.513517284	0.041554414
ALDH18A1	0.029661018	0.255323297	-0.196001261	0.451822846
ALDH2	-0.229479152	-0.366131657	-0.092826646	0.049003725
ALDH4A1	0.2782552	0.406559886	0.149950514	0.058428745
ALDH6A1	0.186520255	0.255234859	0.117805652	0.093733388
ALDH7A1	0.429330367	0.597612804	0.26104793	0.120737839
ALDH9A1	-0.065973754	-0.051838479	-0.080109029	-0.040696626
ALDOC	0.32787416	0.39010262	0.265645699	0.071188126
ALG1	-0.002946119	0.15042063	-0.156312868	0.06752252
ALG11	0.101526545	0.40179284	-0.198739751	0.362634925
ALG12	0.408333421	0.465839358	0.350827484	-0.074379172
ALG14	-4.63E-05	-0.007555975	0.00746332	0.109517875
ALG2	0.684655075	1.261415587	0.107894563	0.231866331
ALG3	0.071126832	0.190434311	-0.048180648	-0.019633518
ALG5	-0.152525036	-0.088302749	-0.216747323	0.017145486
ALG6	-0.024501565	0.077784748	-0.126787878	-0.011146928
ALG8	0.207125785	0.213771262	0.200480308	0.030987625
ALG9	0.282180062	0.322194863	0.242165261	0.066163624
ALKBH1	0.052800013	0.211066686	-0.105466661	0.28078646
ALKBH3	-0.320891816	-0.383670626	-0.258113006	0.193410695
ALKBH4	-0.060517827	-0.220356321	0.099320667	-0.1330189
ALKBH5	0.08255606	0.131842855	0.033269265	0.049469612
ALOX5	-0.077406747	-0.066304494	-0.088508999	0.132375001
ALOX5AP	0.342769485	0.287332931	0.398206038	-0.223357142
AMBRA1	0.03045582	-0.047800284	0.108711924	-0.061285862
AMD1	-0.114680716	0.063728763	-0.293090195	0.217618997
AMDHD2	-0.152194563	-0.29839511	-0.005994016	-0.123845948
AMER1	0.20709547	0.275433385	0.138757555	0.201756249
AMFR	-0.15815108	-0.084516012	-0.231786148	0.072620576
AMH	-0.174264129	-0.04621048	-0.302317777	0.255652515
AMIGO3	0.267370406	0.207977077	0.326763736	-0.147650464
AMMECR1	-0.23539691	-0.229052049	-0.241741771	0.086990294
AMMECR1L	0.232905922	0.168522904	0.29728894	-0.143353157
AMN1	-0.088955322	-0.180551277	0.002640632	-0.030037669
AMOT	0.288374645	0.255014073	0.321735217	-0.167963734
AMPD2	-0.024313237	-0.263746964	0.21512049	-0.166608114
AMPD3	0.095037919	0.51779074	-0.327714901	0.478926973
AMT	0.238747283	0.195023998	0.282470567	-0.043276078
ANAPC1	0.334685498	0.366411903	0.302959092	-0.082963291
ANAPC10	-0.119548365	-0.129919657	-0.109177073	0.021369631
ANAPC11	-0.07734289	-0.292163436	0.137477655	-0.214648532
ANAPC13	0.043565581	0.174125301	-0.08699414	0.280141009
ANAPC15	0.009779597	-0.009298836	0.02885803	0.041954395
ANAPC16	-0.010329202	0.153050093	-0.173708496	0.085657334
ANAPC2	0.130418473	0.024969441	0.235867505	-0.225780187
ANAPC4	-0.065944222	-0.008385716	-0.123502729	-0.170695951
ANAPC5	-0.103379158	-0.121600708	-0.085157608	-0.100007358
ANAPC7	-0.09743222	-0.026694916	-0.168169524	-0.025376615
ANGEL1	-0.178784781	-0.092643581	-0.264925982	0.015241752
ANGEL2	0.069696296	0.199947787	-0.060555194	-0.071261684
ANGPT1	0.947154386	1.096656054	0.797652718	0.304830716
ANGPTL2	0.272259658	0.308919113	0.235600203	0.093704487
ANHX	0.245628412	0.454024772	0.037232052	-0.100005349
ANK1	-0.098158337	-0.233371067	0.037054393	-0.131162783
ANKDD1B	0.6193913	1.287103126	-0.048320525	0.397602213
ANKEF1	0.06679675	0.535168746	-0.401575246	-0.154101014
ANKFY1	-0.005939196	-0.140245446	0.128367053	-0.077424767
ANKH	-0.030122495	0.053057036	-0.113302026	-0.033455111
ANKIB1	-0.006965678	0.050947261	-0.064878617	0.04548626
ANKLE2	0.101774896	0.095206473	0.108343319	-0.085647905
ANKMY2	-0.037216093	-0.070206252	-0.004225934	-0.103877803
ANKRA2	-0.070902099	-0.03545205	-0.106352147	-0.059133178
ANKRD10	0.193887335	0.356981978	0.030792692	0.158773453
ANKRD11	-0.075362797	-0.237999951	0.087274358	-0.130177295
ANKRD12	-0.146501974	-0.236394427	-0.05660952	-0.119075202
ANKRD13A	0.033617327	0.156019212	-0.088784558	0.154050165
ANKRD13B	0.043703631	0.011577265	0.075829996	-0.190338408
ANKRD13C	0.01991658	-0.068853733	0.108686892	-0.134372285
ANKRD13D	0.159510552	-0.090449008	0.409470111	-0.36725067
ANKRD16	-0.068383581	-0.075277002	-0.06149016	0.124143296
ANKRD17	-0.228814185	-0.436777804	-0.020850565	-0.087616832
ANKRD2	-0.188301342	-0.158122573	-0.218480111	0.141527642
ANKRD22	0.290510062	0.140716118	0.440304007	0.571292842
ANKRD27	-0.376982718	-0.43324277	-0.320722666	0.090763151
ANKRD28	-0.025609943	-0.009663596	-0.041556289	0.020372414
ANKRD37	-0.254826578	0.049257574	-0.558910731	0.221835147
ANKRD39	-0.108196428	-0.12566443	-0.090728427	0.028184716
ANKRD42	0.085916481	-0.227928354	0.399761317	-0.529771917
ANKRD44	0.06309595	0.079978526	0.046213373	-0.050882935
ANKRD46	-0.108450464	-0.18428243	-0.032618499	0.11391539
ANKRD49	0.042115328	0.133550229	-0.049319573	0.252414625
ANKRD54	-0.06452986	-0.120548266	-0.008511455	0.039894627
ANKRD9	-0.40776695	-0.581624804	-0.233909097	-0.206697499
ANKS1A	0.004133171	-0.1190743	0.127340641	-0.098666465
ANKS3	-0.10719595	-0.255944111	0.041552212	-0.275450945
ANKZF1	-0.001008922	0.076344261	-0.078362106	-0.025430396
ANO10	0.201278616	0.191383171	0.211174062	0.189662177
ANO5	0.086431034	0.154722912	0.018139155	0.05414403
ANO6	0.40426991	0.825120226	-0.016580406	0.816786472
ANP32A	-0.206501185	-0.255060597	-0.157941773	-0.100209026
ANP32E	-0.069848053	-0.122081315	-0.017614791	-0.121702675
ANTKMT_1	-0.249128346	-0.296056269	-0.202200423	0.085130378
ANTXR2	0.283269135	0.21664302	0.349895249	-0.153494346
ANXA1	0.417025142	0.354336722	0.479713561	0.01741553
ANXA10	0.291470293	0.545811054	0.037129532	0.023754972
ANXA11	-0.237064997	-0.403264738	-0.070865256	-0.128733841
ANXA13	0.703939751	1.268066035	0.139813466	0.110263203
ANXA2	0.487263716	0.486011316	0.488516116	0.058672566
ANXA4	-0.178294681	-0.227267572	-0.12932179	0.174826612
ANXA5	0.566907244	0.737885148	0.39592934	0.253888143
ANXA6	0.199818416	0.187584681	0.212052151	-0.035848392
ANXA7	0.336689543	0.411666491	0.261712594	0.158478229
AOAH	0.181291213	0.17410605	0.188476377	-0.272030809
AOC3	0.028633216	0.142495103	-0.085228671	-0.034545411
AOX1	0.097118836	0.626137301	-0.431899629	0.516970224
AP1AR	0.243538744	0.388240823	0.098836665	0.125317596
AP1B1	-0.035149299	-0.143988767	0.073690169	-0.169876059
AP1G1	-0.001396686	0.024844776	-0.027638148	0.011801815
AP1M1	-0.005140672	0.039334742	-0.049616085	0.006832738
AP1S2	0.200260066	0.170316983	0.23020315	0.020757937
AP2A2	-0.075594912	0.029927919	-0.181117743	0.13087973
AP2B1	-0.122021026	-0.144182406	-0.099859646	-0.06673672
AP2M1	-0.046164223	-0.070381037	-0.021947409	0.080491217
AP2S1	0.20178908	0.693814331	-0.29023617	0.703126969
AP3B1	-0.09919801	-0.109678053	-0.088717966	0.06742198
AP3B2	-0.16914189	-0.086792356	-0.251491424	-0.184256292
AP3D1	-0.018316796	-0.082129105	0.045495512	-0.047333013
AP3M1	-0.317876489	-0.336320284	-0.299432694	0.161232747
AP3M2	-0.010884942	0.040530616	-0.0623005	0.053767596
AP3S1	-0.09199123	-0.056762697	-0.127219762	0.095985995
AP4B1	-0.290058889	-0.539169241	-0.040948536	-0.382751073
AP4E1	-0.122649192	0.093309968	-0.338608353	0.408273997
AP4M1	0.147532858	-0.183124123	0.47818984	-0.610733132
AP4S1	0.004946302	0.158455796	-0.148563192	0.139281892
AP5M1	0.212147169	0.146212009	0.27808233	-0.0644418
AP5S1	-0.083439105	-0.204217926	0.037339715	-0.173991966
AP5Z1	-0.111750812	-0.069895156	-0.153606469	-0.087096489
APAF1	-0.164803593	-0.116092419	-0.213514768	0.098628922
APBA1	-0.02343632	-0.146928727	0.100056088	0.059652788
APBA3	0.020245902	0.022698948	0.017792856	0.004237152
APBB1	0.006811633	0.905380799	-0.891757534	0.858067767
APBB1IP	0.349788889	0.527500085	0.172077693	0.065135797
APBB3	-0.092318946	-0.406157581	0.22151969	0.060080925
APC	0.093919703	0.112495067	0.07534434	0.005959359
APEX1	0.08082741	-0.035421878	0.197076699	-0.279556641
APH1A	-0.545281133	-0.740800087	-0.349762179	0.124600923
API5	-0.108461786	-0.129307171	-0.0876164	0.008463713
APIP	-0.267306048	-0.325469969	-0.209142127	-0.209509106
APLP2	0.003585543	-0.005904446	0.013075533	-0.013000546
APMAP	0.00655604	0.115530946	-0.102418867	0.087467655
APOA1	-0.025157224	-0.221113952	0.170799505	0.090681677
APOBEC2	-0.48522747	-0.311497465	-0.658957475	0.225102752
APOF	-0.040349343	0.153663408	-0.234362094	0.189295338
APOLD1	-0.699345994	-1.098794059	-0.29989793	-0.31686859
APOO	-0.07950428	0.04706694	-0.2060755	0.175324485
APOOL	0.116466002	0.165119135	0.067812868	0.059264601
APP	0.341121515	0.372510282	0.309732747	-0.067039585
APPBP2	0.031322148	0.105338289	-0.042693993	0.095611835
APPL1	0.104646775	0.147543068	0.061750482	0.019820094
APPL2	0.172861365	0.266884686	0.078838044	0.048820608
APRT	-0.036607528	-0.101772501	0.028557445	-0.092365016
APTX	-0.030047913	-0.065714563	0.005618737	0.010160577
AQP11	-0.301826604	-0.351903295	-0.251749913	0.121548
AQP3	-0.192668654	-0.125487019	-0.25985029	0.110401674
AQP9	0.507347605	0.203852905	0.810842304	0.230489356
AQR	-0.166074761	-0.053001488	-0.279148034	0.143696218
ARAP1	0.416604601	0.381677474	0.451531727	-0.078835236
ARAP2	0.001242951	-0.035505794	0.037991696	-0.025669514
ARCN1	-0.009432977	-0.041702	0.022836046	-0.067413533
AREL1	-0.076615113	-0.051018295	-0.102211931	-0.018361279
ARF1	0.092973156	0.142344255	0.043602058	0.110527295
ARF3	0.690981099	0.71954227	0.662419928	-0.046646665
ARF4	0.009913954	0.048906189	-0.02907828	0.037724965
ARF6	-0.00923398	-0.025174074	0.006706115	-0.051027889
ARFGAP1	-0.090349597	0.032365045	-0.213064239	0.112748794
ARFGAP2	-0.145378767	0.016097262	-0.306854797	0.237578589
ARFGAP3	-0.085628954	-0.012954374	-0.158303534	0.026562491
ARFGEF1	0.087518175	0.136730872	0.038305477	0.056308048
ARFGEF2	-0.051868528	-0.124687172	0.020950117	-0.07149139
ARFIP1	0.317767938	0.41452354	0.221012336	0.153358644
ARFIP2	-0.012291572	-0.020343778	-0.004239366	-0.062559239
ARFRP1	-0.156950658	-0.085811776	-0.22808954	0.073062605
ARG2	0.748240241	0.590087381	0.9063931	-0.165701894
ARGLU1	-0.031245242	0.071732888	-0.134223372	0.063151523
ARHGAP1	0.147573143	0.215900095	0.079246192	-0.039026393
ARHGAP10	-0.003778394	0.105118214	-0.112675002	0.028062625
ARHGAP12	0.354343537	0.451467134	0.25721994	0.040139572
ARHGAP15	0.284792423	0.486010579	0.083574267	0.163587214
ARHGAP17	-0.052367443	-0.138611817	0.033876931	-0.046775636
ARHGAP18	-0.182732143	-0.084517335	-0.280946952	0.341524201
ARHGAP19	0.160855267	0.015224889	0.306485645	-0.002781236
ARHGAP24	0.306690005	0.634170886	-0.020790877	0.08955532
ARHGAP25	0.20651306	0.190447348	0.222578771	-0.200977231
ARHGAP26	0.506736737	0.722876422	0.290597051	-0.064908878
ARHGAP27	0.246539893	0.247637825	0.245441961	-0.103245189
ARHGAP29	0.138933945	0.111303858	0.166564032	-0.157216093
ARHGAP30	0.341233176	0.316475234	0.365991118	-0.253131251
ARHGAP31	0.348853538	0.419557189	0.278149887	0.215464992
ARHGAP35	0.145147023	0.140290868	0.150003179	-0.033604067
ARHGAP36	0.034873984	-0.050267412	0.120015379	-0.077319516
ARHGAP45	0.308806561	0.317297003	0.300316119	-0.097228043
ARHGAP5	0.012723512	0.023596985	0.001850039	0.063638001
ARHGAP6	0.221672056	0.396877209	0.046466903	-0.087840214
ARHGDIA	0.053519715	0.039906028	0.067133403	-0.093455035
ARHGDIB	0.160056602	0.145920744	0.174192461	-0.11246999
ARHGDIG	-0.101490903	-0.306301976	0.10332017	-0.028883517
ARHGEF10L	0.598763068	0.629734549	0.567791587	0.3971479
