"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison"
"scan00120","Primary bile acid biosynthesis - Serinus canaria (common canary)",10,0.67444764223233,1.6764614377035596,0.016904106624037452,0.1297036909472752,0.11475237752519668,951,"tags=40%, list=9%, signal=37%","103812691/103813932/103819697/103817065","infection_all"
"scan00250","Alanine, aspartate and glutamate metabolism - Serinus canaria (common canary)",22,0.5238813845515755,1.6082042062339588,0.015353863777162522,0.1297036909472752,0.11475237752519668,3207,"tags=64%, list=29%, signal=45%","103819001/103820272/103824938/103824593/103817737/103820986/103822727/103826193/103819060/103819428/103817285/103827201/103814164/103814219","infection_all"
"scan00565","Ether lipid metabolism - Serinus canaria (common canary)",26,0.4946907090941215,1.6046921285295026,0.018301747802376256,0.1297036909472752,0.11475237752519668,2008,"tags=42%, list=18%, signal=35%","103820165/103825703/103826384/103826002/103816810/103822975/103819647/103825973/103818205/103815551/103814801","infection_all"
"scan00030","Pentose phosphate pathway - Serinus canaria (common canary)",21,0.5190259668784123,1.576876943345382,0.016989768245402787,0.1297036909472752,0.11475237752519668,1896,"tags=43%, list=17%, signal=36%","103822944/103824897/103820784/103815490/103820527/103824722/103816991/103812734/103820123","infection_all"
"scan01250","Biosynthesis of nucleotide sugars - Serinus canaria (common canary)",33,0.4568755976820849,1.5527186796087986,0.017846604648026114,0.1297036909472752,0.11475237752519668,3103,"tags=55%, list=28%, signal=39%","103820680/103821718/103826316/103816023/103817507/103815221/103819551/103824722/103821217/103824825/103822727/103821348/103823189/103816951/103821219/103817285/103817736/103819854","infection_all"
"scan00100","Steroid biosynthesis - Serinus canaria (common canary)",15,0.561090318270948,1.5374003775547576,0.01718294102474255,0.1297036909472752,0.11475237752519668,2305,"tags=53%, list=21%, signal=42%","103813937/103814750/103813931/103822109/103814788/103815202/103814522/103816322","infection_all"
"scan00520","Amino sugar and nucleotide sugar metabolism - Serinus canaria (common canary)",42,0.425101276401178,1.525353421638193,0.014371238173191685,0.1297036909472752,0.11475237752519668,2192,"tags=40%, list=20%, signal=33%","103820680/103821718/103826316/103816023/103817507/103815221/103822106/103819551/103824722/103821217/103819581/103824825/103822727/103821348/103819481/103823189/103816951","infection_all"
"scan04540","Gap junction - Serinus canaria (common canary)",54,-0.35657588948436497,-1.4442525632862708,0.03254972133270609,0.21362679470378038,0.18900142637660908,1130,"tags=20%, list=10%, signal=18%","103818740/103815972/103824735/103815438/103814372/103819309/103824084/103816769/103815242/103826578/103824092","infection_all"
"scan04210","Apoptosis - Serinus canaria (common canary)",103,0.3311961816380172,1.4118630365890164,0.03276484581346325,0.21362679470378038,0.18900142637660908,3151,"tags=46%, list=29%, signal=33%","103826003/103823354/103819783/103827295/103818465/103814184/103812503/103812440/103814509/103814508/103813225/103824795/103816060/103821869/103816650/103813818/103822915/103826549/103826521/103816275/103823703/103824288/103819332/103814507/103823471/103819293/103819217/103819114/103812888/103826388/103825669/103813947/103820781/103824612/103824613/103819595/103827175/103817621/103818074/103819275/103817751/103819592/103826026/103817882/103821648/103815595/103824024","infection_all"
"scan03082","ATP-dependent chromatin remodeling - Serinus canaria (common canary)",82,-0.32415491915515193,-1.4277125245565228,0.044945060345489,0.2817709552428733,0.2492904156814572,2924,"tags=34%, list=27%, signal=25%","103819075/103820220/103819774/103816526/103814256/103818490/103822638/103814826/103814713/103821677/103818605/103825308/103827154/103818158/103827221/103814968/103814238/103815831/103817653/115485577/115485216/103817144/103813338/103813361/103813355/103825220/103818731/103813343","infection_all"
"scan00561","Glycerolipid metabolism - Serinus canaria (common canary)",43,0.3946745722132774,1.4179347488133467,0.05351170568561873,0.300772690577788,0.2661017669303,2214,"tags=37%, list=20%, signal=30%","103819430/103815903/103820625/103818954/103821480/103826085/103813825/103819799/103825293/103815508/103817373/103823769/103817024/103820475/103819680/103820474","infection_all"
"scan00564","Glycerophospholipid metabolism - Serinus canaria (common canary)",68,0.35200897198932346,1.387473091451732,0.052545155993431854,0.300772690577788,0.2661017669303,1797,"tags=29%, list=16%, signal=25%","103819430/103826384/103826002/103826010/103817601/103816810/103820625/103818954/103814303/103826085/103819647/103813825/103825973/103818205/103821523/103819799/103815508/103817373/103816813/103824509","infection_all"
"scan01200","Carbon metabolism - Serinus canaria (common canary)",79,0.33012397347957934,1.3451545520214865,0.05194805194805195,0.300772690577788,0.2661017669303,1468,"tags=24%, list=13%, signal=21%","103822944/103824897/103823837/103820089/103817082/103819530/103820784/103817507/103815943/103815490/103820786/103817124/103816991/103812620/103824891/103821209/103816150/103827158/103812734","infection_all"
"scan00140","Steroid hormone biosynthesis - Serinus canaria (common canary)",13,0.5610696367658943,1.496086417873997,0.06457242582897033,0.3289157940663176,0.2910007348213466,2372,"tags=62%, list=22%, signal=48%","103812691/103819697/103821707/103826189/103820184/103820695/103827003/103818085","infection_all"
"scan04512","ECM-receptor interaction - Serinus canaria (common canary)",38,-0.6283597406656564,-2.2446113261376017,5.219852434415457e-6,8.508359468097195e-4,7.80230574407363e-4,2014,"tags=61%, list=18%, signal=50%","103815393/103821681/103814560/103821768/103816954/103821865/103815114/103826259/103818867/103814579/103813718/103824037/103817186/103820959/115483849/103816521/103824015/103821089/103813510/103818618/103823465/103820000/103818870","diet_uninf"
"scan03010","Ribosome - Serinus canaria (common canary)",109,-0.42402926193048773,-1.821315952690461,1.3086777370668634e-4,0.010665723557094936,0.009780644140183925,3184,"tags=57%, list=29%, signal=41%","103812360/103817700/103815935/103813425/103820760/103817308/103821561/103818398/103814342/103822778/103816501/103818729/103819251/103818922/103816243/103821652/103823818/103824141/103823298/103814742/103820308/103821953/103815140/103812957/103812879/103820125/103819445/103817571/103826235/103818138/103814016/103819178/103820931/103824076/103820636/103819825/103812989/103816211/108963517/103826008/103820396/103815165/103823504/103818972/103824808/103817750/103824401/103821578/103812930/103819127/103816293/115484503/103821019/103826794/103815776/103824093/103815291/103821299/103821795/103823064/103813272/103818043","diet_uninf"
"scan00280","Valine, leucine and isoleucine degradation - Serinus canaria (common canary)",41,0.5209425948666635,1.825236391309137,7.68741278779469e-4,0.041768276147017815,0.03830219704795951,2547,"tags=46%, list=23%, signal=36%","103820318/103823648/103814515/103818197/103815321/103820500/103821285/103821261/103812905/103813777/103815968/103812620/103824695/103824692/103824938/103824182/103820614/103821020/103825293","diet_uninf"
"scan03030","DNA replication - Serinus canaria (common canary)",27,0.587128099050677,1.8707378709069413,0.0016203530024878588,0.05635484618594793,0.05167832197871879,1584,"tags=44%, list=14%, signal=38%","103823254/103821157/103815325/103817027/103822569/103824798/103826822/103825187/103816121/108963061/103827391/103814276","diet_uninf"
"scan04622","RIG-I-like receptor signaling pathway - Serinus canaria (common canary)",39,0.521270009999562,1.797993819877623,0.001728676263372636,0.05635484618594793,0.05167832197871879,1542,"tags=31%, list=14%, signal=27%","103819976/103821730/103821258/103818641/103814509/103823962/103814392/103814507/103826414/103819084/103812941/103826026","diet_uninf"
"scan00592","alpha-Linolenic acid metabolism - Serinus canaria (common canary)",12,-0.7047633932132994,-1.8224555337225987,0.004066800646160157,0.06677353800581858,0.06123243394786075,1818,"tags=58%, list=17%, signal=49%","103813604/103826646/103823998/103823709/103826648/103822123/103824355","diet_uninf"
"scan04672","Intestinal immune network for IgA production - Serinus canaria (common canary)",18,0.6225350954900266,1.7775601635795752,0.002960823022074719,0.06677353800581858,0.06123243394786075,1239,"tags=39%, list=11%, signal=35%","103821712/103813616/103827138/103815892/103822525/103818815/103817606","diet_uninf"
"scan04115","p53 signaling pathway - Serinus canaria (common canary)",55,0.46091400151353196,1.731719320688343,0.0040965360739766,0.06677353800581858,0.06123243394786075,2038,"tags=36%, list=19%, signal=30%","103827295/103814184/103822217/103818704/103826713/103817234/103816949/103826693/103813925/103814507/103824078/103813713/103812888/103825669/103815650/103813452/103826389/103818108/103816602/103823403","diet_uninf"
"scan05164","Influenza A - Serinus canaria (common canary)",92,0.4061960854925398,1.674845053600775,0.002976856359739383,0.06677353800581858,0.06123243394786075,1542,"tags=22%, list=14%, signal=19%","103815742/103820351/103819976/103821258/103813055/103817583/103814184/103815595/103823962/103814539/103823354/103814392/103814507/103826414/103819765/103812888/103825669/103815911/103825605/103826026","diet_uninf"
"scan04020","Calcium signaling pathway - Serinus canaria (common canary)",109,-0.36992148076353226,-1.5889089613535856,0.0033965125107719672,0.06677353800581858,0.06123243394786075,1835,"tags=28%, list=17%, signal=23%","103820093/103816566/103817765/103813271/103818244/103817508/103813872/103816639/103822432/103813567/103819309/103823777/103817131/103822722/103816532/103816498/103816295/103817524/103823305/103826117/103824735/103822470/103821775/103817304/103820151/103826392/103818839/103817397/108963590/103824820","diet_uninf"
"scan00600","Sphingolipid metabolism - Serinus canaria (common canary)",41,-0.47092292254950113,-1.719720844703633,0.005376089209294495,0.07966386737409115,0.0730530782507003,1774,"tags=34%, list=16%, signal=29%","103823955/103817489/103827212/103821938/103824263/103823751/103815515/103816148/103827214/103824479/103819515/103814224/103815551/103821875","diet_uninf"
"scan03430","Mismatch repair - Serinus canaria (common canary)",18,0.5809718377417774,1.6588822098752583,0.008619654722446964,0.10502046791639082,0.09630549850905713,1754,"tags=56%, list=16%, signal=47%","103815325/103822569/103818530/103824798/103825187/103821120/103819297/103823071/103819208/103817661","diet_uninf"
"scan04912","GnRH signaling pathway - Serinus canaria (common canary)",57,-0.4267798223830388,-1.6468201407494873,0.009020162888524365,0.10502046791639082,0.09630549850905713,2518,"tags=35%, list=23%, signal=27%","103817610/103819847/103817449/103824084/103814336/103817284/103817765/103824610/103821627/103822432/103819309/103826646/103822722/103823281/103826648/103823305/103824735/103822470/103817304/103817544","diet_uninf"
"scan04916","Melanogenesis - Serinus canaria (common canary)",55,-0.425856121379579,-1.632026126272942,0.008262314556274103,0.10502046791639082,0.09630549850905713,2200,"tags=33%, list=20%, signal=26%","103824084/103821769/103817763/103817765/103824610/103813289/103819309/103820459/103824532/103822722/115484624/103824735/103820790/103822470/103817304/103816655/103812739/103826188","diet_uninf"
"scan01250","Biosynthesis of nucleotide sugars - Serinus canaria (common canary)",33,0.48181718092220477,1.60126054037406,0.013463328230321621,0.1463015001028283,0.13416088482145053,1145,"tags=30%, list=10%, signal=27%","103820680/103821718/103817507/103816023/103821219/103817285/103826316/103815221/103822727/103817736","diet_uninf"
"scan00590","Arachidonic acid metabolism - Serinus canaria (common canary)",28,-0.5098011346106855,-1.6957813333276552,0.015287392055074876,0.1557403065610753,0.14281642577767317,1818,"tags=43%, list=17%, signal=36%","103813604/103818937/103813960/103826646/103823709/103826041/103826648/103817479/103814802/103824640/103819086/103824355","diet_uninf"
"scan04820","Cytoskeleton in muscle cells - Serinus canaria (common canary)",95,-0.3536430093437191,-1.479641443372527,0.017730152384148563,0.16403710037634534,0.1504247223341365,1967,"tags=32%, list=18%, signal=26%","103823973/103813889/103821681/103814560/103821768/103816954/103815845/103819048/103822425/103818867/103823197/103814579/103826748/103823054/103824037/103823660/103812826/103820619/103820959/103822327/103814374/103814553/103827161/103814250/103816521/103821089/103826982/103818618/103816018/103820000","diet_uninf"
"scan04141","Protein processing in endoplasmic reticulum - Serinus canaria (common canary)",133,0.32861755962592254,1.436427521498457,0.018114526421927707,0.16403710037634534,0.1504247223341365,3273,"tags=38%, list=30%, signal=27%","103820852/103820853/103815754/103815688/103827351/103819783/103826421/103823354/103818465/103824125/103827137/103813967/103823701/103821428/103815261/103819368/108962580/103820566/103813181/103819084/103819275/103820061/103821835/103818235/103826837/103821560/103819222/103812776/103819215/103815593/103818314/103818700/103822064/103817018/103813947/103824718/103823612/103815522/103819916/103821830/103826471/103817370/103812945/103813992/103813275/103820776/103820873/103818078/108964924/103823712/103818612","diet_uninf"
"scan03420","Nucleotide excision repair - Serinus canaria (common canary)",46,0.4097575385516998,1.4828442643259518,0.02201717896362203,0.1888842195300206,0.17320993976921487,4186,"tags=70%, list=38%, signal=43%","103815325/103813248/103822569/103821212/103824798/103813837/103826822/103826693/103825187/108963061/103821947/103820596/103817904/103817034/103816713/103827359/103821039/103826770/103820990/103815524/103813942/103812301/103816392/103826358/103826051/103818435/103823649/103820072/103819502/103818206/103813288/103814335","diet_uninf"
"scan00860","Porphyrin metabolism - Serinus canaria (common canary)",19,-0.5179720795987808,-1.5165761887076552,0.035195004610791024,0.28683928757794686,0.26303635024906974,2346,"tags=47%, list=21%, signal=37%","103813894/103813211/103822126/103819440/103819361/103814977/103820271/103816422/103817760","diet_uninf"
"scan00520","Amino sugar and nucleotide sugar metabolism - Serinus canaria (common canary)",42,0.41314279259659725,1.4526123511022435,0.046296296296296294,0.359347442680776,0.32952752250997863,1145,"tags=26%, list=10%, signal=24%","103820680/103821718/103817507/103816023/103821219/103822106/103817285/103826316/103815221/103822727/103817736","diet_uninf"
"scan05168","Herpes simplex virus 1 infection - Serinus canaria (common canary)",114,0.3058414942703187,1.3113674324098583,0.054249547920433995,0.40193983231957914,0.36858544520103476,3256,"tags=37%, list=30%, signal=26%","103821258/103813055/103817583/103814184/103821327/103826953/103822998/103814539/103823354/103814392/103824969/103814507/103826414/103817306/103825194/103819084/103812888/103825669/103825104/108963687/103824644/103826026/103824727/103816650/103819122/103813183/103824806/103820468/103826549/103817878/103821528/103824936/103820036/103813028/103826615/103824089/103820400/103822336/103818978/108964924/103824201/103826523","diet_uninf"
"scan03060","Protein export - Serinus canaria (common canary)",23,0.4750244275455542,1.4478330125906724,0.0650994575045208,0.4613570249233431,0.42307198927423123,3426,"tags=52%, list=31%, signal=36%","103815688/103824383/103824191/108962580/103818384/103815593/103816976/103826213/103819349/103826591/103826243/103815949","diet_uninf"
"scan03440","Homologous recombination - Serinus canaria (common canary)",33,0.4268412371968503,1.418554707450579,0.06818181818181818,0.4630681818181818,0.4246411483253588,1092,"tags=21%, list=10%, signal=19%","103827295/103820332/103815179/103813415/103822569/103826604/103827353","diet_uninf"
"scan00260","Glycine, serine and threonine metabolism - Serinus canaria (common canary)",22,0.4701672846006832,1.4178999645470631,0.07282415630550622,0.4748134991119005,0.43541179770028976,111,"tags=9%, list=1%, signal=9%","103824444/103820477","diet_uninf"
"scan00062","Fatty acid elongation - Serinus canaria (common canary)",20,0.4900338876685829,1.4393696720628357,0.07922535211267606,0.4966820151679307,0.45546558704453444,1594,"tags=30%, list=14%, signal=26%","103825997/103826634/103824695/103826968/103824692/103816239","diet_uninf"
"scan00670","One carbon pool by folate - Serinus canaria (common canary)",25,0.45978464767046306,1.447722879414076,0.08318264014466546,0.5021766793918693,0.46050428462153975,3183,"tags=56%, list=29%, signal=40%","103813189/103826371/103814578/103816061/103824404/103815236/103820617/103824667/103815752/103814023/103823837/103821480/103818585/103817124","diet_uninf"
"scan04210","Apoptosis - Serinus canaria (common canary)",103,0.30066019546612754,1.2722418766066996,0.09090909090909091,0.5292207792207793,0.48530416951469585,1888,"tags=24%, list=17%, signal=20%","103827295/103814184/103815595/103814509/103824288/103814508/103819783/103819114/103823354/103821869/103818465/103819217/103814507/103824078/103813818/103822946/103819084/103812888/103819275/103825669/103826026/103827175/103816650/103824613/103826003","diet_uninf"
"scan00531","Glycosaminoglycan degradation - Serinus canaria (common canary)",17,-0.477071669802832,-1.3746974095109026,0.10643015521064302,0.5982108723908556,0.5485692210494123,2082,"tags=47%, list=19%, signal=38%","103816759/103817140/103816969/103819543/103820271/103816148/103814162/103816359","diet_uninf"
"scan00650","Butanoate metabolism - Serinus canaria (common canary)",16,0.4949377686315363,1.361785519792782,0.11559633027522936,0.6078129624149157,0.5573744957243657,3446,"tags=56%, list=31%, signal=39%","103819428/103818197/103824695/103826825/103824182/103820614/103821020/103826257/103827296","diet_uninf"
"scan04512","ECM-receptor interaction - Serinus canaria (common canary)",38,0.5778256837301651,1.9743224747440162,2.0785506262015126e-4,0.03263324483136375,0.03085006718888561,1171,"tags=37%, list=11%, signal=33%","103818870/103826259/103823465/103824037/103820000/115483849/103813510/103824015/103818867/103818618/103817186/103817461/103816521/103816954","interaction_diet:infection"
"scan00190","Oxidative phosphorylation - Serinus canaria (common canary)",82,-0.4193348466204801,-1.8341952022819927,6.220891932738865e-4,0.04883400167200009,0.04616556644822,3463,"tags=61%, list=31%, signal=42%","103819167/103817783/103823494/103813310/103825440/103816798/103827120/103824915/103816680/103814484/103817572/103821968/103816871/103815311/103819838/103824104/103814510/103827112/103812255/103821880/103825927/103818939/103815888/103824421/103817025/103826690/103813122/103819557/103814992/103817013/103813968/103815557/103818040/103813813/103813689/103826261/103813395/103823755/103813580/103817985/103812888/103816343/103822534/103826469/103819677/103813478/108963315/103816398/103819978/103826999","interaction_diet:infection"
"scan03060","Protein export - Serinus canaria (common canary)",23,-0.5823809246279574,-1.8827010996434073,0.0040818371188147285,0.15920448359955683,0.1505050766847973,2323,"tags=65%, list=21%, signal=52%","103826213/103815949/103815723/103822094/103817022/103826243/103815593/103824383/103819349/103816976/103826591/103818384/103824191/108962580/103815688","interaction_diet:infection"
"scan04622","RIG-I-like receptor signaling pathway - Serinus canaria (common canary)",39,-0.4856499898814748,-1.8527422535387188,0.0038854044630800538,0.15920448359955683,0.1505050766847973,1052,"tags=31%, list=10%, signal=28%","103819084/103821035/103812941/103821471/103814392/103814507/103823962/103814509/103818641/103821258/103821730/103819976","interaction_diet:infection"
"scan04141","Protein processing in endoplasmic reticulum - Serinus canaria (common canary)",133,-0.3277555504143179,-1.5354891384514466,0.00507020648406232,0.15920448359955683,0.1505050766847973,3966,"tags=53%, list=36%, signal=35%","103815521/103820903/103813992/103823782/103826595/103819092/103818078/103819366/103820873/103817252/103820055/103816656/103824718/103826005/103812945/103826007/103817370/103821439/103818030/103819236/103822064/103814811/103820776/103819215/103820566/103817255/103816342/103819916/103813194/103815167/103818594/103813275/103821428/103813947/103821835/103826541/103817022/103812776/103819327/103818612/103819275/103817018/103821830/103823354/103820061/103827137/103819084/103819368/103827351/103813288/103823701/103815593/103818465/103817905/103813181/103818235/103815754/103824125/103823612/103821560/103815261/103826471/103815522/103826421/103826837/103813967/103819222/103819783/108962580/103820853/103815688","interaction_diet:infection"
"scan04020","Calcium signaling pathway - Serinus canaria (common canary)",109,0.3719111309126545,1.5656194429544799,0.006652006275520221,0.17406083087611246,0.16454962892076336,2249,"tags=30%, list=20%, signal=24%","103822470/103823305/103818839/103816295/103826392/103820151/103824820/103824735/103824092/108963590/103821775/103816532/103819981/103822722/103813567/103819427/115484358/103817304/103823357/103817508/103823777/103817501/103817397/103824510/103821374/103821628/103820071/103820093/103818892/103816608/103819309/103817131/103818868","interaction_diet:infection"
"scan03420","Nucleotide excision repair - Serinus canaria (common canary)",46,-0.41909772451900373,-1.6494378031302526,0.010535358164950003,0.23629303312816435,0.22338127838465421,2077,"tags=43%, list=19%, signal=35%","103812397/103812301/103822569/103816392/103820990/103820072/103826051/103813288/103821039/103815325/103826822/103817034/103824798/103823649/103817904/103813942/103826693/103821212/103820596/103813837","interaction_diet:infection"
"scan04916","Melanogenesis - Serinus canaria (common canary)",55,0.4240293226904041,1.576176283861709,0.013316531652451986,0.2613369336793702,0.24705670565733293,1247,"tags=25%, list=11%, signal=23%","103812739/103822470/103816655/103824735/103826188/103820790/103821769/103822722/103812501/103817304/103817470/115484624/103813289/103817763","interaction_diet:infection"
"scan05164","Influenza A - Serinus canaria (common canary)",92,-0.3296730839401756,-1.467504993205917,0.016457710897080507,0.2870956234268488,0.2714078639167663,983,"tags=16%, list=9%, signal=15%","103825605/103814392/103812888/103814507/103823962/103817251/103825669/103814184/103815595/103821258/103817583/103819976/103813055/103820351/103815742","interaction_diet:infection"
"scan00592","alpha-Linolenic acid metabolism - Serinus canaria (common canary)",12,0.6217317161601945,1.5851636059315988,0.027940686472856014,0.33743752124910725,0.3189989305807852,1640,"tags=58%, list=15%, signal=50%","103824355/103822123/103823709/103813604/103823998/103826648/103826646","interaction_diet:infection"
"scan00270","Cysteine and methionine metabolism - Serinus canaria (common canary)",37,-0.4202306899018081,-1.5842624537697128,0.022766467288332735,0.33743752124910725,0.3189989305807852,2417,"tags=41%, list=22%, signal=32%","103825146/103826768/103821310/103817232/103819574/103820500/103821392/103818595/103815851/103821260/103821490/103815236/103820287/103824444/103814023","interaction_diet:infection"
"scan00100","Steroid biosynthesis - Serinus canaria (common canary)",15,0.5879650189523777,1.5723001985817877,0.024676133894113123,0.33743752124910725,0.3189989305807852,1977,"tags=67%, list=18%, signal=55%","103822109/103821286/103813937/103815202/103816322/103823051/103814750/103814522/103818976/103824326","interaction_diet:infection"
"scan00260","Glycine, serine and threonine metabolism - Serinus canaria (common canary)",22,-0.49009094731849906,-1.548980999277189,0.02621005888114535,0.33743752124910725,0.3189989305807852,3064,"tags=50%, list=28%, signal=36%","103821480/103814207/103817124/103824276/103821310/103821576/103820216/103823837/103815236/103824444/103820477","interaction_diet:infection"
