"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","richFactor","comparison"
"CC","GO:0032991","protein-containing complex","23/68","420/2702",1.2335287066878164e-4,0.0019736459307005062,0.00161007957504515,"103812360/103812740/103813248/103813752/103813813/103813968/103814742/103815368/103816717/103816764/103817571/103818036/103818729/103818986/103819845/103820319/103820545/103821868/103822378/103824076/103824148/103824483/103826411",23,0.05476190476190476,"eye_score_pos"
"CC","GO:0044391","ribosomal subunit","4/68","15/2702",4.0654121047415856e-4,0.005420549472988781,0.004422027201648743,"103814742/103817571/103819845/103824076",4,0.26666666666666666,"eye_score_pos"
"CC","GO:0005739","mitochondrion","10/68","121/2702",7.150503763244368e-4,0.008172004300850707,0.006666635087536104,"103813813/103813854/103813968/103814997/103819559/103821870/103822378/103823174/103824148/103827120",10,0.08264462809917356,"eye_score_pos"
"CC","GO:0031966","mitochondrial membrane","7/68","64/2702",9.308388463069892e-4,0.009308388463069892,0.007593685325135965,"103813813/103813854/103813968/103819559/103821870/103822378/103827120",7,0.109375,"eye_score_pos"
"CC","GO:0005740","mitochondrial envelope","7/68","68/2702",0.0013411692800426843,0.011921504711490527,0.009725438054110693,"103813813/103813854/103813968/103819559/103821870/103822378/103827120",7,0.10294117647058823,"eye_score_pos"
"CC","GO:0005743","mitochondrial inner membrane","5/68","42/2702",0.0035968932058799115,0.028775145647039292,0.02347446092258469,"103813813/103813968/103821870/103822378/103827120",5,0.11904761904761904,"eye_score_pos"
"CC","GO:0019866","organelle inner membrane","5/68","44/2702",0.004416977693823111,0.03191814475852374,0.02603848651353253,"103813813/103813968/103821870/103822378/103827120",5,0.11363636363636363,"eye_score_pos"
"CC","GO:0031967","organelle envelope","7/68","86/2702",0.0051922898478860575,0.03191814475852374,0.02603848651353253,"103813813/103813854/103813968/103819559/103821870/103822378/103827120",7,0.08139534883720931,"eye_score_pos"
"CC","GO:0031975","envelope","7/68","86/2702",0.0051922898478860575,0.03191814475852374,0.02603848651353253,"103813813/103813854/103813968/103819559/103821870/103822378/103827120",7,0.08139534883720931,"eye_score_pos"
"CC","GO:0098800","inner mitochondrial membrane protein complex","3/68","15/2702",0.0055856753327416546,0.03191814475852374,0.02603848651353253,"103813813/103813968/103822378",3,0.2,"eye_score_pos"
"MF","GO:0003735","structural constituent of ribosome","10/60","35/2722",1.4972208280829857e-9,1.6918595357337739e-7,1.6918595357337739e-7,"103812360/103814742/103815368/103816764/103817571/103818729/103820545/103821868/103824076/103824148",10,0.2857142857142857,"eye_score_pos"
"MF","GO:0005198","structural molecule activity","11/60","92/2722",3.152640676288724e-6,1.7812419821031293e-4,1.7812419821031293e-4,"103812360/103814742/103815368/103816764/103817571/103818729/103818740/103820545/103821868/103824076/103824148",11,0.11956521739130435,"eye_score_pos"
"BP","GO:0006511","ubiquitin-dependent protein catabolic process","9/82","38/2159",7.0236208444798245e-6,7.670940063096363e-4,7.484601438081876e-4,"103816392/103818114/103818584/103820525/103820776/103820867/103823620/103825159/103826536",9,0.23684210526315788,"eye_score_neg"
"BP","GO:0019941","modification-dependent protein catabolic process","9/82","38/2159",7.0236208444798245e-6,7.670940063096363e-4,7.484601438081876e-4,"103816392/103818114/103818584/103820525/103820776/103820867/103823620/103825159/103826536",9,0.23684210526315788,"eye_score_neg"
"BP","GO:0043632","modification-dependent macromolecule catabolic process","9/82","39/2159",8.85108468818811e-6,7.670940063096363e-4,7.484601438081876e-4,"103816392/103818114/103818584/103820525/103820776/103820867/103823620/103825159/103826536",9,0.23076923076923078,"eye_score_neg"
"BP","GO:0051603","proteolysis involved in protein catabolic process","9/82","42/2159",1.6964340118675847e-5,0.00110268210771393,0.0010758963075265472,"103816392/103818114/103818584/103820525/103820776/103820867/103823620/103825159/103826536",9,0.21428571428571427,"eye_score_neg"
"BP","GO:0070647","protein modification by small protein conjugation or removal","12/82","78/2159",2.271003416363364e-5,0.0011809217765089493,0.001152235417565412,"103812586/103816392/103818096/103818114/103818584/103820360/103820525/103820776/103820867/103825159/103826724/103827013",12,0.15384615384615385,"eye_score_neg"
"BP","GO:0030163","protein catabolic process","9/82","45/2159",3.071070868197881e-5,0.001330797376219082,0.001298470314448578,"103816392/103818114/103818584/103820525/103820776/103820867/103823620/103825159/103826536",9,0.2,"eye_score_neg"
"BP","GO:0009057","macromolecule catabolic process","10/82","59/2159",4.945964681868989e-5,0.0018370725961227676,0.0017924473508728219,"103816392/103818114/103818584/103820525/103820776/103820867/103823620/103825159/103825990/103826536",10,0.1694915254237288,"eye_score_neg"
"BP","GO:0043687","post-translational protein modification","12/82","88/2159",7.87449334179789e-5,0.002559210336084314,0.0024970432833859102,"103812586/103816392/103818096/103818114/103818584/103820360/103820525/103820776/103820867/103825159/103826724/103827013",12,0.13636363636363635,"eye_score_neg"
"BP","GO:0016567","protein ubiquitination","9/82","55/2159",1.6143615685061923e-4,0.004663711197906778,0.0045504226667835365,"103812586/103816392/103818096/103818114/103818584/103820360/103820776/103826724/103827013",9,0.16363636363636364,"eye_score_neg"
"BP","GO:0032446","protein modification by small protein conjugation","9/82","57/2159",2.1463402003885242e-4,0.005580484521010163,0.005444926192564573,"103812586/103816392/103818096/103818114/103818584/103820360/103820776/103826724/103827013",9,0.15789473684210525,"eye_score_neg"
"BP","GO:0006508","proteolysis","15/82","151/2159",3.854886557909097e-4,0.009111550045966957,0.008890216846469784,"103812586/103814508/103816392/103818114/103818584/103820525/103820710/103820776/103820867/103822463/103823620/103825159/103826003/103826536/103826570",15,0.09933774834437085,"eye_score_neg"
"BP","GO:0009056","catabolic process","15/82","167/2159",0.0011422679516479163,0.02474913895237152,0.02414794529360946,"103813189/103816392/103816730/103818114/103818584/103820368/103820525/103820776/103820867/103823620/103825159/103825990/103826536/103826684/103827077",15,0.08982035928143713,"eye_score_neg"
"BP","GO:1901565","organonitrogen compound catabolic process","9/82","75/2159",0.0017116482594104752,0.0342329651882095,0.03340139518363761,"103816392/103818114/103818584/103820525/103820776/103820867/103823620/103825159/103826536",9,0.12,"eye_score_neg"
"BP","GO:1901575","organic substance catabolic process","13/82","141/2159",0.0019982271688678836,0.037109933136117844,0.036208477270463155,"103813189/103816392/103816730/103818114/103818584/103820368/103820525/103820776/103820867/103823620/103825159/103825990/103826536",13,0.09219858156028368,"eye_score_neg"
"MF","GO:0004842","ubiquitin-protein transferase activity","8/95","40/2722",5.014438354274423e-5,0.0044791818520211945,0.0035680538223781923,"103814970/103818114/103818584/103820360/103820776/103823620/103826724/103827013",8,0.2,"eye_score_neg"
"MF","GO:0019787","ubiquitin-like protein transferase activity","8/95","41/2722",6.05294844867729e-5,0.0044791818520211945,0.0035680538223781923,"103814970/103818114/103818584/103820360/103820776/103823620/103826724/103827013",8,0.1951219512195122,"eye_score_neg"
"MF","GO:0016755","aminoacyltransferase activity","8/95","47/2722",1.6756615796945532e-4,0.006810697393270079,0.005425306600613434,"103814970/103818114/103818584/103820360/103820776/103823620/103826724/103827013",8,0.1702127659574468,"eye_score_neg"
"MF","GO:0008234","cysteine-type peptidase activity","7/95","36/2722",1.8407290252081294e-4,0.006810697393270079,0.005425306600613434,"103812586/103814508/103820525/103820710/103820867/103825159/103826003",7,0.19444444444444445,"eye_score_neg"
"MF","GO:0008270","zinc ion binding","14/95","156/2722",8.11555237266792e-4,0.024022035023097042,0.01913561822608015,"103813957/103815303/103816303/103818114/103818154/103819809/103820360/103821582/103822463/103823138/103823784/103826570/103826724/103827013",14,0.08974358974358974,"eye_score_neg"
