entrezgene_id	ensembl_gene_id	wikigene_name	entrezgene_description	external_gene_name	gene_gff	description	gene_name	gene_tag	gene
103812271	ENSSCAG00000015241	FBXL3	F-box and leucine rich repeat protein 3	FBXL3	FBXL3	F-box and leucine rich repeat protein 3	FBXL3	LOC103812271	103812271
103812272	ENSSCAG00000015328	MYCBP2	MYC binding protein 2	MYCBP2	MYCBP2	MYC binding protein 2	MYCBP2	LOC103812272	103812272
103812275	ENSSCAG00000015808	RBM26	RNA binding motif protein 26	RBM26	RBM26	RNA binding motif protein 26	RBM26	LOC103812275	103812275
103812276	ENSSCAG00000015823	SPRY2	sprouty RTK signaling antagonist 2	SPRY2	SPRY2	sprouty RTK signaling antagonist 2	SPRY2	LOC103812276	103812276
103812277	ENSSCAG00000012765	TCEA1	transcription elongation factor A1	TCEA1	TCEA1	transcription elongation factor A1	TCEA1	LOC103812277	103812277
103812278	ENSSCAG00000015836	SLITRK6	SLIT and NTRK like family member 6	SLITRK6	SLITRK6	SLIT and NTRK like family member 6	SLITRK6	LOC103812278	103812278
103812279	ENSSCAG00000015839	MPLKIP	M-phase specific PLK1 interacting protein	MPLKIP	MPLKIP	M-phase specific PLK1 interacting protein	MPLKIP	LOC103812279	103812279
103812281	ENSSCAG00000015903	DCT	dopachrome tautomerase	DCT	DCT	dopachrome tautomerase	DCT	LOC103812281	103812281
103812282	ENSSCAG00000015911	GPR180	G protein-coupled receptor 180	GPR180	GPR180	G protein-coupled receptor 180	GPR180	LOC103812282	103812282
103812283	ENSSCAG00000015926	CLDN10	claudin 10	CLDN10	CLDN10	claudin 10	CLDN10	LOC103812283	103812283
103812284	ENSSCAG00000015937	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3	DNAJC3	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3	DNAJC3	LOC103812284	103812284
103812285	ENSSCAG00000015954	MBNL2	muscleblind like splicing regulator 2	MBNL2	MBNL2	muscleblind like splicing regulator 2	MBNL2	LOC103812285	103812285
103812286	ENSSCAG00000012773	LYPLA1	lysophospholipase 1	LYPLA1	LYPLA1	lysophospholipase 1	LYPLA1	LOC103812286	103812286
103812288	ENSSCAG00000015972	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1	FARP1	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1	FARP1	LOC103812288	103812288
103812289	ENSSCAG00000015978	STK24	serine/threonine kinase 24	STK24	STK24	serine/threonine kinase 24	STK24	LOC103812289	103812289
103812290	ENSSCAG00000015983	DOCK9	dedicator of cytokinesis 9	DOCK9	DOCK9	dedicator of cytokinesis 9	DOCK9	LOC103812290	103812290
103812291	ENSSCAG00000015999	LOC103812291	G-protein coupled receptor 183	GPR183	GPR183	G protein-coupled receptor 183	GPR183	LOC103812291	103812291
103812292	ENSSCAG00000015996	GPR18	G protein-coupled receptor 18	GPR18	GPR18	G protein-coupled receptor 18	GPR18	LOC103812292	103812292
103812293	ENSSCAG00000016100	GGACT	gamma-glutamylamine cyclotransferase	GGACT	GGACT	gamma-glutamylamine cyclotransferase	GGACT	LOC103812293	103812293
103812294	ENSSCAG00000016105	TMTC4	transmembrane O-mannosyltransferase targeting cadherins 4	TMTC4	TMTC4	transmembrane O-mannosyltransferase targeting cadherins 4	TMTC4	LOC103812294	103812294
103812296	ENSSCAG00000016176	ITGBL1	integrin subunit beta like 1	ITGBL1	ITGBL1	integrin subunit beta like 1	ITGBL1	LOC103812296	103812296
103812297	ENSSCAG00000016178	FGF14	fibroblast growth factor 14	FGF14	FGF14	fibroblast growth factor 14	FGF14	LOC103812297	103812297
103812299	ENSSCAG00000016222	TEX30	testis expressed 30		TEX30	testis expressed 30	TEX30	LOC103812299	103812299
103812300	ENSSCAG00000012779	MRPL15	mitochondrial ribosomal protein L15	MRPL15	MRPL15	mitochondrial ribosomal protein L15	MRPL15	LOC103812300	103812300
103812301	ENSSCAG00000016233	LOC103812301	DNA repair protein complementing XP-G cells-like		ERCC5	ERCC excision repair 5, endonuclease	ERCC5	LOC103812301	103812301
103812302	ENSSCAG00000016231	BIVM	basic, immunoglobulin-like variable motif containing		BIVM	basic, immunoglobulin-like variable motif containing	BIVM	LOC103812302	103812302
103812304	ENSSCAG00000016239	SLC10A2	solute carrier family 10 member 2	SLC10A2	SLC10A2	solute carrier family 10 member 2	SLC10A2	LOC103812304	103812304
103812307	ENSSCAG00000016255	LIG4	DNA ligase 4	LIG4	LIG4	DNA ligase 4	LIG4	LOC103812307	103812307
103812308	ENSSCAG00000016257	ABHD13	abhydrolase domain containing 13	ABHD13	ABHD13	abhydrolase domain containing 13	ABHD13	LOC103812308	103812308
103812309	ENSSCAG00000016259	TNFSF13B	TNF superfamily member 13b	TNFSF13B	TNFSF13B	TNF superfamily member 13b	TNFSF13B	LOC103812309	103812309
103812310	ENSSCAG00000016260	LOC103812310	arylsulfatase D-like		LOC103812310	arylsulfatase D-like	LOC103812310	LOC103812310	103812310
103812311	ENSSCAG00000016283	GYG2	glycogenin 2	GYG2	GYG2	glycogenin 2	GYG2	LOC103812311	103812311
103812312	ENSSCAG00000016287	LOC103812312	uncharacterized LOC103812312	CD99	LOC103812312	uncharacterized LOC103812312	CD99	LOC103812312	103812312
103812314	ENSSCAG00000016292	DHRSX	dehydrogenase/reductase X-linked	DHRSX	DHRSX	dehydrogenase/reductase X-linked	DHRSX	LOC103812314	103812314
103812315	ENSSCAG00000012825	LOC103812315	transmembrane protein 68-like		LOC103812315	transmembrane protein 68-like	LOC103812315	LOC103812315	103812315
103812318	ENSSCAG00000016306	P2RY8	P2Y receptor family member 8	P2RY8	P2RY8	P2Y receptor family member 8	P2RY8	LOC103812318	103812318
103812319	ENSSCAG00000016308	ASMTL	acetylserotonin O-methyltransferase like	ASMTL	ASMTL	acetylserotonin O-methyltransferase like	ASMTL	LOC103812319	103812319
103812322	ENSSCAG00000016332	SHOX	short stature homeobox	SHOX	SHOX	short stature homeobox	SHOX	LOC103812322	103812322
103812323	ENSSCAG00000012830	LOC103812323	transmembrane protein 68-like		LOC103812323	transmembrane protein 68-like	LOC103812323	LOC103812323	103812323
103812324	ENSSCAG00000016337	PPP2R3B	protein phosphatase 2 regulatory subunit B''beta	PPP2R3B	PPP2R3B	protein phosphatase 2 regulatory subunit B''beta	PPP2R3B	LOC103812324	103812324
103812325	ENSSCAG00000016341	LOC103812325	cohesin subunit SA-2-like		LOC103812325	cohesin subunit SA-2-like	LOC103812325	LOC103812325	103812325
103812326	ENSSCAG00000016355	PLCXD1	phosphatidylinositol specific phospholipase C X domain containing 1	PLCXD1	PLCXD1	phosphatidylinositol specific phospholipase C X domain containing 1	PLCXD1	LOC103812326	103812326
103812327	ENSSCAG00000016360	LOC103812327	regucalcin-like		LOC103812327	regucalcin-like	LOC103812327	LOC103812327	103812327
103812328	ENSSCAG00000016361	LOC103812328	regucalcin	RGN	LOC103812328	regucalcin	RGN	LOC103812328	103812328
103812329	ENSSCAG00000016365	JADE3	jade family PHD finger 3	JADE3	JADE3	jade family PHD finger 3	JADE3	LOC103812329	103812329
103812330	ENSSCAG00000016446	TUBGCP5	tubulin gamma complex associated protein 5	TUBGCP5	TUBGCP5	tubulin gamma complex associated protein 5	TUBGCP5	LOC103812330	103812330
103812331	ENSSCAG00000016451	NIPA2	NIPA magnesium transporter 2	NIPA2	NIPA2	NIPA magnesium transporter 2	NIPA2	LOC103812331	103812331
103812332	ENSSCAG00000012835	TGS1	trimethylguanosine synthase 1	TGS1	TGS1	trimethylguanosine synthase 1	TGS1	LOC103812332	103812332
103812334	ENSSCAG00000016448	CYFIP1	cytoplasmic FMR1 interacting protein 1	CYFIP1	CYFIP1	cytoplasmic FMR1 interacting protein 1	CYFIP1	LOC103812334	103812334
103812336	ENSSCAG00000016649	OCA2	OCA2 melanosomal transmembrane protein	OCA2	OCA2	OCA2 melanosomal transmembrane protein	OCA2	LOC103812336	103812336
103812340	ENSSCAG00000012839	LYN	LYN proto-oncogene, Src family tyrosine kinase	LYN	LYN	LYN proto-oncogene, Src family tyrosine kinase	LYN	LOC103812340	103812340
103812341	ENSSCAG00000016746	UBE3A	ubiquitin protein ligase E3A	UBE3A	UBE3A	ubiquitin protein ligase E3A	UBE3A	LOC103812341	103812341
103812342	ENSSCAG00000016750	CNGA3	cyclic nucleotide gated channel subunit alpha 3		CNGA3	cyclic nucleotide gated channel subunit alpha 3	CNGA3	LOC103812342	103812342
103812344	ENSSCAG00000016760	TMEM131	transmembrane protein 131	TMEM131	TMEM131	transmembrane protein 131	TMEM131	LOC103812344	103812344
103812345	ENSSCAG00000016767	INPP4A	inositol polyphosphate-4-phosphatase type I A	INPP4A	INPP4A	inositol polyphosphate-4-phosphatase type I A	INPP4A	LOC103812345	103812345
103812346	ENSSCAG00000016774	MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A	MGAT4A	MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A	MGAT4A	LOC103812346	103812346
103812347	ENSSCAG00000016772	UNC50	unc-50 inner nuclear membrane RNA binding protein	UNC50	UNC50	unc-50 inner nuclear membrane RNA binding protein	UNC50	LOC103812347	103812347
103812350	ENSSCAG00000016780	LIPT1	lipoyltransferase 1	LIPT1	LIPT1	lipoyltransferase 1	LIPT1	LOC103812350	103812350
103812351	ENSSCAG00000016783	MITD1	microtubule interacting and trafficking domain containing 1	MITD1	MITD1	microtubule interacting and trafficking domain containing 1	MITD1	LOC103812351	103812351
103812352	ENSSCAG00000016786	MRPL30	mitochondrial ribosomal protein L30		MRPL30	mitochondrial ribosomal protein L30	MRPL30	LOC103812352	103812352
103812353	ENSSCAG00000016789	LOC103812353	lysozyme g-like		LOC103812353	lysozyme g-like	LOC103812353	LOC103812353	103812353
103812354	ENSSCAG00000016791	TXNDC9	thioredoxin domain containing 9	TXNDC9	TXNDC9	thioredoxin domain containing 9	TXNDC9	LOC103812354	103812354
103812355	ENSSCAG00000016792	EIF5B	eukaryotic translation initiation factor 5B	EIF5B	EIF5B	eukaryotic translation initiation factor 5B	EIF5B	LOC103812355	103812355
103812356	ENSSCAG00000016796	REV1	REV1 DNA directed polymerase	REV1	REV1	REV1 DNA directed polymerase	REV1	LOC103812356	103812356
103812357	ENSSCAG00000012851	MOS	MOS proto-oncogene, serine/threonine kinase	MOS	MOS	MOS proto-oncogene, serine/threonine kinase	MOS	LOC103812357	103812357
103812359	ENSSCAG00000000003	CHST10	carbohydrate sulfotransferase 10	CHST10	CHST10	carbohydrate sulfotransferase 10	CHST10	LOC103812359	103812359
103812360	ENSSCAG00000000039	RPL31	ribosomal protein L31	RPL31	RPL31	ribosomal protein L31	RPL31	LOC103812360	103812360
103812362	ENSSCAG00000000828	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	MAP4K4	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	MAP4K4	LOC103812362	103812362
103812363	ENSSCAG00000002854	LOC103812363	interleukin-1 receptor type 1-like		LOC103812363	interleukin-1 receptor type 1-like	LOC103812363	LOC103812363	103812363
103812364	ENSSCAG00000002888	IL1RL1	interleukin 1 receptor like 1	IL1RL1	LOC103812364	interleukin-1 receptor-like 1	IL1RL1	LOC103812364	103812364
103812365	ENSSCAG00000012852	PLAG1	PLAG1 zinc finger	PLAG1	PLAG1	PLAG1 zinc finger	PLAG1	LOC103812365	103812365
103812366	ENSSCAG00000002905	IL18R1	interleukin 18 receptor 1	IL18R1	IL18R1	interleukin 18 receptor 1	IL18R1	LOC103812366	103812366
103812367	ENSSCAG00000002935	SLC9A4	solute carrier family 9 member A4	SLC9A4	SLC9A4	solute carrier family 9 member A4	SLC9A4	LOC103812367	103812367
103812369	ENSSCAG00000003073	MFSD9	major facilitator superfamily domain containing 9	MFSD9	MFSD9	major facilitator superfamily domain containing 9	MFSD9	LOC103812369	103812369
103812370	ENSSCAG00000003084	TMEM182	transmembrane protein 182	TMEM182	TMEM182	transmembrane protein 182	TMEM182	LOC103812370	103812370
103812373	ENSSCAG00000003147	TGFBRAP1	transforming growth factor beta receptor associated protein 1	TGFBRAP1	TGFBRAP1	transforming growth factor beta receptor associated protein 1	TGFBRAP1	LOC103812373	103812373
103812374	ENSSCAG00000003150	CUNH2orf49	chromosome unknown C2orf49 homolog	C2orf49	C1H2orf49	chromosome 1 C2orf49 homolog	C1H2orf49	C1H2orf49	C1H2orf49
103812375	ENSSCAG00000003155	FHL2	four and a half LIM domains 2	FHL2	FHL2	four and a half LIM domains 2	FHL2	LOC103812375	103812375
103812376	ENSSCAG00000003165	NCK2	NCK adaptor protein 2	NCK2	NCK2	NCK adaptor protein 2	NCK2	LOC103812376	103812376
103812377	ENSSCAG00000003168	ECRG4	ECRG4 augurin precursor	ECRG4	ECRG4	ECRG4 augurin precursor	ECRG4	ECRG4	ECRG4
103812379	ENSSCAG00000003187	ST6GAL2	ST6 beta-galactoside alpha-2,6-sialyltransferase 2	ST6GAL2	ST6GAL2	ST6 beta-galactoside alpha-2,6-sialyltransferase 2	ST6GAL2	LOC103812379	103812379
103812380	ENSSCAG00000003194	SLC5A7	solute carrier family 5 member 7	SLC5A7	SLC5A7	solute carrier family 5 member 7	SLC5A7	LOC103812380	103812380
103812381	ENSSCAG00000003208	SULT1C4	sulfotransferase family 1C member 4	SULT1C3	SULT1C4	sulfotransferase family 1C member 4	SULT1C4	LOC103812381	103812381
103812384	ENSSCAG00000003219	LIMS1	LIM zinc finger domain containing 1		LIMS1	LIM zinc finger domain containing 1	LIMS1	LOC103812384	103812384
103812385	ENSSCAG00000004303	EDAR	ectodysplasin A receptor	EDAR	EDAR	ectodysplasin A receptor	EDAR	LOC103812385	103812385
103812388	ENSSCAG00000004352	CDC16	cell division cycle 16	CDC16	CDC16	cell division cycle 16	CDC16	LOC103812388	103812388
103812389	ENSSCAG00000004378	RASA3	RAS p21 protein activator 3	RASA3	RASA3	RAS p21 protein activator 3	RASA3	LOC103812389	103812389
103812390	ENSSCAG00000012866	SDR16C5	short chain dehydrogenase/reductase family 16C member 5		SDR16C5	short chain dehydrogenase/reductase family 16C member 5	SDR16C5	LOC103812390	103812390
103812391	ENSSCAG00000004430	ATP4B	ATPase H+/K+ transporting subunit beta	ATP4B	ATP4B	ATPase H+/K+ transporting subunit beta	ATP4B	LOC103812391	103812391
103812392	ENSSCAG00000004434	TFDP1	transcription factor Dp-1	TFDP1	TFDP1	transcription factor Dp-1	TFDP1	LOC103812392	103812392
103812393	ENSSCAG00000004437	TMCO3	transmembrane and coiled-coil domains 3	TMCO3	TMCO3	transmembrane and coiled-coil domains 3	TMCO3	LOC103812393	103812393
103812394	ENSSCAG00000004446	DCUN1D2	defective in cullin neddylation 1 domain containing 2	DCUN1D2	DCUN1D2	defective in cullin neddylation 1 domain containing 2	DCUN1D2	LOC103812394	103812394
103812395	ENSSCAG00000004450	ADPRHL1	ADP-ribosylhydrolase like 1		ADPRHL1	ADP-ribosylhydrolase like 1	ADPRHL1	LOC103812395	103812395
103812396	ENSSCAG00000004464	GRTP1	growth hormone regulated TBC protein 1	GRTP1	GRTP1	growth hormone regulated TBC protein 1	GRTP1	LOC103812396	103812396
103812397	ENSSCAG00000004482	CUL4A	cullin 4A	CUL4A	CUL4A	cullin 4A	CUL4A	LOC103812397	103812397
103812398	ENSSCAG00000004491	PCID2	PCI domain containing 2	PCID2	PCID2	PCI domain containing 2	PCID2	LOC103812398	103812398
103812399	ENSSCAG00000004499	PROZ	protein Z, vitamin K dependent plasma glycoprotein	PROZ	PROZ	protein Z, vitamin K dependent plasma glycoprotein	PROZ	LOC103812399	103812399
103812400	ENSSCAG00000012869	LOC103812400	epidermal retinol dehydrogenase 2-like	SDR16C5	LOC103812400	epidermal retinol dehydrogenase 2-like	SDR16C5	LOC103812400	103812400
103812401	ENSSCAG00000004513	LOC103812401	coagulation factor VII-like	F7	F7	coagulation factor VII	F7	LOC103812401	103812401
103812402	ENSSCAG00000004538	MCF2L	MCF.2 cell line derived transforming sequence like	MCF2L	MCF2L	MCF.2 cell line derived transforming sequence like	MCF2L	LOC103812402	103812402
103812403	ENSSCAG00000004639	TUBGCP3	tubulin gamma complex associated protein 3	TUBGCP3	TUBGCP3	tubulin gamma complex associated protein 3	TUBGCP3	LOC103812403	103812403
103812404	ENSSCAG00000004684	ARHGEF7	Rho guanine nucleotide exchange factor 7	ARHGEF7	ARHGEF7	Rho guanine nucleotide exchange factor 7	ARHGEF7	LOC103812404	103812404
103812406	ENSSCAG00000004700	ING1	inhibitor of growth family member 1	ING1	ING1	inhibitor of growth family member 1	ING1	LOC103812406	103812406
103812407	ENSSCAG00000004733	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial	CARS2	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial	CARS2	LOC103812407	103812407
103812408	ENSSCAG00000005126	COL4A1	collagen type IV alpha 1 chain	COL4A1	COL4A1	collagen type IV alpha 1 chain	COL4A1	LOC103812408	103812408
103812410	ENSSCAG00000005163	MYO16	myosin XVI	MYO16	MYO16	myosin XVI	MYO16	LOC103812410	103812410
103812411	ENSSCAG00000005175	MXRA5	matrix remodeling associated 5	MXRA5	MXRA5	matrix remodeling associated 5	MXRA5	LOC103812411	103812411
103812412	ENSSCAG00000005188	NLGN4X	neuroligin 4 X-linked		NLGN4X	neuroligin 4 X-linked	NLGN4X	LOC103812412	103812412
103812413	ENSSCAG00000005195	PUDP	pseudouridine 5'-phosphatase	PUDP	PUDP	pseudouridine 5'-phosphatase	PUDP	LOC103812413	103812413
103812414	ENSSCAG00000012880	IMPAD1	inositol monophosphatase domain containing 1	BPNT2	BPNT2	3'(2'), 5'-bisphosphate nucleotidase 2	BPNT2	BPNT2	BPNT2
103812416	ENSSCAG00000008878	EVA1C	eva-1 homolog C		EVA1C	eva-1 homolog C	EVA1C	LOC103812416	103812416
103812417	ENSSCAG00000008889	URB1	URB1 ribosome biogenesis homolog	URB1	URB1	URB1 ribosome biogenesis homolog	URB1	LOC103812417	103812417
103812418	ENSSCAG00000008901	MIS18A	MIS18 kinetochore protein A	MIS18A	MIS18A	MIS18 kinetochore protein A	MIS18A	LOC103812418	103812418
103812421	ENSSCAG00000008979	CPOX	coproporphyrinogen oxidase	CPOX	CPOX	coproporphyrinogen oxidase	CPOX	LOC103812421	103812421
103812422	ENSSCAG00000009042	TTF2	transcription termination factor 2		TTF2	transcription termination factor 2	TTF2	LOC103812422	103812422
103812423	ENSSCAG00000009075	TBX19	T-box transcription factor 19	TBX19	TBX19	T-box transcription factor 19	TBX19	LOC103812423	103812423
103812424	ENSSCAG00000012889	FAM110B	family with sequence similarity 110 member B	FAM110B	FAM110B	family with sequence similarity 110 member B	FAM110B	LOC103812424	103812424
103812425	ENSSCAG00000009117	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	ATP1B1	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	ATP1B1	LOC103812425	103812425
103812428	ENSSCAG00000009236	GTPBP8	GTP binding protein 8 (putative)	GTPBP8	GTPBP8	GTP binding protein 8 (putative)	GTPBP8	LOC103812428	103812428
103812429	ENSSCAG00000009242	NEPRO	nucleolus and neural progenitor protein	NEPRO	NEPRO	nucleolus and neural progenitor protein	NEPRO	LOC103812429	103812429
103812431	ENSSCAG00000009282	ILDR1	immunoglobulin like domain containing receptor 1	ILDR1	ILDR1	immunoglobulin like domain containing receptor 1	ILDR1	LOC103812431	103812431
103812432	ENSSCAG00000009307	LOC103812432	uncharacterized LOC103812432		LOC103812432	uncharacterized LOC103812432	LOC103812432	LOC103812432	103812432
103812437	ENSSCAG00000009744	GPR156	G protein-coupled receptor 156	GPR156	GPR156	G protein-coupled receptor 156	GPR156	LOC103812437	103812437
103812440	ENSSCAG00000010852	TNFRSF1A	TNF receptor superfamily member 1A		TNFRSF1A	TNF receptor superfamily member 1A	TNFRSF1A	LOC103812440	103812440
103812441	ENSSCAG00000010860	CTC1	CST telomere replication complex component 1		CTC1	CST telomere replication complex component 1	CTC1	LOC103812441	103812441
103812442	ENSSCAG00000010871	VTCN1	V-set domain containing T cell activation inhibitor 1	VTCN1	VTCN1	V-set domain containing T cell activation inhibitor 1	VTCN1	LOC103812442	103812442
103812443	ENSSCAG00000010874	TRIM45	tripartite motif containing 45	TRIM45	TRIM45	tripartite motif containing 45	TRIM45	LOC103812443	103812443
103812445	ENSSCAG00000011371	DUSP12	dual specificity phosphatase 12	DUSP12	DUSP12	dual specificity phosphatase 12	DUSP12	LOC103812445	103812445
103812446	ENSSCAG00000012896	LOC103812446	cytochrome P450 7A1	CYP7A1	LOC103812446	cytochrome P450 7A1	CYP7A1	LOC103812446	103812446
103812449	ENSSCAG00000011504	FAM162A	family with sequence similarity 162 member A	FAM162A	FAM162A	family with sequence similarity 162 member A	FAM162A	LOC103812449	103812449
103812452	ENSSCAG00000011587	P3H3	prolyl 3-hydroxylase 3	P3H3	P3H3	prolyl 3-hydroxylase 3	P3H3	LOC103812452	103812452
103812453	ENSSCAG00000011595	CD4	CD4 molecule		CD4	CD4 molecule	CD4	LOC103812453	103812453
103812458	ENSSCAG00000012899	SDCBP	syndecan binding protein	SDCBP	SDCBP	syndecan binding protein	SDCBP	LOC103812458	103812458
103812460	ENSSCAG00000014177	IFFO1	intermediate filament family orphan 1	IFFO1	IFFO1	intermediate filament family orphan 1	IFFO1	LOC103812460	103812460
103812461	ENSSCAG00000014615	NCAPD2	non-SMC condensin I complex subunit D2	NCAPD2	NCAPD2	non-SMC condensin I complex subunit D2	NCAPD2	LOC103812461	103812461
103812462	ENSSCAG00000014627	MRPL51	mitochondrial ribosomal protein L51	MRPL51	MRPL51	mitochondrial ribosomal protein L51	MRPL51	LOC103812462	103812462
103812466	ENSSCAG00000014710	PHB2	prohibitin 2	PHB2	PHB2	prohibitin 2	PHB2	LOC103812466	103812466
103812467	ENSSCAG00000014751	LPCAT3	lysophosphatidylcholine acyltransferase 3	LPCAT3	LPCAT3	lysophosphatidylcholine acyltransferase 3	LPCAT3	LOC103812467	103812467
103812468	ENSSCAG00000014825	C1S	complement C1s	C1S	C1S	complement C1s	C1S	LOC103812468	103812468
103812472	ENSSCAG00000015049	LOC103812472	taste receptor type 2 member 40-like		LOC103812472	taste receptor type 2 member 40-like	LOC103812472	LOC103812472	103812472
103812473	ENSSCAG00000015052	LOC103812473	taste receptor type 2 member 40-like		LOC103812473	taste receptor type 2 member 40-like	LOC103812473	LOC103812473	103812473
103812480	ENSSCAG00000015235	RHNO1	RAD9-HUS1-RAD1 interacting nuclear orphan 1	RHNO1	RHNO1	RAD9-HUS1-RAD1 interacting nuclear orphan 1	RHNO1	LOC103812480	103812480
103812482	ENSSCAG00000015271	C3AR1	complement C3a receptor 1	C3AR1	LOC103812482	C3a anaphylatoxin chemotactic receptor	C3AR1	LOC103812482	103812482
103812483	ENSSCAG00000012920	TOX	thymocyte selection associated high mobility group box	TOX	TOX	thymocyte selection associated high mobility group box	TOX	LOC103812483	103812483
103812484	ENSSCAG00000015280	LOC103812484	homeobox protein NANOG-like		LOC103812484	homeobox protein NANOG-like	LOC103812484	LOC103812484	103812484
103812485	ENSSCAG00000015283	LOC103812485	C->U-editing enzyme APOBEC-1-like		LOC103812485	C->U-editing enzyme APOBEC-1-like	LOC103812485	LOC103812485	103812485
103812486	ENSSCAG00000015287	LOC103812486	C->U-editing enzyme APOBEC-1-like	APOBEC1	LOC103812486	C->U-editing enzyme APOBEC-1-like	APOBEC1	LOC103812486	103812486
103812487	ENSSCAG00000015295	AICDA	activation induced cytidine deaminase	AICDA	AICDA	activation induced cytidine deaminase	AICDA	LOC103812487	103812487
103812488	ENSSCAG00000015300	MFAP5	microfibril associated protein 5		MFAP5	microfibril associated protein 5	MFAP5	LOC103812488	103812488
103812489	ENSSCAG00000000037	LOC103812489	alpha-2-macroglobulin-like protein 1		LOC103812489	alpha-2-macroglobulin-like protein 1	LOC103812489	LOC103812489	103812489
103812491	ENSSCAG00000000092	LOC103812491	alpha-2-macroglobulin-like		A2M	alpha-2-macroglobulin	A2M	LOC103812491	103812491
103812492	ENSSCAG00000000331	A2M	alpha-2-macroglobulin		LOC103812492	alpha-2-macroglobulin	A2M	LOC103812492	103812492
103812493	ENSSCAG00000000438	LOC103812493	ovostatin-like		LOC103812493	ovostatin-like	LOC103812493	LOC103812493	103812493
103812494	ENSSCAG00000012948	RAB2A	RAB2A, member RAS oncogene family	RAB2A	RAB2A	RAB2A, member RAS oncogene family	RAB2A	LOC103812494	103812494
103812496	ENSSCAG00000001060	CLNS1A	chloride nucleotide-sensitive channel 1A		CLNS1A	chloride nucleotide-sensitive channel 1A	CLNS1A	LOC103812496	103812496
103812497	ENSSCAG00000001149	ALG8	ALG8 alpha-1,3-glucosyltransferase	ALG8	ALG8	ALG8 alpha-1,3-glucosyltransferase	ALG8	LOC103812497	103812497
