gene_name	description	logFC_infection	logFC_diet	logFC_interaction	FDR_infection	FDR_diet	FDR_interaction	gene	number_DE_contrasts	logCPM	repressed_in_infection	induced_in_infection	higher_in_Protein	higher_in_Lipid	Protein_ixn_bigger_Inf	Lipid_ixn_bigger_Inf	DE_in_infection	DE_in_diet	DE_in_ixn
IDS	iduronate 2-sulfatase	-0.8550504883886145	-1.2114122526379214	2.0079461664090448	0.04042854157947008	0.006515185613907084	0.03053781617044603	103816359	3	-0.7707018151024144	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
ECHDC2	enoyl-CoA hydratase domain containing 2	-0.556290648273541	-0.6710677518763156	1.522822799120491	0.045518144709086085	0.02848637371282474	0.013714971313515116	103815028	3	3.4809258053033325	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
CRIP2	cysteine rich protein 2	-0.9918499969508705	-1.6789550899534915	2.7776891540415347	0.04866244884843367	0.0010357128742817503	0.012590686869675002	103824448	3	-0.5055196809220815	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
EZR	ezrin	-0.6450976768489145	NA	0.6982743401012271	2.083058571745401e-5	NA	0.0349148468213268	103820599	2	3.6809828099570794	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
SDC4	syndecan 4	-0.8785156617913956	-0.5793652983705435	NA	4.489634119954769e-4	0.02848637371282474	NA	103818618	2	4.019390813098892	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
BEND7	BEN domain containing 7	-0.8646110923576251	NA	1.1386084946053505	4.489634119954769e-4	NA	0.034005757696703894	103813561	2	4.165434483471964	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
FANCM	FA complementation group M	-0.6790863725556916	NA	1.0660416005390052	4.489634119954769e-4	NA	0.0111883969992814	115485415	2	3.4597029626858964	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
FBN1	fibrillin 1	-1.0013845256774745	-0.6950447818065437	NA	0.001662362556490069	0.043044700427526054	NA	103816018	2	1.2052304680786967	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
ALDH1L2	aldehyde dehydrogenase 1 family member L2	2.185212730918733	NA	-3.0819828023114324	0.0017714506795213035	NA	0.04426237063196171	103813189	2	-1.4641084933393151	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	-0.9870040153280483	0.7992077359134957	NA	0.003787957403287865	0.027322910520929257	NA	103823741	2	3.7504395828093386	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
KIT	KIT proto-oncogene, receptor tyrosine kinase	-1.6072506331299032	-1.2713880374200714	NA	0.0038494578743128597	0.02955514322345474	NA	103826188	2	1.1186246218041744	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
KLHL38	kelch like family member 38	1.4277095591229347	1.563135643249416	NA	0.004385232080393606	0.0021126993957117438	NA	103814454	2	0.7164123891665849	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
LOC127060731	acyl-coenzyme A thioesterase THEM4-like	2.287821829209166	NA	3.604856001032631	0.004535536692457175	NA	0.04243677971363397	127060731	2	-1.9455221778930398	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
PRKCZ	protein kinase C zeta	-0.3539523404170915	NA	-0.5848468730378277	0.0048836036206477825	NA	0.034722171807955296	103820807	2	6.151198781371443	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
APOLD1	apolipoprotein L domain containing 1	-1.0814587790691643	NA	1.7515145098928824	0.005035052551054437	NA	0.037761395672117296	103813330	2	-0.9753394549803597	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
SCPEP1	serine carboxypeptidase 1	0.8178459544815675	NA	-1.3633535711783489	0.005782464610351801	NA	0.03509559020624689	103819798	2	4.13550779358824	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
WDR3	WD repeat domain 3	-0.6238792022006698	NA	1.0757447820429054	0.006065867962435481	NA	0.031661429725739064	103827132	2	3.4691904538041287	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
PCM1	pericentriolar material 1	-0.5381116854995119	NA	1.0068231923444306	0.006081910664093258	NA	0.018505245653978125	103825412	2	4.3780603475835775	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
DMXL2	Dmx like 2	0.20811463960652934	-0.21760447384915083	NA	0.0077032151827466505	0.008222952366041546	NA	103816190	2	5.10285834985878	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
GTF2H5	general transcription factor IIH subunit 5	0.24839239515357495	NA	-0.4999252935563086	0.0077192761385049295	NA	0.013883191893364438	103820596	2	6.687342186125322	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
LOC103826382	SERTA domain-containing protein 2-like	0.19641099344996563	NA	-0.36312842505784254	0.007762410458138867	NA	0.024825006999114246	103826382	2	5.319823728151704	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
LOC127061329	uncharacterized LOC127061329	-0.5463251423376442	NA	-0.9742016717639905	0.007762410458138867	NA	0.032744542270956585	127061329	2	-0.2694840873764176	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
RNF128	ring finger protein 128	-1.1872119042217895	-1.0921006485674143	NA	0.008573033220679857	0.026975086707817675	NA	103816518	2	-0.06283725182069777	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
NCOR1	nuclear receptor corepressor 1	-0.3459270220168668	NA	0.5858919012830034	0.008573033220679857	NA	0.04447421518273633	103820146	2	7.9208521625189405	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
LOC108963651	uncharacterized LOC108963651	-0.8921149399901909	NA	1.5121764172805576	0.008940629149815882	NA	0.0471626251834275	108963651	2	-0.14702216323885348	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
NA	NA	1.7929668240551189	NA	-3.17716918217893	0.008940629149815882	NA	0.035315784411176776	103827129	2	1.8462970357221973	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
LOC103823257	transportin-1-like	-0.3350313748912247	-0.31392081005349726	NA	0.010692537762814688	0.02848637371282474	NA	103823257	2	3.851547609382633	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3	-0.407308502832881	NA	0.8518280042045471	0.010763601429856318	NA	0.016264362732578346	103817058	2	4.370408049850045	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
SSBP2	single stranded DNA binding protein 2	-0.33246767417310513	-0.3089273630802111	NA	0.011161491973402271	0.02955514322345474	NA	103823067	2	5.653321979225249	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
PYROXD1	pyridine nucleotide-disulphide oxidoreductase domain 1	-0.5383144753053593	-0.4831182437877071	NA	0.01213360259052772	0.04119155851037926	NA	103820497	2	1.091197890469688	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
PDCD2L	programmed cell death 2 like	-0.2876621221665562	0.2671503055498919	NA	0.012336296366660105	0.03315083842573205	NA	108962911	2	2.644738110042866	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
UHRF1	ubiquitin like with PHD and ring finger domains 1	-0.3892662811086547	NA	0.9025799946841441	0.012710007666137987	NA	0.008630900683107078	103821965	2	2.0198124691280506	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1	1.0194668886207594	1.1086509043862058	NA	0.013123112837030338	0.011946030107981745	NA	103813738	2	-0.057025050599635314	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
LOC127060349	uncharacterized LOC127060349	0.39296181397143937	NA	-0.8021091027727167	0.013530056355235721	NA	0.021062198555248605	127060349	2	5.378864525799081	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
CD81	CD81 molecule	0.22133846120598988	-0.2355512060337435	NA	0.013782718927557738	0.014418224891171234	NA	103826757	2	7.2794410419067805	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
IQCD	IQ motif containing D	1.7627459996840977	-1.6432401349386925	NA	0.013847439117890194	0.03438945168855461	NA	103817978	2	1.5285584389715214	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
FAM222A	family with sequence similarity 222 member A	-1.617647704600604	3.0819352826398836	NA	0.014783435028875141	1.5107680812879304e-6	NA	103818123	2	1.103562590090423	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
MZB1	marginal zone B and B1 cell specific protein	1.1667970839618977	NA	-2.1360650400058585	0.01502058454087302	NA	0.04388902718157255	103823791	2	3.13943578828533	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
SYTL4	synaptotagmin like 4	-0.8986818642845775	NA	1.799951108793568	0.0178641266009708	NA	0.033493918028027536	103816456	2	-0.03207691533503278	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
UBE2R2	ubiquitin conjugating enzyme E2 R2	-0.20212389045386556	-0.2012251397920185	NA	0.0178641266009708	0.02955514322345474	NA	108962801	2	7.351198160435287	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
ZBTB48	zinc finger and BTB domain containing 48	-0.28028494071196064	NA	0.5321262685030997	0.018474755902494037	NA	0.043404518742443	103820938	2	4.429438583696943	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
ANKRD17	ankyrin repeat domain 17	-0.20098017385112724	NA	0.45802581469993975	0.020227719293298533	NA	0.016286142057707113	103823467	2	9.296663057963624	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
TEDC1	tubulin epsilon and delta complex 1	-0.497374531536781	-0.5170811862748536	NA	0.020227719293298533	0.027317647739648825	NA	TEDC1	2	1.2114319468624144	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
LOC103824839	E3 ubiquitin-protein ligase KCMF1-like	-0.24545714876045657	-0.26319779867591736	NA	0.020650997248896658	0.02179181714257319	NA	103824839	2	5.100911103343524	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
ARRDC1	arrestin domain containing 1	-0.6712257769104117	NA	1.8829171510265477	0.02208125031297669	NA	0.002865714572439794	103819059	2	2.1561856764074094	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
WDR90	WD repeat domain 90	-0.4121410554418782	NA	0.8395941386299705	0.023760485875140687	NA	0.03649190935145724	103817944	2	2.946492728720751	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
LOC108964088	chromodomain-helicase-DNA-binding protein 8-like	-0.2761967480275972	NA	0.577660444996125	0.02450296289871796	NA	0.03400270069691577	108964088	2	7.143477424384171	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
JCHAIN	joining chain of multimeric IgA and IgM	1.5007194976863063	NA	-3.4064824450491513	0.025311361632464217	NA	0.02036011248600223	103823426	2	4.829347933831094	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
LOC103813876	prominin-1-A	-0.43838009183870097	-0.43350434463490567	NA	0.02852615022784942	0.047763553800436516	NA	103813876	2	3.026689188676215	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
LOC103818060	Ig lambda chain C region-like	1.099153005219887	1.135226332253158	NA	0.03024176403037985	0.04074619690884429	NA	103818060	2	5.919588689555213	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
LMNB2	lamin B2	0.2567050141253784	0.30340600541154794	NA	0.03047901273931095	0.016158400625966893	NA	103821869	2	3.6686178865889327	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
LOC103813205	BPI fold-containing family C protein	3.098783639034057	NA	-7.746647481689943	0.032040358556886236	NA	0.012772958864822617	103813205	2	-0.9306408877868728	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
LOC108963859	zinc finger protein 345-like	-0.35278724171317316	-0.43305485310595737	NA	0.03229831275553299	0.013703198745881228	NA	108963859	2	2.5374387007052834	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
INSRR	insulin receptor related receptor	-0.3774648170263516	NA	1.0999361674925854	0.03284649009094777	NA	0.004317843142284418	103824821	2	0.9286319644299661	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
LOC127061169	uncharacterized LOC127061169	-0.724965768168493	NA	1.8664068562665577	0.03386955702454016	NA	0.012961381816397716	127061169	2	1.7824843328389588	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
LOC103822078	ubiquitin-conjugating enzyme E2 R2	-0.18655891388739138	-0.23415524668455548	NA	0.03386955702454016	0.012428512177872577	NA	103822078	2	4.779482385997793	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
DOP1B	DOP1 leucine zipper like protein B	-0.49573763235879975	-0.7675289779915723	NA	0.0354401092573464	0.0015641920623861699	NA	DOP1B	2	4.071732864658964	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
LOC103819753	uncharacterized LOC103819753	-0.3274321918408276	NA	0.8248167704742823	0.03656038949231378	NA	0.017045999004104945	103819753	2	1.7689724660056283	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
ERP44	endoplasmic reticulum protein 44	-0.25575506390975616	NA	-0.6326468613232045	0.03804376960134272	NA	0.0192315324407483	103826109	2	5.955893200994791	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
ENDOV	endonuclease V	0.5458133020449025	0.6255858223447307	NA	0.03823416174500329	0.02877626606947421	NA	103819941	2	3.98721772285006	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
SETD5	SET domain containing 5	-0.1725982417181506	NA	0.46932228764420636	0.03948372571007649	NA	0.010998224567435221	103817045	2	5.849335438959884	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
AP4B1	adaptor related protein complex 4 subunit beta 1	-0.2532509010020343	NA	0.5799041942367362	0.03961155082268405	NA	0.034722171807955296	103823336	2	4.823916993511529	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
LOC103815174	mucin-5AC-like	-0.9716796134033863	NA	2.3363739375228416	0.03968439651074721	NA	0.024825006999114246	103815174	2	-0.7940478272233108	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
LOC127059900	uncharacterized LOC127059900	-0.5077972795569226	-0.5441525511878602	NA	0.04015485502401958	0.04687040635300874	NA	127059900	2	-0.5632894489603871	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
LOC115485198	uncharacterized LOC115485198	-0.27892579684054736	-0.3022646106806694	NA	0.04015485502401958	0.04339327419392219	NA	115485198	2	1.701026919362059	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
MARS2	methionyl-tRNA synthetase 2, mitochondrial	-0.35549538274348425	NA	0.8414480357244271	0.04054064681964962	NA	0.029792156116222674	103816483	2	2.7616896220966525	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
TIMM17A	translocase of inner mitochondrial membrane 17A	-0.19576832997240481	-0.2309488182985738	NA	0.042354749048911525	0.028568062112142457	NA	103822378	2	3.0362185940625492	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
LOC127061168	protein TASOR 2-like	-0.7676810839846813	NA	1.9798886175108112	0.042354749048911525	NA	0.018328590993095625	127061168	2	1.5207993260266122	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
FRAS1	Fraser extracellular matrix complex subunit 1	-0.48785140367447216	NA	1.5114521465234552	0.04255707973550494	NA	0.004317843142284418	103823465	2	2.6604549798263326	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
TRANK1	tetratricopeptide repeat and ankyrin repeat containing 1	1.1198176098596417	NA	-2.496567630080299	0.04390811469698647	NA	0.04388902718157255	103821174	2	7.83203484275202	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
MCOLN3	mucolipin-3	0.2506569504304473	NA	-0.626790933931543	0.044917008603389964	NA	0.02228751073503532	103814915	2	5.652218573835673	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
ABTB2	ankyrin repeat and BTB domain containing 2	-0.7968546411862143	0.9898252192689042	NA	0.047280091435932085	0.025767297548945262	NA	103822122	2	-0.16088008661412104	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
EIF4E	eukaryotic translation initiation factor 4E	-0.17852274349012537	-0.24074190075495472	NA	0.048363681126899837	0.013703198745881228	NA	103826035	2	7.0009137441899405	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
MMP11	matrix metallopeptidase 11	-1.1062632536773518	NA	2.516400705297855	0.04851391525569527	NA	0.04447421518273633	103818234	2	-1.728592858345613	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
LOC103824735	guanine nucleotide-binding protein G(q) subunit alpha-like	-0.3179506773778541	NA	0.839473271243584	0.04865939060431484	NA	0.018579784652898536	103824735	2	1.7905884630906987	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
LOC108962424	uncharacterized LOC108962424	1.742000086654909	NA	-5.0310881788950255	0.04971358099716643	NA	0.012224733153096549	108962424	2	2.887867470742551	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
SESN1	sestrin 1	NA	0.3447572899719528	-0.5302425496424382	NA	0.003169391467210697	0.032744542270956585	103818704	2	4.6007784808119645	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
LOC103815742	interferon-induced GTP-binding protein Mx-like	NA	1.2553366134915673	-2.648792524863906	NA	0.02848637371282474	0.02094862928294871	103815742	2	7.247761099187958	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
LOC103815370	deoxyribodipyrimidine photo-lyase-like	NA	-0.8055938746804476	2.396557851403405	NA	0.03438945168855461	0.002146688938284633	103815370	2	0.6166309676878932	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
DNAH17	dynein axonemal heavy chain 17	NA	-0.3128467327427506	0.6856060448419571	NA	0.02955514322345474	0.018579784652898536	103819739	2	6.7824238698848704	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
SLC44A1	solute carrier family 44 member 1	NA	-0.48486853717674205	1.0988547049607194	NA	0.028568062112142457	0.013756084632129078	103821280	2	2.4774531989106174	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
OGFOD3	2-oxoglutarate and iron dependent oxygenase domain containing 3	NA	0.9839493843591169	-1.8578599595524457	NA	0.016158400625966893	0.027097384087909383	103820011	2	5.600210237534206	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
LOC127059388	uncharacterized LOC127059388	NA	5.307209463584855	-8.523481527702199	NA	4.7060643777512267e-4	0.012590686869675002	127059388	2	0.42570225037305093	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
RAB44	RAB44, member RAS oncogene family	NA	-0.5516446905116997	1.0974663015834174	NA	0.0023574315874080208	0.004317843142284418	103822412	2	5.705297760012833	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	NA	-0.1529986504241268	-0.29833750043193774	NA	0.02848637371282474	0.03509559020624689	103813896	2	6.964462624710663	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
CGNL1	cingulin like 1	-2.133128965788736	NA	NA	2.083058571745401e-5	NA	NA	103815985	1	0.027364558202422354	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
EXOG	exo/endonuclease G	-0.8728532721256719	NA	NA	2.083058571745401e-5	NA	NA	103812708	1	3.8978412536733686	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
NEFM	neurofilament medium chain	-1.6625342015250162	NA	NA	3.8501211466995203e-4	NA	NA	103822758	1	0.5948778920859176	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3	-0.4537480352676719	NA	NA	4.489634119954769e-4	NA	NA	103824367	1	6.4533482883507345	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
GOLGA3	golgin A3	-0.3447772761052236	NA	NA	4.489634119954769e-4	NA	NA	103818094	1	5.616748676688673	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
TTC38	tetratricopeptide repeat domain 38	-2.221484438882956	NA	NA	4.489634119954769e-4	NA	NA	103820505	1	-1.2133971662996637	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
GUSB	glucuronidase beta	0.4079320958183617	NA	NA	4.606232513998007e-4	NA	NA	103820271	1	3.688659400289638	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
GNG2	G protein subunit gamma 2	1.1178457524156267	NA	NA	5.210240869227637e-4	NA	NA	103826311	1	4.7148316394346	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
DLG1	discs large MAGUK scaffold protein 1	-1.340781805745679	NA	NA	5.661974196673451e-4	NA	NA	103815402	1	3.847876684699877	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
CPAMD8	C3 and PZP like alpha-2-macroglobulin domain containing 8	-1.0979456220268902	NA	NA	5.861850979475138e-4	NA	NA	103822013	1	4.375622097673525	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
NA	NA	0.9249128143773592	NA	NA	9.012256825078783e-4	NA	NA	103826833	1	7.969365530764698	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
