task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
24	fd/98c871	257849	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES18_615_Control-protein_14)	CACHED	0	2022-07-13 18:32:47.729	9.7s	8s	66.4%	6 MB	10.3 MB	2.4 GB	2.4 GB
14	9b/44c57a	240699	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES104_625_Control-lipid_14)	CACHED	0	2022-07-13 18:32:28.044	8.8s	6.5s	62.1%	5.9 MB	10.3 MB	2.2 GB	2.2 GB
38	60/e39bb8	256594	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES30_Blue-098_Control-lipid_21)	CACHED	0	2022-07-13 18:32:46.549	8.2s	6.3s	71.1%	6 MB	10.3 MB	1.9 GB	1.9 GB
16	29/76c4cc	240721	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES10_172_Control-protein_14)	CACHED	0	2022-07-13 18:32:28.057	8.9s	7.7s	60.8%	5.9 MB	10.3 MB	2.3 GB	2.3 GB
12	76/af90aa	241008	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES102_SEM19-140_Control-lipid_21)	CACHED	0	2022-07-13 18:32:28.130	9.5s	8.6s	54.6%	6 MB	10.3 MB	2.6 GB	2.6 GB
30	c4/c47503	240911	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES23_Blue-010_Control-lipid_0)	CACHED	0	2022-07-13 18:32:28.110	8.9s	8.3s	63.2%	6 MB	10.3 MB	2.5 GB	2.5 GB
50	70/07fdf3	88071	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES19_615_Control-protein_21)	CACHED	0	2022-07-13 18:44:09.355	2m 30s	2m 29s	202.3%	1.2 GB	4.7 GB	2.4 GB	4.3 MB
37	69/60ff59	258645	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES2_48_Control-lipid_14)	CACHED	0	2022-07-13 18:32:48.476	9.6s	8.1s	69.8%	6 MB	10.3 MB	2.4 GB	2.4 GB
27	e8/754fb1	240675	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES20_618_Control-lipid_0)	CACHED	0	2022-07-13 18:32:28.014	8.9s	6.9s	67.8%	6 MB	10.3 MB	2.5 GB	2.5 GB
63	4a/6021d8	55805	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES10_172_Control-protein_14)	CACHED	0	2022-07-13 18:36:35.998	2m 28s	2m 26s	201.6%	1.1 GB	4.7 GB	2.3 GB	4.4 MB
73	b2/b68473	116922	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES2_48_Control-lipid_14)	CACHED	0	2022-07-13 18:52:38.332	2m 43s	2m 41s	204.1%	1.2 MB	11 MB	2.4 GB	4.4 MB
78	36/6e52f5	43922	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES20_618_Control-lipid_0)	CACHED	0	2022-07-13 18:34:00.450	2m 47s	2m 45s	203.5%	1.3 GB	4.8 GB	2.5 GB	4.4 MB
67	08/8946f2	64717	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES102_SEM19-140_Control-lipid_21)	CACHED	0	2022-07-13 18:38:53.618	2m 46s	2m 45s	202.1%	1.2 GB	4.8 GB	2.6 GB	4.4 MB
41	e6/a18fca	250885	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES33_101-LS_MG-lipid_0)	CACHED	0	2022-07-13 18:32:38.921	10.6s	8.5s	65.2%	6 MB	10.3 MB	2.5 GB	2.5 GB
36	b6/aabee5	255511	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES29_Blue-098_Control-lipid_14)	CACHED	0	2022-07-13 18:32:45.216	12.6s	9.9s	63.1%	6 MB	10.3 MB	2.8 GB	2.8 GB
60	95/5fa783	258395	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES104_625_Control-lipid_14)	CACHED	0	2022-07-13 19:36:16.549	9m 56s	9m 56s	523.7%	3.1 GB	3.7 GB	82.6 GB	80.3 GB
39	29/9d51b1	243546	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES31_Blue-055_NA_0)	CACHED	0	2022-07-13 18:32:29.725	9.2s	7.6s	60.5%	6 MB	10.3 MB	2.4 GB	2.4 GB
48	9d/b84e1d	248256	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES36_AR17-21_MG-lipid_0)	CACHED	0	2022-07-13 18:32:36.900	8.5s	6.9s	69.8%	6 MB	10.3 MB	2.3 GB	2.3 GB
29	79/cbe71c	249814	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES22_618_Control-lipid_21)	CACHED	0	2022-07-13 18:32:37.639	10.7s	8.8s	61.4%	6 MB	10.3 MB	2.5 GB	2.5 GB
61	7a/064ab4	108575	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES30_Blue-098_Control-lipid_21)	CACHED	0	2022-07-13 18:49:40.639	2m 6s	2m 4s	202.3%	1.2 MB	11 MB	2 GB	4.4 MB
64	b1/7658d4	175978	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES10_172_Control-protein_14)	CACHED	0	2022-07-13 20:07:56.926	10m 19s	10m 19s	516.4%	3 GB	3.7 GB	86.3 GB	83.9 GB
52	c4/4068fb	131854	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES1_48_Control-lipid_0)	CACHED	0	2022-07-13 18:58:41.242	2m 59s	2m 57s	201.7%	1.2 MB	11 MB	2.7 GB	4.3 MB
13	a2/070319	240801	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES103_625_Control-lipid_0)	CACHED	0	2022-07-13 18:32:28.085	10s	8.8s	61.2%	6 MB	10.3 MB	2.7 GB	2.7 GB
62	9d/712962	108022	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES30_Blue-098_Control-lipid_21)	CACHED	0	2022-07-13 22:14:20.253	9m 20s	9m 19s	501.9%	3.1 GB	3.7 GB	71.8 GB	69.8 GB
33	8d/f16c01	240838	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES26_619_MG-lipid_14)	CACHED	0	2022-07-13 18:32:28.094	8.9s	7s	64.2%	5.9 MB	10.3 MB	2.4 GB	2.4 GB
28	5c/b08456	240683	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES21_618_Control-lipid_14)	CACHED	0	2022-07-13 18:32:28.031	6.8s	5.4s	62.8%	5.9 MB	10.3 MB	1.8 GB	1.8 GB
32	a0/859122	240869	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES25_619_MG-lipid_0)	CACHED	0	2022-07-13 18:32:28.102	8.3s	6.1s	71.0%	6 MB	10.3 MB	2.3 GB	2.3 GB
77	43/00c6a4	55778	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES20_618_Control-lipid_0)	CACHED	0	2022-07-13 19:46:13.054	11m 10s	11m 10s	513.4%	3.1 GB	3.8 GB	96.1 GB	93.6 GB
59	6f/7a0cf9	41990	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES104_625_Control-lipid_14)	CACHED	0	2022-07-13 18:33:54.980	2m 28s	2m 25s	201.9%	1.2 GB	4.7 GB	2.2 GB	4.4 MB
51	72/6eef28	250749	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES37_AR17-21_MG-lipid_14)	CACHED	0	2022-07-13 18:32:38.706	12.5s	10.1s	55.9%	6 MB	10.3 MB	2.6 GB	2.6 GB
10	fd/02cef8	240778	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES100_SEM19-140_Control-lipid_0)	CACHED	0	2022-07-13 18:32:28.078	8.9s	8.4s	58.0%	6 MB	10.3 MB	2.4 GB	2.4 GB
79	cb/83eaa7	101937	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES33_101-LS_MG-lipid_0)	CACHED	0	2022-07-13 18:47:11.168	2m 56s	2m 54s	201.8%	1.2 MB	11 MB	2.5 GB	4.4 MB
31	c3/b45fc6	260877	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES24_Blue-010_Control-lipid_21)	CACHED	0	2022-07-13 18:32:51.257	9s	7.1s	74.9%	6 MB	10.3 MB	2.6 GB	2.6 GB
43	69/d36999	103566	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES101_SEM19-140_Control-lipid_14)	CACHED	0	2022-07-13 18:47:27.801	2m 23s	2m 21s	203.4%	1.2 MB	11 MB	2.3 GB	4.4 MB
47	ec/09a31e	248382	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES35_101-LS_MG-lipid_21)	CACHED	0	2022-07-13 18:32:36.952	10.2s	8s	57.6%	6 MB	10.3 MB	2.4 GB	2.4 GB
83	9a/16fac2	115493	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES29_Blue-098_Control-lipid_14)	CACHED	0	2022-07-13 18:52:14.532	2m 55s	2m 53s	202.4%	1.2 MB	11 MB	2.8 GB	4.3 MB
40	a8/1ef31e	241069	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES32_Blue-055_NA_14)	CACHED	0	2022-07-13 18:32:28.140	8.8s	8s	62.3%	6 MB	10.3 MB	2.6 GB	2.6 GB
70	6b/68bfd4	64416	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES23_Blue-010_Control-lipid_0)	CACHED	0	2022-07-13 18:38:51.308	2m 54s	2m 53s	202.1%	1.2 GB	4.7 GB	2.5 GB	4.4 MB
90	9b/e0c4d4	92769	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES22_618_Control-lipid_21)	CACHED	0	2022-07-13 18:44:48.122	2m 40s	2m 38s	201.5%	1.1 GB	4.8 GB	2.5 GB	4.4 MB
18	fd/f17323	256285	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES12_209_MG-lipid_0)	CACHED	0	2022-07-13 18:32:46.349	9.1s	7.2s	64.6%	5.9 MB	10.3 MB	2.5 GB	2.5 GB
82	d2/69f0e9	118201	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES29_Blue-098_Control-lipid_14)	CACHED	0	2022-07-13 22:55:22.625	12m 48s	12m 47s	539.7%	3.1 GB	3.7 GB	105.1 GB	102.2 GB
42	3b/f7b18a	258561	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES34_101-LS_MG-lipid_14)	CACHED	0	2022-07-13 18:32:48.377	9.5s	7.6s	80.0%	5.9 MB	10.3 MB	2.4 GB	2.4 GB
88	8c/f27499	76789	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES36_AR17-21_MG-lipid_0)	CACHED	0	2022-07-13 18:41:39.269	2m 30s	2m 29s	203.6%	1.3 GB	5 GB	2.3 GB	4.4 MB
44	6d/013a32	89998	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES101_SEM19-140_Control-lipid_14)	CACHED	0	2022-07-13 22:11:48.749	10m 43s	10m 42s	520.8%	3.1 GB	3.7 GB	86.5 GB	84.2 GB
55	f4/7bc1b5	41420	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES18_615_Control-protein_14)	CACHED	0	2022-07-13 22:43:36.766	11m 46s	11m 45s	515.3%	3.1 GB	3.7 GB	90.3 GB	87.7 GB
49	39/08eedd	18722	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES19_615_Control-protein_21)	CACHED	0	2022-07-13 21:14:57.109	10m 34s	10m 33s	538.7%	3.1 GB	3.8 GB	87.9 GB	85.5 GB
86	f0/10bcd3	67425	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES31_Blue-055_NA_0)	CACHED	0	2022-07-13 18:39:14.316	2m 40s	2m 39s	202.5%	1.2 GB	4.8 GB	2.4 GB	4.4 MB
74	30/abccfb	137425	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES2_48_Control-lipid_14)	CACHED	0	2022-07-13 22:58:03.379	11m 3s	11m 3s	524.5%	3.1 GB	3.7 GB	91.7 GB	89.2 GB
91	1b/5ad072	144959	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES22_618_Control-lipid_21)	CACHED	0	2022-07-13 21:37:16.011	10m 57s	10m 56s	543.8%	3.1 GB	3.7 GB	93.2 GB	90.7 GB
72	b8/5871f2	234267	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES23_Blue-010_Control-lipid_0)	CACHED	0	2022-07-13 20:18:16.327	11m 12s	11m 12s	518.9%	3.1 GB	3.7 GB	92.5 GB	90 GB
19	39/bda1e1	248490	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES13_209_MG-lipid_14)	CACHED	0	2022-07-13 18:32:36.975	10.8s	9.3s	61.9%	6.2 MB	10.3 MB	2.6 GB	2.6 GB
21	4b/270c84	246937	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES15_601_Control-protein_14)	CACHED	0	2022-07-13 18:32:34.890	11.5s	7.7s	57.4%	5.9 MB	10.3 MB	2.4 GB	2.4 GB
117	04/4eea66	54243	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES32_Blue-055_NA_14)	CACHED	0	2022-07-13 18:36:25.863	2m 48s	2m 47s	202.6%	1.1 GB	4.6 GB	2.6 GB	4.4 MB
45	53/2a801c	78552	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES17_615_Control-protein_0)	CACHED	0	2022-07-13 18:41:51.552	2m 39s	2m 37s	202.4%	1.1 GB	4.7 GB	2.5 GB	4.4 MB
109	7d/1095fe	56976	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES100_SEM19-140_Control-lipid_0)	CACHED	0	2022-07-13 18:36:47.104	2m 45s	2m 43s	202.2%	1.1 GB	4.7 GB	2.4 GB	4.4 MB
102	31/3345f1	53798	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES26_619_MG-lipid_14)	CACHED	0	2022-07-13 18:36:22.955	2m 31s	2m 29s	203.2%	1.3 GB	4.8 GB	2.4 GB	4.4 MB
89	59/744df1	146046	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES36_AR17-21_MG-lipid_0)	CACHED	0	2022-07-13 20:53:05.822	10m 11s	10m 10s	533.6%	3.1 GB	3.7 GB	85.4 GB	83.1 GB
20	7b/f4e520	248337	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES14_209_MG-lipid_21)	CACHED	0	2022-07-13 18:32:36.940	8.2s	6.5s	62.8%	6 MB	10.3 MB	2.1 GB	2.1 GB
71	5b/8507c1	942	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES43_Blue-013_Control-protein_21)	CACHED	0	2022-07-13 18:32:54.166	9.7s	7.6s	62.3%	6 MB	10.3 MB	2.5 GB	2.5 GB
104	1e/1d0ebd	40919	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES21_618_Control-lipid_14)	CACHED	0	2022-07-13 18:33:53.534	2m 7s	2m 5s	202.3%	1.1 GB	4.6 GB	1.8 GB	4.4 MB
105	33/8e3123	41408	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES25_619_MG-lipid_0)	CACHED	0	2022-07-13 18:33:54.015	2m 32s	2m 30s	202.7%	1.1 GB	4.8 GB	2.3 GB	4.4 MB
57	a1/d1ff47	114223	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES18_615_Control-protein_14)	CACHED	0	2022-07-13 18:51:47.089	2m 37s	2m 35s	200.8%	1.2 MB	11 MB	2.5 GB	4.4 MB
15	45/047791	257602	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES105_625_Control-lipid_21)	CACHED	0	2022-07-13 18:32:47.564	10.6s	8.5s	70.2%	6 MB	10.3 MB	2.8 GB	2.8 GB
68	e0/b72d47	13104	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES102_SEM19-140_Control-lipid_21)	CACHED	0	2022-07-13 20:25:33.462	11m 35s	11m 35s	526.7%	3.1 GB	3.7 GB	96.9 GB	94.2 GB
17	78/f74b6f	248199	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES11_172_Control-protein_21)	CACHED	0	2022-07-13 18:32:36.868	11.5s	9.8s	54.4%	6 MB	10.3 MB	2.6 GB	2.6 GB
22	d5/21c238	240745	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES16_601_Control-protein_21)	CACHED	0	2022-07-13 18:32:28.068	8.9s	8.1s	63.5%	6 MB	10.3 MB	2.6 GB	2.6 GB
125	28/3fd4d9	172518	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES12_209_MG-lipid_0)	CACHED	0	2022-07-13 22:23:40.064	11m 42s	11m 42s	515.1%	3.1 GB	3.8 GB	97.1 GB	94.6 GB
80	31/24dc28	13950	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES33_101-LS_MG-lipid_0)	CACHED	0	2022-07-13 21:59:52.188	11m 57s	11m 56s	512.1%	3.1 GB	3.7 GB	96.7 GB	94.1 GB
34	13/9dd0fc	250157	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES27_619_MG-lipid_21)	CACHED	0	2022-07-13 18:32:38.270	11.2s	9.4s	55.8%	6 MB	10.3 MB	2.4 GB	2.4 GB
58	08/77a148	1924	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES3_48_Control-lipid_21)	CACHED	0	2022-07-13 18:32:55.468	13.6s	11.2s	48.3%	6 MB	10.3 MB	2.3 GB	2.3 GB
132	f3/2e4d7c	77541	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES15_601_Control-protein_14)	CACHED	0	2022-07-13 18:41:45.484	2m 34s	2m 32s	203.8%	1.1 GB	4.8 GB	2.4 GB	4.4 MB
96	ac/88de15	2593	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES50_Blue-024_Control-protein_14)	CACHED	0	2022-07-13 18:32:56.401	7.5s	6s	72.5%	6 MB	10.3 MB	2.1 GB	2.1 GB
54	e1/58bbfc	3724	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES38_AR17-21_MG-lipid_21)	CACHED	0	2022-07-13 18:32:57.425	13.6s	11.2s	45.9%	6 MB	10.3 MB	2.4 GB	2.4 GB
92	da/d8e85a	4490	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES49_Blue-024_Control-protein_0)	CACHED	0	2022-07-13 18:32:58.216	8.1s	5.6s	81.8%	6 MB	10.3 MB	2.3 GB	2.3 GB
142	48/4f2335	90886	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES11_172_Control-protein_21)	CACHED	0	2022-07-13 18:44:30.294	2m 52s	2m 50s	202.8%	1.2 GB	4.8 GB	2.6 GB	4.4 MB
116	3b/f343c9	80420	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES35_101-LS_MG-lipid_21)	CACHED	0	2022-07-13 18:42:02.177	2m 46s	2m 44s	202.1%	1.2 GB	4.8 GB	2.4 GB	4.4 MB
108	d7/6c79cf	103046	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES37_AR17-21_MG-lipid_14)	CACHED	0	2022-07-13 18:47:22.029	2m 46s	2m 44s	202.3%	1.2 MB	11 MB	2.6 GB	4.4 MB
94	15/54a466	66208	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES103_625_Control-lipid_0)	CACHED	0	2022-07-13 18:39:03.538	2m 59s	2m 57s	201.7%	1.1 GB	4.7 GB	2.7 GB	4.3 MB
53	99/c061e3	260045	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES1_48_Control-lipid_0)	CACHED	0	2022-07-14 00:04:45.336	12m 40s	12m 40s	524.8%	3.1 GB	3.7 GB	102.6 GB	99.8 GB
103	d3/7d7ee9	218319	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES25_619_MG-lipid_0)	CACHED	0	2022-07-13 19:29:38.054	10m 35s	10m 34s	514.1%	3.1 GB	3.7 GB	88.6 GB	86.3 GB
81	49/c206f1	259517	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES46_Blue-015_MG-lipid_21)	CACHED	0	2022-07-13 18:32:49.515	10.4s	8.5s	62.4%	6 MB	10.3 MB	2.5 GB	2.5 GB
110	cc/cc44d7	123657	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES24_Blue-010_Control-lipid_21)	CACHED	0	2022-07-13 18:55:21.057	2m 49s	2m 47s	202.3%	1.2 MB	11 MB	2.7 GB	4.4 MB
120	5f/2a6edf	149139	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES32_Blue-055_NA_14)	CACHED	0	2022-07-13 20:03:23.196	11m 27s	11m 27s	523.4%	3.1 GB	3.7 GB	96.7 GB	94.1 GB
134	a5/86f4f7	101789	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ES14_209_MG-lipid_21)	CACHED	0	2022-07-13 20:44:30.178	9m 28s	9m 27s	529.3%	3.1 GB	3.7 GB	80.7 GB	78.5 GB
35	37/26ccb4	248182	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES28_Blue-098_Control-lipid_0)	CACHED	0	2022-07-13 18:32:36.859	11.6s	9.9s	65.5%	6 MB	10.3 MB	2.9 GB	2.9 GB
56	bc/ee8fed	240961	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES39_LD19-239_MG-lipid_14)	CACHED	0	2022-07-13 18:32:28.120	8.7s	6.4s	71.8%	5.9 MB	10.3 MB	2.5 GB	2.5 GB
152	f4/66ed86	136969	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ES38_AR17-21_MG-lipid_21)	CACHED	0	2022-07-13 19:00:43.803	2m 31s	2m 29s	203.7%	1.2 MB	11 MB	2.4 GB	4.4 MB
66	54/b4f9d4	248520	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES41_Blue-013_Control-protein_0)	CACHED	0	2022-07-13 18:32:36.983	10.6s	8.1s	66.7%	6 MB	10.3 MB	2.6 GB	2.6 GB
