Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ES105_625_Control-lipid_21_1	ES105_625_Control-lipid_21_1.gz	Conventional base calls	Sanger / Illumina 1.9	53394179.0	0.0	50.0	54.0	20.367987895905642	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES105_625_Control-lipid_21_2	ES105_625_Control-lipid_21_2.gz	Conventional base calls	Sanger / Illumina 1.9	53394179.0	0.0	50.0	56.0	22.040168686593322	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES10_172_Control-protein_14_1	ES10_172_Control-protein_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	42919861.0	0.0	50.0	52.0	19.67142869547141	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES10_172_Control-protein_14_2	ES10_172_Control-protein_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	42919861.0	0.0	50.0	56.0	23.798438369558088	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES11_172_Control-protein_21_1	ES11_172_Control-protein_21_1.gz	Conventional base calls	Sanger / Illumina 1.9	48298663.0	0.0	50.0	52.0	18.653090068985183	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES11_172_Control-protein_21_2	ES11_172_Control-protein_21_2.gz	Conventional base calls	Sanger / Illumina 1.9	48298663.0	0.0	50.0	56.0	23.57747956651306	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES12_209_MG-lipid_0_1	ES12_209_MG-lipid_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	48405960.0	0.0	50.0	53.0	17.81571789539022	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES12_209_MG-lipid_0_2	ES12_209_MG-lipid_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	48405960.0	0.0	50.0	56.0	21.54192000050244	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
ES13_209_MG-lipid_14_1	ES13_209_MG-lipid_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	47878628.0	0.0	50.0	53.0	19.59551691581798	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES13_209_MG-lipid_14_2	ES13_209_MG-lipid_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	47878628.0	0.0	50.0	56.0	23.675519645833727	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES14_209_MG-lipid_21_1	ES14_209_MG-lipid_21_1.gz	Conventional base calls	Sanger / Illumina 1.9	40169252.0	0.0	50.0	53.0	19.45084053296251	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES14_209_MG-lipid_21_2	ES14_209_MG-lipid_21_2.gz	Conventional base calls	Sanger / Illumina 1.9	40169252.0	0.0	50.0	56.0	23.937129690474862	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES15_601_Control-protein_14_1	ES15_601_Control-protein_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	44752398.0	0.0	50.0	53.0	18.64278312571303	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES15_601_Control-protein_14_2	ES15_601_Control-protein_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	44752398.0	0.0	50.0	57.0	22.55603038938718	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES16_601_Control-protein_21_1	ES16_601_Control-protein_21_1.gz	Conventional base calls	Sanger / Illumina 1.9	48927075.0	0.0	50.0	53.0	17.70590124337666	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES16_601_Control-protein_21_2	ES16_601_Control-protein_21_2.gz	Conventional base calls	Sanger / Illumina 1.9	48927075.0	0.0	50.0	56.0	21.28476342597852	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES17_615_Control-protein_0_1	ES17_615_Control-protein_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	46470216.0	0.0	50.0	53.0	18.542623572384827	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES17_615_Control-protein_0_2	ES17_615_Control-protein_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	46470216.0	0.0	50.0	56.0	22.764987084578276	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
ES18_615_Control-protein_14_1	ES18_615_Control-protein_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	44847689.0	0.0	50.0	52.0	22.498017011771136	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES18_615_Control-protein_14_2	ES18_615_Control-protein_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	44847689.0	0.0	50.0	56.0	27.40227284978246	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES19_615_Control-protein_21_1	ES19_615_Control-protein_21_1.gz	Conventional base calls	Sanger / Illumina 1.9	43779323.0	0.0	50.0	52.0	20.860125953345865	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES19_615_Control-protein_21_2	ES19_615_Control-protein_21_2.gz	Conventional base calls	Sanger / Illumina 1.9	43779323.0	0.0	50.0	56.0	26.213272210573894	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES1_48_Control-lipid_0_1	ES1_48_Control-lipid_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	51030869.0	0.0	50.0	53.0	18.897898656597857	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES1_48_Control-lipid_0_2	ES1_48_Control-lipid_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	51030869.0	0.0	50.0	56.0	22.73543698063925	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES20_618_Control-lipid_0_1	ES20_618_Control-lipid_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	47849211.0	0.0	50.0	54.0	17.575909362184237	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES20_618_Control-lipid_0_2	ES20_618_Control-lipid_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	47849211.0	0.0	50.0	57.0	20.843223508312786	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
ES21_618_Control-lipid_14_1	ES21_618_Control-lipid_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	33752786.0	0.0	50.0	53.0	18.20854085828916	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES21_618_Control-lipid_14_2	ES21_618_Control-lipid_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	33752786.0	0.0	50.0	57.0	21.805356106736955	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
ES22_618_Control-lipid_21_1	ES22_618_Control-lipid_21_1.gz	Conventional base calls	Sanger / Illumina 1.9	46382754.0	0.0	50.0	52.0	18.544182142937245	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES22_618_Control-lipid_21_2	ES22_618_Control-lipid_21_2.gz	Conventional base calls	Sanger / Illumina 1.9	46382754.0	0.0	50.0	56.0	23.097482444190117	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES23_Blue-010_Control-lipid_0_1	ES23_Blue-010_Control-lipid_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	45957789.0	0.0	50.0	53.0	20.644585172334295	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES23_Blue-010_Control-lipid_0_2	ES23_Blue-010_Control-lipid_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	45957789.0	0.0	50.0	56.0	23.918388992908955	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES24_Blue-010_Control-lipid_21_1	ES24_Blue-010_Control-lipid_21_1.gz	Conventional base calls	Sanger / Illumina 1.9	49818486.0	0.0	50.0	54.0	18.200561490582732	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES24_Blue-010_Control-lipid_21_2	ES24_Blue-010_Control-lipid_21_2.gz	Conventional base calls	Sanger / Illumina 1.9	49818486.0	0.0	50.0	57.0	21.84723236961417	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
ES25_619_MG-lipid_0_1	ES25_619_MG-lipid_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	44150438.0	0.0	50.0	53.0	17.85429952558309	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES25_619_MG-lipid_0_2	ES25_619_MG-lipid_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	44150438.0	0.0	50.0	56.0	21.796688764065745	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
ES26_619_MG-lipid_14_1	ES26_619_MG-lipid_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	44410086.0	0.0	50.0	52.0	20.095604709573607	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES26_619_MG-lipid_14_2	ES26_619_MG-lipid_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	44410086.0	0.0	50.0	56.0	24.760025337866708	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES27_619_MG-lipid_21_1	ES27_619_MG-lipid_21_1.gz	Conventional base calls	Sanger / Illumina 1.9	44969958.0	0.0	50.0	52.0	18.695597399483095	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES27_619_MG-lipid_21_2	ES27_619_MG-lipid_21_2.gz	Conventional base calls	Sanger / Illumina 1.9	44969958.0	0.0	50.0	55.0	21.55599078394892	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES28_Blue-098_Control-lipid_0_1	ES28_Blue-098_Control-lipid_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	54464395.0	0.0	50.0	53.0	19.152449588822627	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES28_Blue-098_Control-lipid_0_2	ES28_Blue-098_Control-lipid_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	54464395.0	0.0	50.0	57.0	22.122018570221083	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES29_Blue-098_Control-lipid_14_1	ES29_Blue-098_Control-lipid_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	52140641.0	0.0	50.0	53.0	19.818752025020125	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES29_Blue-098_Control-lipid_14_2	ES29_Blue-098_Control-lipid_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	52140641.0	0.0	50.0	56.0	21.815053775325293	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES2_48_Control-lipid_14_1	ES2_48_Control-lipid_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	45624327.0	0.0	50.0	53.0	18.457537898842073	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES2_48_Control-lipid_14_2	ES2_48_Control-lipid_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	45624327.0	0.0	50.0	57.0	22.351383016269857	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
ES30_Blue-098_Control-lipid_21_1	ES30_Blue-098_Control-lipid_21_1.gz	Conventional base calls	Sanger / Illumina 1.9	35667230.0	0.0	50.0	52.0	22.14803515516298	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES30_Blue-098_Control-lipid_21_2	ES30_Blue-098_Control-lipid_21_2.gz	Conventional base calls	Sanger / Illumina 1.9	35667230.0	0.0	50.0	56.0	27.18132121559752	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES31_Blue-055_NA_0_1	ES31_Blue-055_NA_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	46585222.0	0.0	50.0	54.0	16.07979940829341	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES31_Blue-055_NA_0_2	ES31_Blue-055_NA_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	46585222.0	0.0	50.0	57.0	17.574560652595647	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES32_Blue-055_NA_14_1	ES32_Blue-055_NA_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	48039457.0	0.0	50.0	54.0	17.69709765739316	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES32_Blue-055_NA_14_2	ES32_Blue-055_NA_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	48039457.0	0.0	50.0	57.0	20.88455532531451	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES33_101-LS_MG-lipid_0_1	ES33_101-LS_MG-lipid_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	48139143.0	0.0	50.0	53.0	16.38567873170779	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES33_101-LS_MG-lipid_0_2	ES33_101-LS_MG-lipid_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	48139143.0	0.0	50.0	57.0	18.958024609708737	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
ES34_101-LS_MG-lipid_14_1	ES34_101-LS_MG-lipid_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	45028801.0	0.0	50.0	53.0	18.44390506081274	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES34_101-LS_MG-lipid_14_2	ES34_101-LS_MG-lipid_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	45028801.0	0.0	50.0	56.0	20.239885087110725	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES35_101-LS_MG-lipid_21_1	ES35_101-LS_MG-lipid_21_1.gz	Conventional base calls	Sanger / Illumina 1.9	45405269.0	0.0	50.0	52.0	17.89164939836229	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES35_101-LS_MG-lipid_21_2	ES35_101-LS_MG-lipid_21_2.gz	Conventional base calls	Sanger / Illumina 1.9	45405269.0	0.0	50.0	56.0	21.40688493956566	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES36_AR17-21_MG-lipid_0_1	ES36_AR17-21_MG-lipid_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	42487772.0	0.0	50.0	53.0	18.15696144896616	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES36_AR17-21_MG-lipid_0_2	ES36_AR17-21_MG-lipid_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	42487772.0	0.0	50.0	57.0	22.33585073789019	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES37_AR17-21_MG-lipid_14_1	ES37_AR17-21_MG-lipid_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	47722441.0	0.0	50.0	53.0	18.67370730675482	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES37_AR17-21_MG-lipid_14_2	ES37_AR17-21_MG-lipid_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	47722441.0	0.0	50.0	56.0	23.11030810291713	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES38_AR17-21_MG-lipid_21_1	ES38_AR17-21_MG-lipid_21_1.gz	Conventional base calls	Sanger / Illumina 1.9	43890238.0	0.0	50.0	53.0	19.83854883524462	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES38_AR17-21_MG-lipid_21_2	ES38_AR17-21_MG-lipid_21_2.gz	Conventional base calls	Sanger / Illumina 1.9	43890238.0	0.0	50.0	56.0	23.82996017262523	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES39_LD19-239_MG-lipid_14_1	ES39_LD19-239_MG-lipid_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	45700249.0	0.0	50.0	52.0	22.724964487376404	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES39_LD19-239_MG-lipid_14_2	ES39_LD19-239_MG-lipid_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	45700249.0	0.0	50.0	55.0	26.96769876882244	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES3_48_Control-lipid_21_1	ES3_48_Control-lipid_21_1.gz	Conventional base calls	Sanger / Illumina 1.9	42465153.0	0.0	50.0	53.0	18.891822496222	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES3_48_Control-lipid_21_2	ES3_48_Control-lipid_21_2.gz	Conventional base calls	Sanger / Illumina 1.9	42465153.0	0.0	50.0	56.0	22.93748402772641	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES40_LD19-239_MG-lipid_21_1	ES40_LD19-239_MG-lipid_21_1.gz	Conventional base calls	Sanger / Illumina 1.9	53032480.0	0.0	50.0	53.0	20.031413426090744	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES40_LD19-239_MG-lipid_21_2	ES40_LD19-239_MG-lipid_21_2.gz	Conventional base calls	Sanger / Illumina 1.9	53032480.0	0.0	50.0	56.0	23.23232296424986	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES41_Blue-013_Control-protein_0_1	ES41_Blue-013_Control-protein_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	49547668.0	0.0	50.0	52.0	19.754644323433904	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES41_Blue-013_Control-protein_0_2	ES41_Blue-013_Control-protein_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	49547668.0	0.0	50.0	56.0	23.88069934139631	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES42_Blue-013_Control-protein_14_1	ES42_Blue-013_Control-protein_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	43814409.0	0.0	50.0	52.0	23.53069678984815	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES42_Blue-013_Control-protein_14_2	ES42_Blue-013_Control-protein_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	43814409.0	0.0	50.0	55.0	26.66116195909852	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES43_Blue-013_Control-protein_21_1	ES43_Blue-013_Control-protein_21_1.gz	Conventional base calls	Sanger / Illumina 1.9	46998471.0	0.0	50.0	52.0	21.597305057675534	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES43_Blue-013_Control-protein_21_2	ES43_Blue-013_Control-protein_21_2.gz	Conventional base calls	Sanger / Illumina 1.9	46998471.0	0.0	50.0	55.0	25.24498966181089	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES44_Blue-015_MG-lipid_0_1	ES44_Blue-015_MG-lipid_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	49548155.0	0.0	50.0	53.0	20.43530160028032	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES44_Blue-015_MG-lipid_0_2	ES44_Blue-015_MG-lipid_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	49548155.0	0.0	50.0	56.0	23.752331382002865	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES45_Blue-015_MG-lipid_14_1	ES45_Blue-015_MG-lipid_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	53891868.0	0.0	50.0	53.0	19.201702590171433	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES45_Blue-015_MG-lipid_14_2	ES45_Blue-015_MG-lipid_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	53891868.0	0.0	50.0	55.0	20.513761310841748	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES46_Blue-015_MG-lipid_21_1	ES46_Blue-015_MG-lipid_21_1.gz	Conventional base calls	Sanger / Illumina 1.9	46181192.0	0.0	50.0	51.0	22.07001385740184	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES46_Blue-015_MG-lipid_21_2	ES46_Blue-015_MG-lipid_21_2.gz	Conventional base calls	Sanger / Illumina 1.9	46181192.0	0.0	50.0	54.0	25.406134725738795	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES47_Blue-45_MG-protein_0_1	ES47_Blue-45_MG-protein_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	43201675.0	0.0	50.0	53.0	22.55855006756081	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES47_Blue-45_MG-protein_0_2	ES47_Blue-45_MG-protein_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	43201675.0	0.0	50.0	56.0	24.871488159664377	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES48_Blue-45_MG-protein_14_1	ES48_Blue-45_MG-protein_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	45560444.0	0.0	50.0	53.0	20.22023441220773	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES48_Blue-45_MG-protein_14_2	ES48_Blue-45_MG-protein_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	45560444.0	0.0	50.0	57.0	23.6490781250663	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES49_Blue-024_Control-protein_0_1	ES49_Blue-024_Control-protein_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	44545402.0	0.0	50.0	52.0	16.970409019810862	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES49_Blue-024_Control-protein_0_2	ES49_Blue-024_Control-protein_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	44545402.0	0.0	50.0	56.0	21.13734594946141	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
ES4_164_Control-protein_0_1	ES4_164_Control-protein_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	45134181.0	0.0	50.0	53.0	19.57175777697161	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES4_164_Control-protein_0_2	ES4_164_Control-protein_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	45134181.0	0.0	50.0	57.0	23.770356098710693	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
ES50_Blue-024_Control-protein_14_1	ES50_Blue-024_Control-protein_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	39783087.0	0.0	50.0	52.0	18.454856997711442	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES50_Blue-024_Control-protein_14_2	ES50_Blue-024_Control-protein_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	39783087.0	0.0	50.0	56.0	22.70483937981395	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES51_Blue-024_Control-protein_21_1	ES51_Blue-024_Control-protein_21_1.gz	Conventional base calls	Sanger / Illumina 1.9	38574255.0	0.0	50.0	53.0	18.039901662724404	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES51_Blue-024_Control-protein_21_2	ES51_Blue-024_Control-protein_21_2.gz	Conventional base calls	Sanger / Illumina 1.9	38574255.0	0.0	50.0	57.0	22.491952769638964	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES52_SEM19-1481_MG-lipid_14_1	ES52_SEM19-1481_MG-lipid_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	45481885.0	0.0	50.0	53.0	20.700184697550707	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES52_SEM19-1481_MG-lipid_14_2	ES52_SEM19-1481_MG-lipid_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	45481885.0	0.0	50.0	56.0	25.701409928278572	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES53_SEM19-74_MG-protein_0_1	ES53_SEM19-74_MG-protein_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	41518457.0	0.0	50.0	53.0	19.093835589416628	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
ES53_SEM19-74_MG-protein_0_2	ES53_SEM19-74_MG-protein_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	41518457.0	0.0	50.0	57.0	23.920551775177003	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
