Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
ES19_615_Control-protein_21	94937744	0	8534128	0	0	0	0	0	83522065	0	87.98	nan	86403616	0	43201808	0	43201808	0	74880380	0	86.66	nan	74880380	0	107557	0	0.12	nan	0	0	0	0	94937744
ES1_48_Control-lipid_0	110544922	0	9384356	0	0	0	0	0	98750760	0	89.33	nan	101160566	0	50580283	0	50580283	0	89291978	0	88.27	nan	89291978	0	74426	0	0.07	nan	0	0	0	0	110544922
ES20_618_Control-lipid_0	103070175	0	8013577	0	0	0	0	0	93605958	0	90.82	nan	95056598	0	47528299	0	47528299	0	85526400	0	89.97	nan	85526400	0	65981	0	0.07	nan	0	0	0	0	103070175
ES21_618_Control-lipid_14	72511283	0	6037145	0	0	0	0	0	65974304	0	90.98	nan	66474138	0	33237069	0	33237069	0	59905614	0	90.12	nan	59905614	0	31545	0	0.05	nan	0	0	0	0	72511283
ES22_618_Control-lipid_21	101292447	0	9430221	0	0	0	0	0	90503069	0	89.35	nan	91862226	0	45931113	0	45931113	0	80991524	0	88.17	nan	80991524	0	81324	0	0.09	nan	0	0	0	0	101292447
ES23_Blue-010_Control-lipid_0	99261015	0	8035351	0	0	0	0	0	89671377	0	90.34	nan	91225664	0	45612832	0	45612832	0	81562666	0	89.41	nan	81562666	0	73360	0	0.08	nan	0	0	0	0	99261015
ES24_Blue-010_Control-lipid_21	107735433	0	8830997	0	0	0	0	0	97184974	0	90.21	nan	98904436	0	49452218	0	49452218	0	88280966	0	89.26	nan	88280966	0	73011	0	0.07	nan	0	0	0	0	107735433
ES25_619_MG-lipid_0	95436179	0	7834839	0	0	0	0	0	87305574	0	91.48	nan	87601340	0	43800670	0	43800670	0	79402422	0	90.64	nan	79402422	0	68313	0	0.08	nan	0	0	0	0	95436179
ES26_619_MG-lipid_14	96446554	0	8691244	0	0	0	0	0	86883202	0	90.08	nan	87755310	0	43877655	0	43877655	0	78104376	0	89.0	nan	78104376	0	87582	0	0.1	nan	0	0	0	0	96446554
ES27_619_MG-lipid_21	97744122	0	8410072	0	0	0	0	0	88608688	0	90.65	nan	89334050	0	44667025	0	44667025	0	80135788	0	89.7	nan	80135788	0	62828	0	0.07	nan	0	0	0	0	97744122
ES28_Blue-098_Control-lipid_0	116887200	0	8655222	0	0	0	0	0	103654687	0	88.68	nan	108231978	0	54115989	0	54115989	0	94920634	0	87.7	nan	94920634	0	78831	0	0.07	nan	0	0	0	0	116887200
ES29_Blue-098_Control-lipid_14	111968320	0	8130612	0	0	0	0	0	100744087	0	89.98	nan	103837708	0	51918854	0	51918854	0	92579528	0	89.16	nan	92579528	0	33947	0	0.03	nan	0	0	0	0	111968320
ES2_48_Control-lipid_14	99868493	0	9439073	0	0	0	0	0	89903205	0	90.02	nan	90429420	0	45214710	0	45214710	0	80375978	0	88.88	nan	80375978	0	88154	0	0.1	nan	0	0	0	0	99868493
ES30_Blue-098_Control-lipid_21	76642542	0	6070012	0	0	0	0	0	67217467	0	87.7	nan	70572530	0	35286265	0	35286265	0	61057348	0	86.52	nan	61057348	0	90107	0	0.13	nan	0	0	0	0	76642542
ES31_Blue-055_NA_0	100084835	0	7084901	0	0	0	0	0	93247476	0	93.17	nan	92999934	0	46499967	0	46499967	0	86145664	0	92.63	nan	86145664	0	16911	0	0.02	nan	0	0	0	0	100084835
ES32_Blue-055_NA_14	103890894	0	8423178	0	0	0	0	0	92944649	0	89.46	nan	95467716	0	47733858	0	47733858	0	84455788	0	88.47	nan	84455788	0	65683	0	0.07	nan	0	0	0	0	103890894
ES33_101-LS_MG-lipid_0	104259625	0	8464125	0	0	0	0	0	95553822	0	91.65	nan	95795500	0	47897750	0	47897750	0	87033910	0	90.85	nan	87033910	0	55787	0	0.06	nan	0	0	0	0	104259625
ES34_101-LS_MG-lipid_14	96730393	0	6973149	0	0	0	0	0	88479069	0	91.47	nan	89757244	0	44878622	0	44878622	0	81475508	0	90.77	nan	81475508	0	30412	0	0.03	nan	0	0	0	0	96730393
ES35_101-LS_MG-lipid_21	99281795	0	9113891	0	0	0	0	0	90193214	0	90.85	nan	90167904	0	45083952	0	45083952	0	81011392	0	89.85	nan	81011392	0	67931	0	0.08	nan	0	0	0	0	99281795
ES36_AR17-21_MG-lipid_0	91664382	0	7408470	0	0	0	0	0	82390501	0	89.88	nan	84255912	0	42127956	0	42127956	0	74900558	0	88.9	nan	74900558	0	81473	0	0.1	nan	0	0	0	0	91664382
ES37_AR17-21_MG-lipid_14	102448650	0	7888526	0	0	0	0	0	91223789	0	89.04	nan	94560124	0	47280062	0	47280062	0	83245494	0	88.03	nan	83245494	0	89769	0	0.09	nan	0	0	0	0	102448650
ES38_AR17-21_MG-lipid_21	94980927	0	7859215	0	0	0	0	0	84384965	0	88.84	nan	87121712	0	43560856	0	43560856	0	76461170	0	87.76	nan	76461170	0	64580	0	0.07	nan	0	0	0	0	94980927
ES39_LD19-239_MG-lipid_14	97930615	0	7378467	0	0	0	0	0	87306973	0	89.15	nan	90552148	0	45276074	0	45276074	0	79842946	0	88.17	nan	79842946	0	85560	0	0.09	nan	0	0	0	0	97930615
ES3_48_Control-lipid_21	91886681	0	7688121	0	0	0	0	0	82463761	0	89.75	nan	84198560	0	42099280	0	42099280	0	74706320	0	88.73	nan	74706320	0	69320	0	0.08	nan	0	0	0	0	91886681
ES40_LD19-239_MG-lipid_21	114054883	0	8812233	0	0	0	0	0	102364016	0	89.75	nan	105242650	0	52621325	0	52621325	0	93458480	0	88.8	nan	93458480	0	93303	0	0.09	nan	0	0	0	0	114054883
ES41_Blue-013_Control-protein_0	108741847	0	10543361	0	0	0	0	0	97312790	0	89.49	nan	98198486	0	49099243	0	49099243	0	86672406	0	88.26	nan	86672406	0	97023	0	0.1	nan	0	0	0	0	108741847
ES42_Blue-013_Control-protein_14	95138173	0	8196925	0	0	0	0	0	85799075	0	90.18	nan	86941248	0	43470624	0	43470624	0	77534418	0	89.18	nan	77534418	0	67732	0	0.08	nan	0	0	0	0	95138173
ES43_Blue-013_Control-protein_21	101257171	0	8058167	0	0	0	0	0	91529491	0	90.39	nan	93199004	0	46599502	0	46599502	0	83383588	0	89.47	nan	83383588	0	87736	0	0.09	nan	0	0	0	0	101257171
ES44_Blue-015_MG-lipid_0	106561389	0	8091049	0	0	0	0	0	96422043	0	90.48	nan	98470340	0	49235170	0	49235170	0	88267256	0	89.64	nan	88267256	0	63738	0	0.06	nan	0	0	0	0	106561389
ES45_Blue-015_MG-lipid_14	116293063	0	8741877	0	0	0	0	0	107750481	0	92.65	nan	107551186	0	53775593	0	53775593	0	98988046	0	92.04	nan	98988046	0	20558	0	0.02	nan	0	0	0	0	116293063
ES46_Blue-015_MG-lipid_21	99428617	0	7618631	0	0	0	0	0	89408340	0	89.92	nan	91809986	0	45904993	0	45904993	0	81741932	0	89.03	nan	81741932	0	47777	0	0.05	nan	0	0	0	0	99428617
ES47_Blue-45_MG-protein_0	92221030	0	6304962	0	0	0	0	0	83781425	0	90.85	nan	85916068	0	42958034	0	42958034	0	77434480	0	90.13	nan	77434480	0	41983	0	0.05	nan	0	0	0	0	92221030
ES48_Blue-45_MG-protein_14	97098512	0	6541494	0	0	0	0	0	87348356	0	89.96	nan	90557018	0	45278509	0	45278509	0	80753200	0	89.17	nan	80753200	0	53662	0	0.06	nan	0	0	0	0	97098512
ES49_Blue-024_Control-protein_0	97746419	0	9470781	0	0	0	0	0	87338463	0	89.35	nan	88275638	0	44137819	0	44137819	0	77785318	0	88.12	nan	77785318	0	82364	0	0.09	nan	0	0	0	0	97746419
ES4_164_Control-protein_0	99027646	0	9648800	0	0	0	0	0	88365081	0	89.23	nan	89378846	0	44689423	0	44689423	0	78626000	0	87.97	nan	78626000	0	90281	0	0.1	nan	0	0	0	0	99027646
ES50_Blue-024_Control-protein_14	86589785	0	7826147	0	0	0	0	0	76478129	0	88.32	nan	78763638	0	39381819	0	39381819	0	68580558	0	87.07	nan	68580558	0	71424	0	0.09	nan	0	0	0	0	86589785
ES51_Blue-024_Control-protein_21	84354926	0	7862412	0	0	0	0	0	75000053	0	88.91	nan	76492514	0	38246257	0	38246257	0	67069988	0	87.68	nan	67069988	0	67653	0	0.09	nan	0	0	0	0	84354926
ES52_SEM19-1481_MG-lipid_14	98532650	0	8515872	0	0	0	0	0	88046429	0	89.36	nan	90016778	0	45008389	0	45008389	0	79428968	0	88.24	nan	79428968	0	101589	0	0.11	nan	0	0	0	0	98532650
ES53_SEM19-74_MG-protein_0	88745659	0	6522461	0	0	0	0	0	80727336	0	90.96	nan	82223198	0	41111599	0	41111599	0	74127088	0	90.15	nan	74127088	0	77787	0	0.09	nan	0	0	0	0	88745659
ES54_SEM19-74_MG-protein_14	92854001	0	7627815	0	0	0	0	0	84255638	0	90.74	nan	85226186	0	42613093	0	42613093	0	76549298	0	89.82	nan	76549298	0	78525	0	0.09	nan	0	0	0	0	92854001
ES55_SEM19-74_MG-protein_21	85585273	0	9614273	0	0	0	0	0	76442970	0	89.32	nan	75971000	0	37985500	0	37985500	0	66744830	0	87.86	nan	66744830	0	83867	0	0.11	nan	0	0	0	0	85585273
ES56_Blue-050_Control-lipid_21	105140135	0	8061933	0	0	0	0	0	92082877	0	87.58	nan	97078202	0	48539101	0	48539101	0	83934326	0	86.46	nan	83934326	0	86618	0	0.09	nan	0	0	0	0	105140135
ES57_Blue-031_MG-lipid_0	113946682	0	8743662	0	0	0	0	0	104290824	0	91.53	nan	105203020	0	52601510	0	52601510	0	95490026	0	90.77	nan	95490026	0	57136	0	0.05	nan	0	0	0	0	113946682
ES58_Blue-032_MG-protein_0	111964990	0	12116692	0	0	0	0	0	98738327	0	88.19	nan	99848298	0	49924149	0	49924149	0	86525608	0	86.66	nan	86525608	0	96027	0	0.1	nan	0	0	0	0	111964990
ES59_Blue-032_MG-protein_14	103017713	0	8658517	0	0	0	0	0	92039574	0	89.34	nan	94359196	0	47179598	0	47179598	0	83277150	0	88.26	nan	83277150	0	103907	0	0.11	nan	0	0	0	0	103017713
ES5_164_Control-protein_14	91344581	0	7311789	0	0	0	0	0	81444006	0	89.16	nan	84032792	0	42016396	0	42016396	0	74067012	0	88.14	nan	74067012	0	65205	0	0.08	nan	0	0	0	0	91344581
ES60_Blue-032_MG-protein_21	92550961	0	7704029	0	0	0	0	0	82009512	0	88.61	nan	84846932	0	42423466	0	42423466	0	74221198	0	87.48	nan	74221198	0	84285	0	0.1	nan	0	0	0	0	92550961
ES61_Blue-035_MG-protein_0	83693212	0	6025556	0	0	0	0	0	75558463	0	90.28	nan	77667656	0	38833828	0	38833828	0	69476218	0	89.45	nan	69476218	0	56689	0	0.07	nan	0	0	0	0	83693212
ES62_Blue-035_MG-protein_14	96461551	0	7539031	0	0	0	0	0	85520472	0	88.66	nan	88922520	0	44461260	0	44461260	0	77897904	0	87.6	nan	77897904	0	83537	0	0.09	nan	0	0	0	0	96461551
ES63_Blue-035_MG-protein_21	88204269	0	6354593	0	0	0	0	0	78249643	0	88.71	nan	81849676	0	40924838	0	40924838	0	71838234	0	87.77	nan	71838234	0	56816	0	0.07	nan	0	0	0	0	88204269
ES64_SEM19-1481_MG-lipid_21	101902023	0	9325119	0	0	0	0	0	91876984	0	90.16	nan	92576904	0	46288452	0	46288452	0	82472744	0	89.09	nan	82472744	0	79121	0	0.09	nan	0	0	0	0	101902023
ES65_106_NA_0	99215360	0	8346430	0	0	0	0	0	87781786	0	88.48	nan	90868930	0	45434465	0	45434465	0	79340112	0	87.31	nan	79340112	0	95244	0	0.1	nan	0	0	0	0	99215360
ES66_617_Control-protein_14	94701436	0	8911834	0	0	0	0	0	84633736	0	89.37	nan	85789602	0	42894801	0	42894801	0	75619256	0	88.15	nan	75619256	0	102646	0	0.12	nan	0	0	0	0	94701436
ES67_Blue-037_MG-protein_0	94061442	0	8730752	0	0	0	0	0	81697340	0	86.86	nan	85330690	0	42665345	0	42665345	0	72876998	0	85.41	nan	72876998	0	89590	0	0.1	nan	0	0	0	0	94061442
ES68_Blue-037_MG-protein_14	83937887	0	7038335	0	0	0	0	0	73619093	0	87.71	nan	76899552	0	38449776	0	38449776	0	66500176	0	86.48	nan	66500176	0	80582	0	0.1	nan	0	0	0	0	83937887
ES69_Blue-037_MG-protein_21	90353668	0	8006878	0	0	0	0	0	78707627	0	87.11	nan	82346790	0	41173395	0	41173395	0	70636070	0	85.78	nan	70636070	0	64679	0	0.08	nan	0	0	0	0	90353668
ES6_164_Control-protein_21	89157979	0	6724251	0	0	0	0	0	78865426	0	88.46	nan	82433728	0	41216864	0	41216864	0	72074684	0	87.43	nan	72074684	0	66491	0	0.08	nan	0	0	0	0	89157979
ES70_Blue-039_Control-lipid_0	119724291	0	10420565	0	0	0	0	0	106944259	0	89.33	nan	109303726	0	54651863	0	54651863	0	96440910	0	88.23	nan	96440910	0	82784	0	0.08	nan	0	0	0	0	119724291
ES71_Blue-039_Control-lipid_14	84905205	0	7351595	0	0	0	0	0	75720697	0	89.18	nan	77553610	0	38776805	0	38776805	0	68306260	0	88.08	nan	68306260	0	62842	0	0.08	nan	0	0	0	0	84905205
ES72_Blue-039_Control-lipid_21	95321421	0	9155383	0	0	0	0	0	83761783	0	87.87	nan	86166038	0	43083019	0	43083019	0	74515854	0	86.48	nan	74515854	0	90546	0	0.11	nan	0	0	0	0	95321421
ES73_Blue-042_MG-protein_0	116992616	0	9929408	0	0	0	0	0	104503490	0	89.32	nan	107063208	0	53531604	0	53531604	0	94464168	0	88.23	nan	94464168	0	109914	0	0.1	nan	0	0	0	0	116992616
ES74_Blue-042_MG-protein_14	110379515	0	9735255	0	0	0	0	0	98087064	0	88.86	nan	100644260	0	50322130	0	50322130	0	88243094	0	87.68	nan	88243094	0	108715	0	0.11	nan	0	0	0	0	110379515
ES75_Blue-042_MG-protein_21	106056434	0	9318724	0	0	0	0	0	95426962	0	89.98	nan	96737710	0	48368855	0	48368855	0	86034260	0	88.94	nan	86034260	0	73978	0	0.08	nan	0	0	0	0	106056434
ES76_Blue-043_MG-lipid_0	90768021	0	8087091	0	0	0	0	0	80898008	0	89.13	nan	82680930	0	41340465	0	41340465	0	72734088	0	87.97	nan	72734088	0	76829	0	0.09	nan	0	0	0	0	90768021
ES77_Blue-043_MG-lipid_14	100731246	0	7893782	0	0	0	0	0	90220544	0	89.57	nan	92837464	0	46418732	0	46418732	0	82245170	0	88.59	nan	82245170	0	81592	0	0.09	nan	0	0	0	0	100731246
ES78_Blue-043_MG-lipid_21	109714492	0	8673324	0	0	0	0	0	98245471	0	89.55	nan	101041168	0	50520584	0	50520584	0	89502366	0	88.58	nan	89502366	0	69781	0	0.07	nan	0	0	0	0	109714492
ES79_Blue-050_Control-lipid_0	86117180	0	7433010	0	0	0	0	0	74975782	0	87.06	nan	78684170	0	39342085	0	39342085	0	67480520	0	85.76	nan	67480520	0	62252	0	0.08	nan	0	0	0	0	86117180
ES7_SEM19-1354_Control-protein_14	94431852	0	7863940	0	0	0	0	0	86195833	0	91.28	nan	86567912	0	43283956	0	43283956	0	78268510	0	90.41	nan	78268510	0	63383	0	0.07	nan	0	0	0	0	94431852
ES80_Blue-050_Control-lipid_14	92268235	0	7869107	0	0	0	0	0	81426320	0	88.25	nan	84399128	0	42199564	0	42199564	0	73491252	0	87.08	nan	73491252	0	65961	0	0.08	nan	0	0	0	0	92268235
ES81_Blue-047_Control-lipid_0	98689400	0	8156068	0	0	0	0	0	88497925	0	89.67	nan	90533332	0	45266666	0	45266666	0	80229894	0	88.62	nan	80229894	0	111963	0	0.12	nan	0	0	0	0	98689400
ES82_Blue-047_Control-lipid_14	64282144	0	4406180	0	0	0	0	0	56744563	0	88.27	nan	59875964	0	29937982	0	29937982	0	52271142	0	87.3	nan	52271142	0	67241	0	0.11	nan	0	0	0	0	64282144
ES83_SEM19-1481_MG-lipid_0	102522599	0	8666009	0	0	0	0	0	92383311	0	90.11	nan	93856590	0	46928295	0	46928295	0	83630366	0	89.1	nan	83630366	0	86936	0	0.09	nan	0	0	0	0	102522599
ES84_LD19-239_MG-lipid_0	102170962	0	9399032	0	0	0	0	0	91004509	0	89.07	nan	92771930	0	46385965	0	46385965	0	81528362	0	87.88	nan	81528362	0	77115	0	0.08	nan	0	0	0	0	102170962
ES85_orange-24_Control-protein_0	97122027	0	7273117	0	0	0	0	0	86612022	0	89.18	nan	89848910	0	44924455	0	44924455	0	79285304	0	88.24	nan	79285304	0	53601	0	0.06	nan	0	0	0	0	97122027
ES86_orange-24_Control-protein_14	77582105	0	6622907	0	0	0	0	0	68847412	0	88.74	nan	70959198	0	35479599	0	35479599	0	62175278	0	87.62	nan	62175278	0	49227	0	0.07	nan	0	0	0	0	77582105
ES87_orange-24_Control-protein_21	94563781	0	7133265	0	0	0	0	0	84002560	0	88.83	nan	87430516	0	43715258	0	43715258	0	76811416	0	87.85	nan	76811416	0	57879	0	0.07	nan	0	0	0	0	94563781
ES88_610_MG-protein_0	105152979	0	7469577	0	0	0	0	0	95403995	0	90.73	nan	97683402	0	48841701	0	48841701	0	87877616	0	89.96	nan	87877616	0	56802	0	0.06	nan	0	0	0	0	105152979
ES89_Blue-049_Control-protein_0	231760	0	9994	0	0	0	0	0	19164	0	8.27	nan	221766	0	110883	0	110883	0	9154	0	4.13	nan	9154	0	16	0	0.01	nan	0	0	0	0	231760
ES8_SEM19-1354_Control-protein_21	99669727	0	8023585	0	0	0	0	0	90223871	0	90.52	nan	91646142	0	45823071	0	45823071	0	82117820	0	89.6	nan	82117820	0	82466	0	0.09	nan	0	0	0	0	99669727
ES90_Blue-049_Control-protein_14	98399413	0	9399115	0	0	0	0	0	86653983	0	88.06	nan	89000298	0	44500149	0	44500149	0	77139082	0	86.67	nan	77139082	0	115786	0	0.13	nan	0	0	0	0	98399413
ES91_Blue-049_Control-protein_21	94103350	0	9285470	0	0	0	0	0	83550167	0	88.79	nan	84817880	0	42408940	0	42408940	0	74187084	0	87.47	nan	74187084	0	77613	0	0.09	nan	0	0	0	0	94103350
ES92_SEM19-76_MG-lipid_0	109231938	0	10398970	0	0	0	0	0	98469208	0	90.15	nan	98832968	0	49416484	0	49416484	0	87942420	0	88.98	nan	87942420	0	127818	0	0.13	nan	0	0	0	0	109231938
ES93_SEM19-76_MG-lipid_14	104687417	0	9066443	0	0	0	0	0	92989333	0	88.83	nan	95620974	0	47810487	0	47810487	0	83850930	0	87.69	nan	83850930	0	71960	0	0.08	nan	0	0	0	0	104687417
ES94_SEM19-76_MG-lipid_21	109807418	0	11227598	0	0	0	0	0	98365432	0	89.58	nan	98579820	0	49289910	0	49289910	0	87030134	0	88.28	nan	87030134	0	107700	0	0.11	nan	0	0	0	0	109807418
ES95_610_MG-protein_14	108035486	0	8426604	0	0	0	0	0	95797362	0	88.67	nan	99608882	0	49804441	0	49804441	0	87295572	0	87.64	nan	87295572	0	75186	0	0.08	nan	0	0	0	0	108035486
ES96_610_MG-protein_21	104005365	0	7631435	0	0	0	0	0	93839842	0	90.23	nan	96373930	0	48186965	0	48186965	0	86087200	0	89.33	nan	86087200	0	121207	0	0.13	nan	0	0	0	0	104005365
ES97_SEM19-107_MG-protein_0	107583873	0	12562463	0	0	0	0	0	97011536	0	90.17	nan	95021410	0	47510705	0	47510705	0	84405404	0	88.83	nan	84405404	0	43669	0	0.05	nan	0	0	0	0	107583873
ES98_SEM19-107_MG-protein_14	122896415	0	10396523	0	0	0	0	0	110054676	0	89.55	nan	112499892	0	56249946	0	56249946	0	99604732	0	88.54	nan	99604732	0	53421	0	0.05	nan	0	0	0	0	122896415
ES99_SEM19-107_MG-protein_21	107128840	0	13954032	0	0	0	0	0	95434966	0	89.08	nan	93174808	0	46587404	0	46587404	0	81437246	0	87.4	nan	81437246	0	43688	0	0.05	nan	0	0	0	0	107128840
ES9_172_Control-protein_0	100399337	0	9897445	0	0	0	0	0	91574167	0	91.21	nan	90501892	0	45250946	0	45250946	0	81598196	0	90.16	nan	81598196	0	78526	0	0.09	nan	0	0	0	0	100399337
