Sample	Known Splicing Junctions	Partial Novel Splicing Junctions	Novel Splicing Junctions
ES39_LD19-239_MG-lipid_14	106886.0	21238.0	7502.0
ES3_48_Control-lipid_21	100402.0	17995.0	6691.0
ES40_LD19-239_MG-lipid_21	106885.0	22116.0	8163.0
ES41_Blue-013_Control-protein_0	103656.0	19010.0	7303.0
ES42_Blue-013_Control-protein_14	102008.0	19646.0	7588.0
ES43_Blue-013_Control-protein_21	101016.0	19975.0	7527.0
ES44_Blue-015_MG-lipid_0	107441.0	21167.0	8145.0
ES45_Blue-015_MG-lipid_14	107493.0	21748.0	8391.0
ES46_Blue-015_MG-lipid_21	105925.0	21982.0	8728.0
ES47_Blue-45_MG-protein_0	107203.0	20797.0	7990.0
ES48_Blue-45_MG-protein_14	104271.0	21011.0	8219.0
ES49_Blue-024_Control-protein_0	94868.0	16729.0	6318.0
ES4_164_Control-protein_0	98819.0	18129.0	6106.0
ES50_Blue-024_Control-protein_14	89568.0	16234.0	5969.0
ES51_Blue-024_Control-protein_21	88321.0	16127.0	6096.0
ES52_SEM19-1481_MG-lipid_14	101326.0	19998.0	7738.0
ES53_SEM19-74_MG-protein_0	104727.0	17382.0	6469.0
ES54_SEM19-74_MG-protein_14	102643.0	18490.0	6914.0
ES55_SEM19-74_MG-protein_21	101408.0	18053.0	6745.0
ES56_Blue-050_Control-lipid_21	96386.0	17916.0	7277.0
ES57_Blue-031_MG-lipid_0	99765.0	18176.0	7121.0
ES58_Blue-032_MG-protein_0	109537.0	18997.0	7908.0
ES59_Blue-032_MG-protein_14	106424.0	20178.0	8152.0
ES5_164_Control-protein_14	99755.0	18061.0	6322.0
ES60_Blue-032_MG-protein_21	104448.0	18161.0	7257.0
ES61_Blue-035_MG-protein_0	104273.0	17788.0	6927.0
ES62_Blue-035_MG-protein_14	102221.0	19257.0	7375.0
ES63_Blue-035_MG-protein_21	104010.0	17949.0	7205.0
ES64_SEM19-1481_MG-lipid_21	100481.0	20123.0	7577.0
ES65_106_NA_0	102736.0	17081.0	6831.0
ES66_617_Control-protein_14	98202.0	17699.0	6381.0
ES67_Blue-037_MG-protein_0	102195.0	18859.0	7353.0
ES68_Blue-037_MG-protein_14	93165.0	18282.0	7027.0
ES69_Blue-037_MG-protein_21	106197.0	19304.0	7615.0
ES6_164_Control-protein_21	102390.0	18648.0	6639.0
ES70_Blue-039_Control-lipid_0	110026.0	21030.0	8405.0
ES71_Blue-039_Control-lipid_14	102656.0	17136.0	6569.0
ES72_Blue-039_Control-lipid_21	101445.0	18834.0	7689.0
ES73_Blue-042_MG-protein_0	101955.0	20812.0	8155.0
ES74_Blue-042_MG-protein_14	103367.0	22552.0	8713.0
ES75_Blue-042_MG-protein_21	99338.0	19920.0	7470.0
ES76_Blue-043_MG-lipid_0	101997.0	18244.0	7084.0
ES77_Blue-043_MG-lipid_14	104935.0	22463.0	8463.0
ES78_Blue-043_MG-lipid_21	111951.0	21950.0	8584.0
ES79_Blue-050_Control-lipid_0	96887.0	17530.0	6709.0
ES7_SEM19-1354_Control-protein_14	99875.0	19676.0	7780.0
ES80_Blue-050_Control-lipid_14	92892.0	16396.0	6453.0
ES81_Blue-047_Control-lipid_0	99918.0	19842.0	7517.0
ES82_Blue-047_Control-lipid_14	89569.0	14037.0	5535.0
ES83_SEM19-1481_MG-lipid_0	102110.0	19275.0	7189.0
ES84_LD19-239_MG-lipid_0	103667.0	20466.0	7387.0
ES85_orange-24_Control-protein_0	106241.0	19643.0	8117.0
ES86_orange-24_Control-protein_14	95545.0	16183.0	6346.0
ES87_orange-24_Control-protein_21	94799.0	20168.0	8287.0
ES88_610_MG-protein_0	110194.0	18545.0	7031.0
ES8_SEM19-1354_Control-protein_21	100367.0	21107.0	8332.0
ES90_Blue-049_Control-protein_14	96161.0	18350.0	7241.0
ES91_Blue-049_Control-protein_21	97179.0	17416.0	6412.0
ES92_SEM19-76_MG-lipid_0	101959.0	16593.0	6358.0
ES93_SEM19-76_MG-lipid_14	99804.0	17155.0	6816.0
ES94_SEM19-76_MG-lipid_21	97322.0	16959.0	6590.0
ES95_610_MG-protein_14	108463.0	19768.0	7961.0
ES96_610_MG-protein_21	104436.0	20002.0	7620.0
ES97_SEM19-107_MG-protein_0	103413.0	20702.0	7701.0
ES98_SEM19-107_MG-protein_14	106562.0	26106.0	10268.0
ES99_SEM19-107_MG-protein_21	104704.0	20747.0	7897.0
ES9_172_Control-protein_0	106554.0	17543.0	7121.0
