Module	Section	Sample Name	Source
QualiMap	rna_genome_results	ES20_618_Control-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES20_618_Control-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES57_Blue-031_MG-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES57_Blue-031_MG-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES61_Blue-035_MG-protein_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES61_Blue-035_MG-protein_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES8_SEM19-1354_Control-protein_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES8_SEM19-1354_Control-protein_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES1_48_Control-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES1_48_Control-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES18_615_Control-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES18_615_Control-protein_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES34_101-LS_MG-lipid_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES34_101-LS_MG-lipid_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES17_615_Control-protein_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES17_615_Control-protein_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES85_orange-24_Control-protein_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES85_orange-24_Control-protein_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES64_SEM19-1481_MG-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES64_SEM19-1481_MG-lipid_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES105_625_Control-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES105_625_Control-lipid_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES21_618_Control-lipid_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES21_618_Control-lipid_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES13_209_MG-lipid_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES13_209_MG-lipid_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES23_Blue-010_Control-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES23_Blue-010_Control-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES101_SEM19-140_Control-lipid_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES101_SEM19-140_Control-lipid_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES77_Blue-043_MG-lipid_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES77_Blue-043_MG-lipid_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES81_Blue-047_Control-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES81_Blue-047_Control-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES56_Blue-050_Control-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES56_Blue-050_Control-lipid_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES31_Blue-055_NA_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES31_Blue-055_NA_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES15_601_Control-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES15_601_Control-protein_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES27_619_MG-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES27_619_MG-lipid_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES73_Blue-042_MG-protein_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES73_Blue-042_MG-protein_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES46_Blue-015_MG-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES46_Blue-015_MG-lipid_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES96_610_MG-protein_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES96_610_MG-protein_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES41_Blue-013_Control-protein_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES41_Blue-013_Control-protein_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES48_Blue-45_MG-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES48_Blue-45_MG-protein_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES25_619_MG-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES25_619_MG-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES10_172_Control-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES10_172_Control-protein_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES90_Blue-049_Control-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES90_Blue-049_Control-protein_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES72_Blue-039_Control-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES72_Blue-039_Control-lipid_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES65_106_NA_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES65_106_NA_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES62_Blue-035_MG-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES62_Blue-035_MG-protein_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES79_Blue-050_Control-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES79_Blue-050_Control-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES93_SEM19-76_MG-lipid_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES93_SEM19-76_MG-lipid_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES42_Blue-013_Control-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES42_Blue-013_Control-protein_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES95_610_MG-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES95_610_MG-protein_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES43_Blue-013_Control-protein_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES43_Blue-013_Control-protein_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES63_Blue-035_MG-protein_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES63_Blue-035_MG-protein_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES102_SEM19-140_Control-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES102_SEM19-140_Control-lipid_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES49_Blue-024_Control-protein_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES49_Blue-024_Control-protein_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES87_orange-24_Control-protein_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES87_orange-24_Control-protein_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES82_Blue-047_Control-lipid_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES82_Blue-047_Control-lipid_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES75_Blue-042_MG-protein_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES75_Blue-042_MG-protein_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES14_209_MG-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES14_209_MG-lipid_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES16_601_Control-protein_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES16_601_Control-protein_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES59_Blue-032_MG-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES59_Blue-032_MG-protein_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES80_Blue-050_Control-lipid_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES80_Blue-050_Control-lipid_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES26_619_MG-lipid_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES26_619_MG-lipid_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES84_LD19-239_MG-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES84_LD19-239_MG-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES38_AR17-21_MG-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES38_AR17-21_MG-lipid_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES11_172_Control-protein_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES11_172_Control-protein_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES2_48_Control-lipid_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES2_48_Control-lipid_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES45_Blue-015_MG-lipid_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES45_Blue-015_MG-lipid_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES22_618_Control-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES22_618_Control-lipid_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES103_625_Control-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES103_625_Control-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES37_AR17-21_MG-lipid_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES37_AR17-21_MG-lipid_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES4_164_Control-protein_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES4_164_Control-protein_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES70_Blue-039_Control-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES70_Blue-039_Control-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES88_610_MG-protein_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES88_610_MG-protein_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES39_LD19-239_MG-lipid_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES39_LD19-239_MG-lipid_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES83_SEM19-1481_MG-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES83_SEM19-1481_MG-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES60_Blue-032_MG-protein_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES60_Blue-032_MG-protein_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES29_Blue-098_Control-lipid_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES29_Blue-098_Control-lipid_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES36_AR17-21_MG-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES36_AR17-21_MG-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES100_SEM19-140_Control-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES100_SEM19-140_Control-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES12_209_MG-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES12_209_MG-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES53_SEM19-74_MG-protein_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES53_SEM19-74_MG-protein_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES91_Blue-049_Control-protein_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES91_Blue-049_Control-protein_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES47_Blue-45_MG-protein_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES47_Blue-45_MG-protein_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES58_Blue-032_MG-protein_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES58_Blue-032_MG-protein_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES55_SEM19-74_MG-protein_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES55_SEM19-74_MG-protein_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES52_SEM19-1481_MG-lipid_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES52_SEM19-1481_MG-lipid_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES99_SEM19-107_MG-protein_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES99_SEM19-107_MG-protein_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES19_615_Control-protein_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES19_615_Control-protein_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES69_Blue-037_MG-protein_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES69_Blue-037_MG-protein_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES40_LD19-239_MG-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES40_LD19-239_MG-lipid_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES35_101-LS_MG-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES35_101-LS_MG-lipid_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES54_SEM19-74_MG-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES54_SEM19-74_MG-protein_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES76_Blue-043_MG-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES76_Blue-043_MG-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES24_Blue-010_Control-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES24_Blue-010_Control-lipid_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES44_Blue-015_MG-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES44_Blue-015_MG-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES104_625_Control-lipid_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES104_625_Control-lipid_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES9_172_Control-protein_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES9_172_Control-protein_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES32_Blue-055_NA_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES32_Blue-055_NA_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES3_48_Control-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES3_48_Control-lipid_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES51_Blue-024_Control-protein_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES51_Blue-024_Control-protein_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES71_Blue-039_Control-lipid_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES71_Blue-039_Control-lipid_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES94_SEM19-76_MG-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES94_SEM19-76_MG-lipid_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES78_Blue-043_MG-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES78_Blue-043_MG-lipid_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES5_164_Control-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES5_164_Control-protein_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES33_101-LS_MG-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES33_101-LS_MG-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES50_Blue-024_Control-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES50_Blue-024_Control-protein_14/rnaseq_qc_results.txt
QualiMap	rna_coverage_histogram	ES6_164_Control-protein_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES6_164_Control-protein_21/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	ES98_SEM19-107_MG-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES98_SEM19-107_MG-protein_14/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	ES7_SEM19-1354_Control-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES7_SEM19-1354_Control-protein_14/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	ES30_Blue-098_Control-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES30_Blue-098_Control-lipid_21/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	ES68_Blue-037_MG-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES68_Blue-037_MG-protein_14/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	ES86_orange-24_Control-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES86_orange-24_Control-protein_14/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	ES67_Blue-037_MG-protein_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES67_Blue-037_MG-protein_0/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	ES97_SEM19-107_MG-protein_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES97_SEM19-107_MG-protein_0/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	ES74_Blue-042_MG-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES74_Blue-042_MG-protein_14/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
