Sample	mRNA	lnc_RNA	transcript	snoRNA	tRNA	snRNA	ncRNA	C_gene_segment	V_gene_segment	rRNA
ES88_610_MG-protein_0	37132230.0	127078.0	30552.0	1293.0	202.0	120.0	556.0	18917.0	416.0	182167.0
ES8_SEM19-1354_Control-protein_21	33753023.0	148925.0	32385.0	1735.0	311.0	215.0	454.0	2619.0	145.0	126406.0
ES90_Blue-049_Control-protein_14	32561552.0	107806.0	25641.0	1494.0	210.0	205.0	483.0	1050.0	56.0	85143.0
ES91_Blue-049_Control-protein_21	31428158.0	97159.0	24612.0	1364.0	172.0	178.0	540.0	1647.0	70.0	85950.0
ES92_SEM19-76_MG-lipid_0	37377575.0	112089.0	27547.0	1161.0	133.0	84.0	534.0	2720.0	193.0	224589.0
ES93_SEM19-76_MG-lipid_14	35359329.0	104402.0	28845.0	1071.0	90.0	90.0	643.0	1991.0	70.0	187169.0
ES94_SEM19-76_MG-lipid_21	36259839.0	125006.0	31247.0	1287.0	132.0	104.0	703.0	1005.0	72.0	204141.0
ES95_610_MG-protein_14	36173196.0	137944.0	33812.0	1373.0	187.0	166.0	744.0	12291.0	311.0	188803.0
ES96_610_MG-protein_21	35302663.0	139251.0	35733.0	1706.0	260.0	117.0	706.0	3495.0	133.0	181074.0
ES97_SEM19-107_MG-protein_0	34595672.0	131686.0	33832.0	1272.0	150.0	166.0	515.0	1700.0	96.0	224957.0
ES98_SEM19-107_MG-protein_14	40354177.0	185610.0	46951.0	1959.0	182.0	265.0	1032.0	13405.0	84.0	252382.0
ES99_SEM19-107_MG-protein_21	33127058.0	126508.0	33897.0	1470.0	126.0	204.0	535.0	4230.0	123.0	215119.0
ES9_172_Control-protein_0	33661498.0	121646.0	30255.0	1631.0	147.0	133.0	506.0	4121.0	216.0	148903.0
