Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ES14_209_MG-lipid_21_1	ES14_209_MG-lipid_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39803004.0	0.0	20-50	53.0	19.811295733599557	49.56398655237177	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES14_209_MG-lipid_21_2	ES14_209_MG-lipid_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39803004.0	0.0	20-50	57.0	23.159455868608468	49.34238390650113	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES15_601_Control-protein_14_1	ES15_601_Control-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44369070.0	0.0	20-50	53.0	19.0423362229559	49.56212679238037	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES15_601_Control-protein_14_2	ES15_601_Control-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44369070.0	0.0	20-50	57.0	21.98852063527181	49.30485687439471	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES16_601_Control-protein_21_1	ES16_601_Control-protein_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48597156.0	0.0	20-50	53.0	18.110282037298944	49.56315698803444	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES16_601_Control-protein_21_2	ES16_601_Control-protein_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48597156.0	0.0	20-50	56.0	20.81824974151881	49.37071150830308	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES17_615_Control-protein_0_1	ES17_615_Control-protein_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46092259.0	0.0	20-50	53.0	18.87772611336272	49.56957373254368	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES17_615_Control-protein_0_2	ES17_615_Control-protein_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46092259.0	0.0	20-50	56.0	21.938800256808598	49.36079043120885	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES18_615_Control-protein_14_1	ES18_615_Control-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44345822.0	0.0	20-50	52.0	23.012847385467335	49.5581767319591	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES18_615_Control-protein_14_2	ES18_615_Control-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44345822.0	0.0	20-50	56.0	26.561732481518558	49.272177433084906	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES19_615_Control-protein_21_1	ES19_615_Control-protein_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43201808.0	0.0	20-50	53.0	21.35883711344427	49.554286223391394	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES19_615_Control-protein_21_2	ES19_615_Control-protein_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43201808.0	0.0	20-50	56.0	25.214764651309316	49.27362627971496	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES1_48_Control-lipid_0_1	ES1_48_Control-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50580283.0	0.0	20-50	53.0	19.3277600372157	49.560064837913224	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES1_48_Control-lipid_0_2	ES1_48_Control-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50580283.0	0.0	20-50	56.0	22.1529143748098	49.36310724081951	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES20_618_Control-lipid_0_1	ES20_618_Control-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47528299.0	0.0	20-50	54.0	17.938372320171755	49.570059850027455	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES20_618_Control-lipid_0_2	ES20_618_Control-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47528299.0	0.0	20-50	57.0	20.282083980073942	49.37629823444765	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES21_618_Control-lipid_14_1	ES21_618_Control-lipid_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33237069.0	0.0	20-50	54.0	18.73405484237886	49.56126805284786	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES21_618_Control-lipid_14_2	ES21_618_Control-lipid_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33237069.0	0.0	20-50	57.0	20.964242024235936	49.40395580609108	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES22_618_Control-lipid_21_1	ES22_618_Control-lipid_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45931113.0	0.0	20-50	53.0	18.949670772087778	49.556145700192374	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES22_618_Control-lipid_21_2	ES22_618_Control-lipid_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45931113.0	0.0	20-50	56.0	22.253535119259237	49.332618110081505	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES23_Blue-010_Control-lipid_0_1	ES23_Blue-010_Control-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45612832.0	0.0	20-50	53.0	21.10614025937535	49.56103663986485	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES23_Blue-010_Control-lipid_0_2	ES23_Blue-010_Control-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45612832.0	0.0	20-50	56.0	23.43147823480582	49.35054902971164	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES24_Blue-010_Control-lipid_21_1	ES24_Blue-010_Control-lipid_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49452218.0	0.0	20-50	54.0	18.618106737081277	49.563680298424636	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES24_Blue-010_Control-lipid_21_2	ES24_Blue-010_Control-lipid_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49452218.0	0.0	20-50	57.0	21.314817678089597	49.367017349959916	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES25_619_MG-lipid_0_1	ES25_619_MG-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43800670.0	0.0	20-50	53.0	18.188643829421416	49.56609743640908	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES25_619_MG-lipid_0_2	ES25_619_MG-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43800670.0	0.0	20-50	56.0	21.1659810790705	49.357973428260344	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES26_619_MG-lipid_14_1	ES26_619_MG-lipid_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43877655.0	0.0	20-50	52.0	20.555204810247833	49.55759828094733	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES26_619_MG-lipid_14_2	ES26_619_MG-lipid_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43877655.0	0.0	20-50	56.0	23.848301378014167	49.31378946755473	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES27_619_MG-lipid_21_1	ES27_619_MG-lipid_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44667025.0	0.0	20-50	52.0	19.092575185871194	49.558324894035366	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES27_619_MG-lipid_21_2	ES27_619_MG-lipid_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44667025.0	0.0	20-50	55.0	21.121945122338246	49.367350590284445	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES28_Blue-098_Control-lipid_0_1	ES28_Blue-098_Control-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54115989.0	0.0	20-50	53.0	19.605719331229967	49.563103614349544	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES28_Blue-098_Control-lipid_0_2	ES28_Blue-098_Control-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54115989.0	0.0	20-50	57.0	21.714223887163268	49.36641797306892	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES29_Blue-098_Control-lipid_14_1	ES29_Blue-098_Control-lipid_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51918854.0	0.0	20-50	53.0	20.23915867169131	49.56262576596934	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES29_Blue-098_Control-lipid_14_2	ES29_Blue-098_Control-lipid_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51918854.0	0.0	20-50	56.0	21.694485951023257	49.416332899027395	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES2_48_Control-lipid_14_1	ES2_48_Control-lipid_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45214710.0	0.0	20-50	53.0	18.810298637623376	49.56009152773511	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES2_48_Control-lipid_14_2	ES2_48_Control-lipid_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45214710.0	0.0	20-50	57.0	21.68682726018291	49.334632976745844	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES30_Blue-098_Control-lipid_21_1	ES30_Blue-098_Control-lipid_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35286265.0	0.0	20-50	53.0	22.625750894985153	49.55869560011523	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES30_Blue-098_Control-lipid_21_2	ES30_Blue-098_Control-lipid_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35286265.0	0.0	20-50	57.0	26.37171604118333	49.27036261842958	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES31_Blue-055_NA_0_1	ES31_Blue-055_NA_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46499967.0	0.0	20-50	54.0	16.417453027569447	49.58060185290024	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES31_Blue-055_NA_0_2	ES31_Blue-055_NA_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46499967.0	0.0	20-50	57.0	17.638754989809918	49.46107660678555	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES32_Blue-055_NA_14_1	ES32_Blue-055_NA_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47733858.0	0.0	20-50	54.0	18.118666229029735	49.57313131907335	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES32_Blue-055_NA_14_2	ES32_Blue-055_NA_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47733858.0	0.0	20-50	57.0	20.49099940429561	49.373614929679476	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES33_101-LS_MG-lipid_0_1	ES33_101-LS_MG-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47897750.0	0.0	20-50	54.0	16.758609900294484	49.572318511829884	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES33_101-LS_MG-lipid_0_2	ES33_101-LS_MG-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47897750.0	0.0	20-50	57.0	18.667789607711256	49.40225342526528	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES34_101-LS_MG-lipid_14_1	ES34_101-LS_MG-lipid_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44878622.0	0.0	20-50	53.0	18.8628060108459	49.56903997631656	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES34_101-LS_MG-lipid_14_2	ES34_101-LS_MG-lipid_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44878622.0	0.0	20-50	56.0	20.201283949451938	49.42191317728071	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES35_101-LS_MG-lipid_21_1	ES35_101-LS_MG-lipid_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45083952.0	0.0	20-50	52.0	18.272180582956015	49.555538321041595	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES35_101-LS_MG-lipid_21_2	ES35_101-LS_MG-lipid_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45083952.0	0.0	20-50	56.0	20.954390062129438	49.36216685263084	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES36_AR17-21_MG-lipid_0_1	ES36_AR17-21_MG-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42127956.0	0.0	20-50	54.0	18.554756493705465	49.57083370007318	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES36_AR17-21_MG-lipid_0_2	ES36_AR17-21_MG-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42127956.0	0.0	20-50	57.0	21.833274789498585	49.32272951956178	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES37_AR17-21_MG-lipid_14_1	ES37_AR17-21_MG-lipid_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47280062.0	0.0	20-50	53.0	19.069405006445823	49.56080305055438	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES37_AR17-21_MG-lipid_14_2	ES37_AR17-21_MG-lipid_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47280062.0	0.0	20-50	56.0	22.306931736581326	49.32560892157883	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES38_AR17-21_MG-lipid_21_1	ES38_AR17-21_MG-lipid_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43560856.0	0.0	20-50	53.0	20.293864876005678	49.55991259675889	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES38_AR17-21_MG-lipid_21_2	ES38_AR17-21_MG-lipid_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43560856.0	0.0	20-50	56.0	23.225354196883224	49.35489447222984	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES39_LD19-239_MG-lipid_14_1	ES39_LD19-239_MG-lipid_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45276074.0	0.0	20-50	52.0	23.206036762193833	49.55659660331857	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES39_LD19-239_MG-lipid_14_2	ES39_LD19-239_MG-lipid_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45276074.0	0.0	20-50	55.0	26.27471026899067	49.319907485794815	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES3_48_Control-lipid_21_1	ES3_48_Control-lipid_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42099280.0	0.0	20-50	53.0	19.29430001589539	49.56120413460753	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES3_48_Control-lipid_21_2	ES3_48_Control-lipid_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42099280.0	0.0	20-50	57.0	22.28119605414505	49.34388374337993	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES40_LD19-239_MG-lipid_21_1	ES40_LD19-239_MG-lipid_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52621325.0	0.0	20-50	53.0	20.46388785324493	49.560593865699886	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES40_LD19-239_MG-lipid_21_2	ES40_LD19-239_MG-lipid_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52621325.0	0.0	20-50	56.0	22.72760082206872	49.33786334722662	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES41_Blue-013_Control-protein_0_1	ES41_Blue-013_Control-protein_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49099243.0	0.0	20-50	52.0	20.10561753036217	49.555427789385675	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES41_Blue-013_Control-protein_0_2	ES41_Blue-013_Control-protein_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49099243.0	0.0	20-50	56.0	23.238047016061014	49.3112315193943	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES42_Blue-013_Control-protein_14_1	ES42_Blue-013_Control-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43470624.0	0.0	20-50	52.0	24.00963351085117	49.55244663614675	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES42_Blue-013_Control-protein_14_2	ES42_Blue-013_Control-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43470624.0	0.0	20-50	55.0	26.340202207659686	49.34653445508397	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES43_Blue-013_Control-protein_21_1	ES43_Blue-013_Control-protein_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46599502.0	0.0	20-50	52.0	22.03410178980178	49.55513430164984	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES43_Blue-013_Control-protein_21_2	ES43_Blue-013_Control-protein_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46599502.0	0.0	20-50	55.0	24.662781977330674	49.33183648614957	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES44_Blue-015_MG-lipid_0_1	ES44_Blue-015_MG-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49235170.0	0.0	20-50	53.0	20.879739371643733	49.56436795079615	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES44_Blue-015_MG-lipid_0_2	ES44_Blue-015_MG-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49235170.0	0.0	20-50	56.0	23.35484305530618	49.38067873026538	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES45_Blue-015_MG-lipid_14_1	ES45_Blue-015_MG-lipid_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53775593.0	0.0	20-50	53.0	19.645727088829915	49.56392585015288	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES45_Blue-015_MG-lipid_14_2	ES45_Blue-015_MG-lipid_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53775593.0	0.0	20-50	56.0	20.58728950818354	49.45355077720854	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES46_Blue-015_MG-lipid_21_1	ES46_Blue-015_MG-lipid_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45904993.0	0.0	20-50	52.0	22.534599522794068	49.551280903147074	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES46_Blue-015_MG-lipid_21_2	ES46_Blue-015_MG-lipid_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45904993.0	0.0	20-50	55.0	24.98037076890113	49.38354318015036	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES47_Blue-45_MG-protein_0_1	ES47_Blue-45_MG-protein_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42958034.0	0.0	20-50	53.0	23.052609111131865	49.56073753282099	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES47_Blue-45_MG-protein_0_2	ES47_Blue-45_MG-protein_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42958034.0	0.0	20-50	56.0	24.669634501372663	49.4067634938787	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES48_Blue-45_MG-protein_14_1	ES48_Blue-45_MG-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45278509.0	0.0	20-50	54.0	20.742883706035855	49.56960771389358	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES48_Blue-45_MG-protein_14_2	ES48_Blue-45_MG-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45278509.0	0.0	20-50	57.0	23.299274078542943	49.391140839023656	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES49_Blue-024_Control-protein_0_1	ES49_Blue-024_Control-protein_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44137819.0	0.0	20-50	53.0	17.267698465085047	49.55666427468924	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES49_Blue-024_Control-protein_0_2	ES49_Blue-024_Control-protein_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44137819.0	0.0	20-50	56.0	20.33714516224346	49.3248112463373	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES4_164_Control-protein_0_1	ES4_164_Control-protein_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44689423.0	0.0	20-50	53.0	19.920605907526497	49.558932300379	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES4_164_Control-protein_0_2	ES4_164_Control-protein_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44689423.0	0.0	20-50	57.0	23.009117615160434	49.31715773103627	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
