GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up,GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up,GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up
GO:0050829,defense response to Gram-negative bacterium,14,10,4.83,0.00496,1,GO:0048660,regulation of smooth muscle cell proliferation,30,11,6.31,0.00809,1,GO:1902358,sulfate transmembrane transport,3,2,0.16,0.00868,1
GO:0071526,semaphorin-plexin signaling pathway,12,9,4.14,0.00497,1,GO:0007252,I-kappaB phosphorylation,9,6,1.89,0.00810,1,GO:0070106,interleukin-27-mediated signaling pathway,3,2,0.16,0.00868,1
GO:2000042,negative regulation of double-strand break repair via homologous recombination,14,10,4.83,0.00529,1,GO:1990573,potassium ion import across plasma membrane,8,5,1.68,0.00812,1,GO:0098711,iron ion import across plasma membrane,3,2,0.16,0.00868,1
GO:0007219,Notch signaling pathway,55,26,18.96,0.00922,1,GO:0071380,cellular response to prostaglandin E stimulus,5,4,1.05,0.00812,1,GO:0048731,system development,1383,75,75.89,0.00883,1
GO:2000249,regulation of actin cytoskeleton reorganization,16,10,5.52,0.01014,1,GO:0071223,cellular response to lipoteichoic acid,5,4,1.05,0.00812,1,GO:0009615,response to virus,130,23,7.13,0.01067,1
GO:0043536,positive regulation of blood vessel endothelial cell migration,25,15,8.62,0.01049,1,GO:1900227,positive regulation of NLRP3 inflammasome complex assembly,5,4,1.05,0.00812,1,GO:2001034,positive regulation of double-strand break repair via nonhomologous end joining,9,3,0.49,0.01074,1
GO:0006631,fatty acid metabolic process,116,57,39.99,0.01061,1,GO:0032287,peripheral nervous system myelin maintenance,5,4,1.05,0.00812,1,GO:0000724,double-strand break repair via homologous recombination,82,10,4.5,0.01079,1
GO:0006816,calcium ion transport,118,56,40.68,0.01067,1,GO:0034144,negative regulation of toll-like receptor 4 signaling pathway,5,4,1.05,0.00812,1,GO:0045071,negative regulation of viral genome replication,14,4,0.77,0.01465,1
GO:0006096,glycolytic process,42,21,14.48,0.01094,1,GO:0006189,'de novo' IMP biosynthetic process,5,4,1.05,0.00812,1,GO:0034154,toll-like receptor 7 signaling pathway,6,3,0.33,0.01666,1
GO:0002218,activation of innate immune response,17,12,5.86,0.01095,1,GO:0031663,lipopolysaccharide-mediated signaling pathway,21,10,4.42,0.00818,1,GO:0040037,negative regulation of fibroblast growth factor receptor signaling pathway,4,2,0.22,0.01673,1
GO:0010718,positive regulation of epithelial to mesenchymal transition,20,13,6.9,0.01095,1,GO:0002230,positive regulation of defense response to virus by host,10,6,2.1,0.00823,1,GO:0060315,negative regulation of ryanodine-sensitive calcium-release channel activity,4,2,0.22,0.01673,1
GO:0050873,brown fat cell differentiation,26,14,8.96,0.01099,1,GO:1904646,cellular response to amyloid-beta,10,6,2.1,0.00823,1,GO:0015882,L-ascorbic acid transmembrane transport,4,2,0.22,0.01673,1
GO:0098761,cellular response to interleukin-7,11,8,3.79,0.01102,1,GO:0009653,anatomical structure morphogenesis,771,180,162.21,0.00896,1,GO:1905907,negative regulation of amyloid fibril formation,4,2,0.22,0.01673,1
GO:0006268,DNA unwinding involved in DNA replication,11,8,3.79,0.01102,1,GO:0006805,xenobiotic metabolic process,19,10,4,0.00923,1,GO:0015671,oxygen transport,4,2,0.22,0.01673,1
GO:0070374,positive regulation of ERK1 and ERK2 cascade,56,28,19.31,0.01311,1,GO:0120162,positive regulation of cold-induced thermogenesis,32,13,6.73,0.00924,1,GO:0000255,allantoin metabolic process,4,2,0.22,0.01673,1
GO:0042110,T cell activation,184,73,63.44,0.01394,1,GO:0070723,response to cholesterol,4,4,0.84,0.00928,1,GO:0016554,cytidine to uridine editing,4,2,0.22,0.01673,1
GO:0034142,toll-like receptor 4 signaling pathway,20,15,6.9,0.01398,1,GO:0060333,interferon-gamma-mediated signaling pathway,9,5,1.89,0.00928,1,GO:0042450,arginine biosynthetic process via ornithine,4,2,0.22,0.01673,1
GO:0050482,arachidonic acid secretion,7,7,2.41,0.01406,1,GO:0042531,positive regulation of tyrosine phosphorylation of STAT protein,13,7,2.74,0.00929,1,GO:1901223,negative regulation of NIK/NF-kappaB signaling,12,3,0.66,0.02489,1
GO:0034154,toll-like receptor 7 signaling pathway,6,5,2.07,0.01410,1,GO:0002322,B cell proliferation involved in immune response,3,3,0.63,0.00930,1,GO:0055085,transmembrane transport,459,39,25.19,0.02612,1
GO:0046579,positive regulation of Ras protein signal transduction,15,8,5.17,0.01410,1,GO:0070106,interleukin-27-mediated signaling pathway,3,3,0.63,0.00930,1,GO:0006525,arginine metabolic process,11,5,0.6,0.02652,1
GO:0034975,protein folding in endoplasmic reticulum,4,4,1.38,0.01411,1,GO:0030949,positive regulation of vascular endothelial growth factor receptor signaling pathway,3,3,0.63,0.00930,1,GO:0042554,superoxide anion generation,9,3,0.49,0.02678,1
GO:0042450,arginine biosynthetic process via ornithine,4,4,1.38,0.01411,1,GO:0140052,cellular response to oxidised low-density lipoprotein particle stimulus,3,3,0.63,0.00930,1,GO:0046931,pore complex assembly,11,3,0.6,0.02679,1
GO:0000255,allantoin metabolic process,4,4,1.38,0.01411,1,GO:0002906,negative regulation of mature B cell apoptotic process,3,3,0.63,0.00930,1,GO:0002862,negative regulation of inflammatory response to antigenic stimulus,5,2,0.27,0.02688,1
GO:1900121,negative regulation of receptor binding,4,4,1.38,0.01411,1,GO:0042262,DNA protection,3,3,0.63,0.00930,1,GO:2000774,positive regulation of cellular senescence,5,2,0.27,0.02688,1
GO:0003383,apical constriction,4,4,1.38,0.01411,1,GO:0061518,microglial cell proliferation,3,3,0.63,0.00930,1,GO:0140289,protein mono-ADP-ribosylation,5,2,0.27,0.02688,1
GO:0032497,detection of lipopolysaccharide,4,4,1.38,0.01411,1,GO:0006002,fructose 6-phosphate metabolic process,3,3,0.63,0.00930,1,GO:0070269,pyroptosis,5,2,0.27,0.02688,1
