GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up,GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up,GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up
GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,54,24,11.42,0.00928,1,GO:0006196,AMP catabolic process,2,2,0.19,0.00878,1,GO:0033591,response to L-ascorbic acid,1,1,0.02,0.02259,1
GO:2000573,positive regulation of DNA biosynthetic process,40,14,8.46,0.00937,1,GO:0006157,deoxyadenosine catabolic process,2,2,0.19,0.00878,1,GO:0051664,nuclear pore localization,1,1,0.02,0.02259,1
GO:0003009,skeletal muscle contraction,7,6,1.48,0.00939,1,GO:0071650,negative regulation of chemokine (C-C motif) ligand 5 production,2,2,0.19,0.00878,1,GO:0000053,argininosuccinate metabolic process,1,1,0.02,0.02259,1
GO:0060333,interferon-gamma-mediated signaling pathway,9,5,1.9,0.00942,1,GO:0098708,glucose import across plasma membrane,2,2,0.19,0.00878,1,GO:0048769,sarcomerogenesis,1,1,0.02,0.02259,1
GO:0072112,glomerular visceral epithelial cell differentiation,6,4,1.27,0.00943,1,GO:0034166,toll-like receptor 10 signaling pathway,2,2,0.19,0.00878,1,GO:0032571,response to vitamin K,1,1,0.02,0.02259,1
GO:0070106,interleukin-27-mediated signaling pathway,3,3,0.63,0.00943,1,GO:0046533,negative regulation of photoreceptor cell differentiation,2,2,0.19,0.00878,1,GO:0019230,proprioception,1,1,0.02,0.02259,1
GO:0070837,dehydroascorbic acid transport,3,3,0.63,0.00943,1,GO:0090129,positive regulation of synapse maturation,2,2,0.19,0.00878,1,GO:0071641,negative regulation of macrophage inflammatory protein 1 alpha production,1,1,0.02,0.02259,1
GO:0035912,dorsal aorta morphogenesis,3,3,0.63,0.00943,1,GO:0030187,melatonin biosynthetic process,2,2,0.19,0.00878,1,GO:0071644,negative regulation of chemokine (C-C motif) ligand 4 production,1,1,0.02,0.02259,1
GO:0010756,positive regulation of plasminogen activation,3,3,0.63,0.00943,1,GO:0042659,regulation of cell fate specification,2,2,0.19,0.00878,1,GO:0036076,ligamentous ossification,1,1,0.02,0.02259,1
GO:0008217,regulation of blood pressure,35,15,7.4,0.00970,1,GO:0014807,regulation of somitogenesis,2,2,0.19,0.00878,1,GO:2000538,positive regulation of B cell chemotaxis,1,1,0.02,0.02259,1
GO:0030163,protein catabolic process,483,82,102.11,0.01057,1,GO:0050873,brown fat cell differentiation,26,7,2.44,0.00959,1,GO:0003062,regulation of heart rate by chemical signal,1,1,0.02,0.02259,1
GO:0051092,positive regulation of NF-kappaB transcription factor activity,69,23,14.59,0.01231,1,GO:0048536,spleen development,16,6,1.5,0.00959,1,GO:0051968,positive regulation of synaptic transmission, glutamatergic,1,1,0.02,0.02259,1
