GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_down,GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_down,GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_down
GO:0006783,heme biosynthetic process,10,7,2.26,0.01768,1,GO:0099178,regulation of retrograde trans-synaptic signaling by endocanabinoid,2,2,0.21,0.01102,1,GO:1903760,regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization,1,1,0.02,0.01658,1
GO:1904667,negative regulation of ubiquitin protein ligase activity,8,5,1.81,0.01776,1,GO:0006601,creatine biosynthetic process,2,2,0.21,0.01102,1,GO:0032571,response to vitamin K,1,1,0.02,0.01658,1
GO:0001682,tRNA 5'-leader removal,8,5,1.81,0.01776,1,GO:0060134,prepulse inhibition,2,2,0.21,0.01102,1,GO:0032532,regulation of microvillus length,1,1,0.02,0.01658,1
GO:0045292,mRNA cis splicing, via spliceosome,17,8,3.85,0.02267,1,GO:0120222,regulation of blastocyst development,2,2,0.21,0.01102,1,GO:0003400,regulation of COPII vesicle coating,1,1,0.02,0.01658,1
GO:0070886,positive regulation of calcineurin-NFAT signaling cascade,6,4,1.36,0.02635,1,GO:0006897,endocytosis,179,20,18.8,0.01167,1,GO:1990569,UDP-N-acetylglucosamine transmembrane transport,1,1,0.02,0.01658,1
GO:0021549,cerebellum development,27,8,6.11,0.02640,1,GO:0032259,methylation,168,12,17.65,0.01188,1,GO:0030432,peristalsis,1,1,0.02,0.01658,1
GO:0006749,glutathione metabolic process,35,16,7.92,0.02841,1,GO:0016032,viral process,170,23,17.86,0.01494,1,GO:0015790,UDP-xylose transmembrane transport,1,1,0.02,0.01658,1
GO:0006334,nucleosome assembly,49,16,11.09,0.02900,1,GO:0006414,translational elongation,27,8,2.84,0.01530,1,GO:0016191,synaptic vesicle uncoating,1,1,0.02,0.01658,1
GO:0071897,DNA biosynthetic process,129,47,29.18,0.03130,1,GO:0070886,positive regulation of calcineurin-NFAT signaling cascade,6,3,0.63,0.01810,1,GO:0046486,glycerolipid metabolic process,167,3,2.77,0.01669,1
GO:0075522,IRES-dependent viral translational initiation,9,5,2.04,0.03259,1,GO:0055091,phospholipid homeostasis,7,3,0.74,0.02923,1,GO:0098856,intestinal lipid absorption,7,2,0.12,0.03262,1
GO:0045880,positive regulation of smoothened signaling pathway,13,7,2.94,0.03443,1,GO:0070859,positive regulation of bile acid biosynthetic process,3,2,0.32,0.03075,1,GO:0140112,extracellular vesicle biogenesis,13,2,0.22,0.03265,1
GO:0007368,determination of left/right symmetry,32,9,7.24,0.03467,1,GO:0019509,L-methionine salvage from methylthioadenosine,3,2,0.32,0.03075,1,GO:0035634,response to stilbenoid,2,1,0.03,0.03288,1
GO:0051056,regulation of small GTPase mediated signal transduction,81,14,18.32,0.03531,1,GO:0072282,metanephric nephron tubule morphogenesis,3,2,0.32,0.03075,1,GO:0042415,norepinephrine metabolic process,2,1,0.03,0.03288,1
GO:0048541,Peyer's patch development,4,3,0.9,0.03841,1,GO:0002227,innate immune response in mucosa,3,2,0.32,0.03075,1,GO:2000255,negative regulation of male germ cell proliferation,2,1,0.03,0.03288,1
