GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up,GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up,GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up
GO:0006631,fatty acid metabolic process,116,44,32.06,0.00028,0.3035,GO:0032722,positive regulation of chemokine production,24,11,3.5,0.00048,0.4861,GO:0033234,negative regulation of protein sumoylation,6,2,0.15,0.00898,1
GO:0070374,positive regulation of ERK1 and ERK2 cascade,56,28,15.48,0.00038,0.3775,GO:0032481,positive regulation of type I interferon production,33,12,4.81,0.00053,0.4861,GO:0090026,positive regulation of monocyte chemotaxis,6,2,0.15,0.00898,1
GO:0045087,innate immune response,170,75,46.99,0.00050,0.4585,GO:0045429,positive regulation of nitric oxide biosynthetic process,9,6,1.31,0.00053,0.4861,GO:0048255,mRNA stabilization,27,4,0.69,0.00978,1
GO:0071526,semaphorin-plexin signaling pathway,12,9,3.32,0.00086,0.7324,GO:1901224,positive regulation of NIK/NF-kappaB signaling,27,11,3.93,0.00082,0.6983,GO:0002829,negative regulation of type 2 immune response,7,2,0.18,0.01237,1
GO:0050729,positive regulation of inflammatory response,41,23,11.33,0.00094,0.7471,GO:0042531,positive regulation of tyrosine phosphorylation of STAT protein,13,7,1.89,0.00105,0.7749,GO:0040015,negative regulation of multicellular organism growth,7,2,0.18,0.01237,1
GO:0043536,positive regulation of blood vessel endothelial cell migration,25,16,6.91,0.00152,0.7678,GO:0040015,negative regulation of multicellular organism growth,7,5,1.02,0.00106,0.7749,GO:0006955,immune response,430,27,10.91,0.01603,1
GO:1902895,positive regulation of pri-miRNA transcription by RNA polymerase II,17,11,4.7,0.00154,0.7678,GO:0071526,semaphorin-plexin signaling pathway,12,7,1.75,0.00116,0.7749,GO:0042742,defense response to bacterium,54,6,1.37,0.01678,1
GO:0098586,cellular response to virus,34,14,9.4,0.00155,0.7678,GO:1904646,cellular response to amyloid-beta,10,6,1.46,0.00117,0.7749,GO:0045429,positive regulation of nitric oxide biosynthetic process,9,2,0.23,0.02051,1
GO:0009636,response to toxic substance,37,14,10.23,0.00156,0.7678,GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,65,19,9.47,0.00171,1,GO:0140374,antiviral innate immune response,9,2,0.23,0.02051,1
GO:0045730,respiratory burst,14,10,3.87,0.00160,0.7678,GO:0051607,defense response to virus,91,24,13.26,0.00192,1,GO:0009653,anatomical structure morphogenesis,771,19,19.57,0.02109,1
GO:0050832,defense response to fungus,11,9,3.04,0.00160,0.7678,GO:0045730,respiratory burst,14,8,2.04,0.00196,1,GO:0009615,response to virus,130,11,3.3,0.02506,1
GO:2000178,negative regulation of neural precursor cell proliferation,7,6,1.93,0.00161,0.7678,GO:0034144,negative regulation of toll-like receptor 4 signaling pathway,5,4,0.73,0.00198,1,GO:0002521,leukocyte differentiation,235,7,5.96,0.02537,1
GO:2000343,positive regulation of chemokine (C-X-C motif) ligand 2 production,5,5,1.38,0.00161,0.7678,GO:0071223,cellular response to lipoteichoic acid,5,4,0.73,0.00198,1,GO:1990227,paranodal junction maintenance,1,1,0.03,0.02538,1
GO:1900227,positive regulation of NLRP3 inflammasome complex assembly,5,5,1.38,0.00161,0.7678,GO:0010718,positive regulation of epithelial to mesenchymal transition,20,10,2.91,0.00219,1,GO:0002760,positive regulation of antimicrobial humoral response,1,1,0.03,0.02538,1
GO:0034144,negative regulation of toll-like receptor 4 signaling pathway,5,5,1.38,0.00161,0.7678,GO:0050873,brown fat cell differentiation,26,9,3.79,0.00300,1,GO:0000053,argininosuccinate metabolic process,1,1,0.03,0.02538,1
GO:0010718,positive regulation of epithelial to mesenchymal transition,20,14,5.53,0.00182,0.8345,GO:0060333,interferon-gamma-mediated signaling pathway,9,5,1.31,0.00307,1,GO:1902998,positive regulation of neurofibrillary tangle assembly,1,1,0.03,0.02538,1
GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,54,29,14.93,0.00191,0.8434,GO:0014850,response to muscle activity,3,3,0.44,0.00308,1,GO:0048295,positive regulation of isotype switching to IgE isotypes,1,1,0.03,0.02538,1
GO:0008217,regulation of blood pressure,35,16,9.67,0.00368,1,GO:0070106,interleukin-27-mediated signaling pathway,3,3,0.44,0.00308,1,GO:0071641,negative regulation of macrophage inflammatory protein 1 alpha production,1,1,0.03,0.02538,1
GO:0032722,positive regulation of chemokine production,24,18,6.63,0.00441,1,GO:0061518,microglial cell proliferation,3,3,0.44,0.00308,1,GO:0071644,negative regulation of chemokine (C-C motif) ligand 4 production,1,1,0.03,0.02538,1
GO:0006955,immune response,430,193,118.86,0.00472,1,GO:0006002,fructose 6-phosphate metabolic process,3,3,0.44,0.00308,1,GO:0032423,regulation of mismatch repair,1,1,0.03,0.02538,1
GO:0002250,adaptive immune response,115,61,31.79,0.00500,1,GO:0042262,DNA protection,3,3,0.44,0.00308,1,GO:0055113,epiboly involved in gastrulation with mouth forming second,1,1,0.03,0.02538,1
GO:0007160,cell-matrix adhesion,66,32,18.24,0.00513,1,GO:0006154,adenosine catabolic process,3,3,0.44,0.00308,1,GO:0009114,hypoxanthine catabolic process,1,1,0.03,0.02538,1
GO:0032728,positive regulation of interferon-beta production,19,11,5.25,0.00532,1,GO:0051092,positive regulation of NF-kappaB transcription factor activity,69,19,10.05,0.00362,1,GO:0009115,xanthine catabolic process,1,1,0.03,0.02538,1
GO:2000773,negative regulation of cellular senescence,12,8,3.32,0.00547,1,GO:0006952,defense response,430,120,62.65,0.00376,1,GO:0070512,positive regulation of histone H4-K20 methylation,1,1,0.03,0.02538,1
GO:0042110,T cell activation,184,63,50.86,0.00571,1,GO:0002250,adaptive immune response,115,30,16.75,0.00377,1,GO:1990092,calcium-dependent self proteolysis,1,1,0.03,0.02538,1
GO:0034405,response to fluid shear stress,12,8,3.32,0.00580,1,GO:0050776,regulation of immune response,235,59,34.24,0.00445,1,GO:0010248,establishment or maintenance of transmembrane electrochemical gradient,1,1,0.03,0.02538,1
GO:0046579,positive regulation of Ras protein signal transduction,15,8,4.15,0.00581,1,GO:0050885,neuromuscular process controlling balance,16,7,2.33,0.00468,1,GO:0048597,post-embryonic camera-type eye morphogenesis,1,1,0.03,0.02538,1
GO:0035336,long-chain fatty-acyl-CoA metabolic process,5,5,1.38,0.00581,1,GO:0002091,negative regulation of receptor internalization,6,4,0.87,0.00526,1,GO:0006148,inosine catabolic process,1,1,0.03,0.02538,1
GO:0034154,toll-like receptor 7 signaling pathway,6,5,1.66,0.00582,1,GO:0090331,negative regulation of platelet aggregation,6,4,0.87,0.00526,1,GO:0006149,deoxyinosine catabolic process,1,1,0.03,0.02538,1
GO:0042450,arginine biosynthetic process via ornithine,4,4,1.11,0.00582,1,GO:0008360,regulation of cell shape,47,14,6.85,0.00556,1,GO:1905892,negative regulation of cellular response to thapsigargin,1,1,0.03,0.02538,1
GO:1900121,negative regulation of receptor binding,4,4,1.11,0.00582,1,GO:0045087,innate immune response,170,45,24.77,0.00621,1,GO:1905895,negative regulation of cellular response to tunicamycin,1,1,0.03,0.02538,1
GO:0055089,fatty acid homeostasis,4,4,1.11,0.00582,1,GO:0042742,defense response to bacterium,54,18,7.87,0.00666,1,GO:0010734,negative regulation of protein glutathionylation,1,1,0.03,0.02538,1
GO:0030036,actin cytoskeleton organization,275,109,76.01,0.00590,1,GO:0043536,positive regulation of blood vessel endothelial cell migration,25,10,3.64,0.00690,1,GO:0060054,positive regulation of epithelial cell proliferation involved in wound healing,1,1,0.03,0.02538,1
GO:0031663,lipopolysaccharide-mediated signaling pathway,21,12,5.8,0.00640,1,GO:0045071,negative regulation of viral genome replication,14,6,2.04,0.00864,1,GO:0048014,Tie signaling pathway,1,1,0.03,0.02538,1
GO:0002230,positive regulation of defense response to virus by host,10,7,2.76,0.00644,1,GO:0002230,positive regulation of defense response to virus by host,10,5,1.46,0.00866,1,GO:0140214,positive regulation of long-chain fatty acid import into cell,1,1,0.03,0.02538,1
GO:0045071,negative regulation of viral genome replication,14,8,3.87,0.00644,1,GO:0002931,response to ischemia,10,5,1.46,0.00866,1,GO:0032714,negative regulation of interleukin-5 production,1,1,0.03,0.02538,1
GO:1901224,positive regulation of NIK/NF-kappaB signaling,27,14,7.46,0.00652,1,GO:0043507,positive regulation of JUN kinase activity,18,7,2.62,0.00999,1,GO:0046380,N-acetylneuraminate biosynthetic process,1,1,0.03,0.02538,1
GO:0070527,platelet aggregation,20,13,5.53,0.00718,1,GO:0032675,regulation of interleukin-6 production,49,18,7.14,0.01072,1,GO:0150102,negative regulation of monocyte activation,1,1,0.03,0.02538,1
GO:0030889,negative regulation of B cell proliferation,8,6,2.21,0.00725,1,GO:0006672,ceramide metabolic process,45,12,6.56,0.01076,1,GO:1902847,regulation of neuronal signal transduction,1,1,0.03,0.02538,1
GO:0007616,long-term memory,8,6,2.21,0.00725,1,GO:0042110,T cell activation,184,36,26.81,0.01077,1,GO:0002352,B cell negative selection,1,1,0.03,0.02538,1
